No,B,V,mas,T
1,9.012,8.505,10.67,5370
2,7.994,7.559,11.81,7000
3,9.571,9.048,9.85,5940
4,9.656,9.119,9.06,6200
5,9.979,9.302,9.71,5560
6,9.305,8.840,5.59,6800
7,8.394,8.241,3.60,9980
8,8.545,8.102,9.17,6800
9,6.953,6.429,12.82,6250
10,7.914,7.443,11.10,6900
11,9.406,8.621,23.86,5500
12,8.588,8.184,6.23,7030
13,7.205,6.171,7.82,4700
14,8.784,8.578,3.98,8400
15,8.036,7.513,14.77,5790
16,9.118,8.246,33.77,4830
17,7.576,7.046,25.89,6500
18,8.741,8.335,6.15,7000
19,9.267,8.267,5.34,4800
20,6.308,6.350,4.78,11400
21,8.946,8.534,8.39,7000
22,8.300,7.821,7.67,6370
23,9.637,8.975,10.86,5650
24,9.206,8.675,4.71,6370
25,8.970,8.399,15.68,5790
26,9.220,8.569,23.38,5560
27,10.387,9.564,18.79,4550
28,8.071,8.038,3.45,10500
29,8.234,7.795,4.46,6300
30,6.617,5.701,5.76,4800
31,8.131,7.638,9.18,6650
32,8.732,8.121,16.87,6250
33,10.675,10.055,10.52,5190
34,9.175,8.661,7.94,6650
35,10.397,9.862,6.32,6200
36,10.350,9.864,7.40,6650
37,8.824,8.284,9.26,6500
38,9.885,9.324,8.13,6200
39,7.184,6.214,4.88,4900
40,7.123,5.535,5.84,3540
41,7.610,7.210,5.44,7460
42,9.024,8.588,8.18,6900
43,8.048,6.828,3.74,4390
44,9.076,8.706,5.19,7000
45,9.883,9.354,6.51,6500
46,9.274,8.652,20.06,5560
47,7.754,6.591,6.21,4390
48,9.574,9.036,8.89,6200
49,11.376,10.338,20.09,4250
50,5.005,5.120,7.88,12000
51,8.748,8.154,4.23,5750
52,8.128,7.054,7.73,4500
53,9.338,8.854,5.28,5750
54,8.220,7.772,7.61,6900
55,8.086,7.086,7.23,4660
56,7.231,6.927,16.87,7350
57,8.970,7.968,4.44,4700
58,9.532,8.864,9.52,5700
59,7.446,6.893,15.06,5940
60,4.894,5.026,6.40,17500
61,9.322,8.435,29.63,4550
62,9.067,8.498,11.73,5750
63,6.526,6.327,7.38,7750
64,9.454,8.928,6.69,6650
65,9.128,8.628,10.44,6370
66,6.015,5.692,26.39,7300
67,8.131,7.605,8.36,5750
68,7.306,7.227,4.01,9980
69,8.935,8.534,8.89,7300
70,7.407,7.282,2.85,9980
71,9.413,8.404,4.19,4800
72,9.128,8.539,10.94,5750
73,8.156,7.698,7.51,7030
74,9.510,9.024,7.69,6800
75,8.170,7.638,9.48,5750
76,8.892,8.447,8.43,7030
77,8.446,8.421,5.03,9790
78,6.790,6.243,16.45,6200
79,8.847,7.807,4.19,4660
80,8.548,7.888,3.32,5750
81,10.711,9.736,18.26,4250
82,8.413,8.085,8.98,7460
83,9.317,8.755,13.06,5750
84,6.774,6.718,5.94,9380
85,8.381,7.959,11.73,6900
86,9.991,9.569,6.26,7000
87,7.539,7.392,4.53,9380
88,8.128,7.482,15.31,5370
89,7.324,6.967,15.46,7000
90,8.282,8.140,5.17,9380
91,8.333,7.780,15.05,5940
92,8.791,8.296,13.23,6500
93,8.289,7.886,8.50,7150
94,9.013,8.229,25.15,5310
95,6.857,6.790,6.61,9380
96,8.934,8.418,9.72,6650
97,4.506,4.541,14.42,10500
98,8.406,8.258,6.09,9380
99,8.383,7.650,20.43,5560
100,7.401,7.084,13.65,7460
101,8.767,8.527,4.65,7600
102,10.229,9.538,12.18,5560
103,8.515,8.121,10.25,6800
104,8.814,8.270,5.19,5370
105,10.213,9.600,6.61,6250
106,7.585,7.243,5.84,7460
107,8.227,7.920,5.36,7300
108,9.527,8.911,10.06,5700
109,9.003,8.512,8.18,6370
110,8.364,7.360,6.17,4310
111,9.182,8.576,14.55,5750
112,6.999,7.072,4.23,11400
113,10.522,9.817,9.07,5500
114,8.970,8.399,6.21,6500
115,10.342,9.614,11.88,4930
116,8.600,8.555,3.99,9500
117,8.609,8.123,15.01,6500
118,10.159,9.628,7.94,5940
119,6.870,5.770,11.65,4660
120,6.387,6.374,7.76,9500
121,9.826,8.798,5.34,4500
122,9.227,8.586,16.71,4930
123,10.644,9.789,22.40,5150
124,11.217,10.413,13.02,4550
125,9.034,8.427,10.10,5940
126,7.785,7.320,10.84,7000
127,9.732,9.086,16.98,5650
128,7.804,7.368,11.23,6650
129,5.486,5.584,5.61,11100
130,6.735,5.678,10.23,4500
131,9.354,8.567,7.36,4930
132,8.562,8.177,5.86,7000
133,8.286,8.270,5.59,9790
134,7.668,6.252,5.19,4150
135,8.571,7.813,39.27,5250
136,8.630,8.145,6.38,6370
137,9.663,8.998,11.46,5700
138,8.064,7.531,13.90,6250
139,8.829,8.118,22.10,5560
140,8.857,8.397,8.52,6650
141,7.409,6.462,7.59,4800
142,8.281,7.744,19.52,5940
143,9.366,8.939,8.19,7030
144,9.550,8.814,8.68,4930
145,7.395,6.298,6.96,4700
146,5.725,5.790,4.53,11100
147,8.112,7.527,23.64,5940
148,6.756,6.685,6.48,9500
149,8.734,8.133,14.40,5940
150,9.312,8.677,10.97,5700
151,8.222,7.087,6.09,4500
152,9.767,9.303,10.22,6800
153,7.076,7.076,5.26,10500
154,7.869,6.929,4.51,5310
155,8.817,7.723,4.98,4660
156,9.904,9.131,9.63,5310
157,8.631,7.580,4.67,4660
158,8.371,7.381,4.73,4660
159,9.486,8.809,18.70,5560
160,9.885,9.126,22.30,4930
161,7.598,7.136,19.70,6500
162,10.434,9.673,7.01,5560
163,8.364,7.363,4.05,4660
164,8.843,8.215,20.95,5370
165,6.439,5.541,8.73,5050
166,10.826,10.164,7.23,4930
167,9.862,9.371,6.42,6500
168,10.619,9.982,8.14,5500
169,8.109,7.506,24.95,5940
170,8.039,7.449,26.36,5750
171,10.067,9.562,6.57,5370
172,9.595,8.774,25.48,4550
173,8.171,7.922,4.15,9000
174,8.598,7.484,5.59,4500
175,10.291,9.645,12.90,5700
176,9.307,8.213,5.46,4500
177,7.875,7.906,4.50,10500
178,9.336,8.859,5.92,6650
179,9.218,8.725,7.00,6200
180,8.232,7.965,4.65,7750
181,7.722,7.307,6.42,7000
182,8.970,8.355,8.22,5900
183,5.546,5.565,3.45,10500
184,7.671,6.684,5.25,4700
185,6.827,6.065,72.90,5150
186,8.753,7.711,4.88,4800
187,9.097,8.550,5.57,6200
188,10.522,9.843,10.02,5370
189,8.777,8.208,9.02,6250
190,9.121,8.715,6.34,6800
191,6.579,6.181,25.59,7000
192,9.022,7.916,5.05,4700
193,9.520,8.975,6.65,6500
194,8.807,8.230,18.65,5900
195,10.368,9.637,15.93,4930
196,8.670,8.282,8.39,7460
197,8.753,8.236,4.19,6370
198,7.656,7.436,7.05,8610
199,8.822,8.395,5.11,6900
200,9.520,9.173,5.82,7030
201,9.581,9.335,6.30,7350
202,7.967,7.548,11.89,6650
203,8.279,7.861,4.30,7030
204,8.831,8.218,17.34,5940
205,6.337,6.198,6.23,9000
206,9.576,8.935,8.44,5700
207,7.565,7.048,20.59,6650
208,7.939,7.473,7.48,6650
209,8.822,8.555,5.42,8610
210,9.477,8.690,30.79,5150
211,8.967,8.501,10.10,6370
212,9.026,8.440,8.48,6200
213,8.786,8.201,8.13,5940
214,8.718,8.342,9.26,7460
215,8.388,7.382,5.44,4660
216,8.472,8.001,9.19,6370
217,6.317,6.434,6.46,11100
218,9.550,8.569,6.98,4660
219,7.846,7.660,5.65,9000
220,8.423,7.809,21.92,5370
221,9.671,9.069,11.27,5560
222,8.340,7.843,10.53,6650
223,7.342,7.171,8.97,8600
224,10.187,9.727,6.28,6800
225,7.303,7.110,8.18,8610
226,10.024,9.678,6.61,7350
227,6.777,5.657,10.10,4500
228,8.755,8.152,10.03,5750
229,7.678,7.034,35.84,5700
230,7.015,5.980,9.88,4800
231,10.074,9.223,57.50,4800
232,9.963,9.397,10.81,5370
233,8.293,7.597,25.25,5790
234,12.178,10.720,45.70,3620
235,8.098,7.585,7.69,6800
236,9.913,9.222,11.10,5650
237,8.135,7.767,14.18,6370
238,9.380,8.935,9.43,6370
239,8.187,7.754,9.15,7030
240,8.746,7.374,3.00,4250
241,8.034,7.059,6.26,4660
242,7.427,7.427,6.34,9980
243,8.342,7.876,5.00,6900
244,9.135,8.644,6.78,6900
245,8.291,7.802,8.69,6650
246,7.743,7.429,11.22,7460
247,10.026,9.545,4.67,6650
248,7.218,6.243,7.61,4660
249,9.000,8.456,12.69,5370
250,9.508,8.607,31.51,4310
251,8.378,7.722,18.44,5940
252,6.604,5.553,11.31,4700
253,8.192,7.760,6.40,6900
254,9.265,8.565,10.43,4930
255,9.616,9.222,6.42,6370
256,10.008,9.182,8.46,5310
257,7.584,7.109,8.67,6370
258,6.926,7.035,2.97,15200
259,9.930,9.255,6.67,5700
260,9.777,9.243,5.80,5370
261,8.468,7.774,21.64,5370
262,10.053,9.586,7.82,6500
263,9.064,8.565,7.61,6800
