_RAJ2000;_DEJ2000;Vmag;B-V
250.2954714;+36.5105217;14.242; 0.573
250.2355717;+36.5224392;14.308; 0.889
250.3688144;+36.5340739;14.503; 0.844
250.3550744;+36.4402069;14.721; 0.597
250.3625489;+36.5410508;14.736; 0.824
250.3137244;+36.5112450;14.889; 0.581
250.3273436;+36.4158453;15.030; 1.379
250.3700908;+36.5144086;15.045; 0.788
250.3208942;+36.4775161;15.063; 0.073
250.3145025;+36.5384175;15.076; 0.076
250.3778369;+36.5427600;15.174; 0.780
250.3080658;+36.5167161;15.216; 0.821
250.3610389;+36.5311931;15.221; 0.047
250.1943875;+36.4318103;15.262; 0.042
250.2731081;+36.5160208;15.356; 0.779
250.3321311;+36.5428111;15.427; 0.638
250.2086525;+36.4529725;15.431; 0.782
250.2582108;+36.5176819;15.446;-0.005
250.2459903;+36.3916767;15.450; 0.586
250.3270003;+36.4977372;15.478; 0.774
250.3305697;+36.5351022;15.482;-0.039
250.3279561;+36.4849339;15.490; 0.748
250.3467261;+36.4532106;15.524; 0.769
250.2325003;+36.5084917;15.573; 0.835
250.3599975;+36.5308628;15.586; 0.564
250.3558317;+36.5127161;15.648; 0.738
250.3179600;+36.4718725;15.692; 0.834
250.3571803;+36.5174819;15.794; 0.740
250.3701989;+36.5308994;15.866; 0.721
250.3434725;+36.4805836;15.904; 0.621
250.3716028;+36.5047567;15.925; 0.728
250.2702422;+36.4503833;15.963; 0.715
250.3414325;+36.5170969;15.974; 0.719
250.3021292;+36.4961528;15.998;-0.073
250.3766256;+36.5091656;16.057; 0.683
250.3631958;+36.4693372;16.091; 0.699
250.3052486;+36.5196778;16.110; 0.710
250.3372806;+36.5319708;16.156; 0.720
250.2485628;+36.4523981;16.245; 0.656
250.2867594;+36.4863106;16.306; 0.705
250.2246017;+36.5029047;16.337; 1.551
250.3436081;+36.4940894;16.342; 0.702
250.3482744;+36.5031406;16.394; 0.689
250.2769900;+36.4610028;16.420; 0.579
250.3431511;+36.5294297;16.433;-0.092
250.3379644;+36.5188433;16.435; 0.681
250.3795111;+36.5353856;16.529; 0.665
250.3470178;+36.5227011;16.605; 0.689
250.3089986;+36.5147019;16.650; 0.830
250.3568419;+36.4559278;16.722; 0.640
250.2798978;+36.5378428;16.746; 0.674
250.2954117;+36.4947511;16.865; 0.920
250.2056756;+36.5050403;16.914; 0.922
250.3134847;+36.4987761;16.941; 0.679
250.2919925;+36.5443158;16.959;-0.144
250.2016967;+36.4458153;17.010; 0.879
250.3637497;+36.4074567;17.034; 1.390
250.2837633;+36.5318194;17.091; 0.650
250.3733444;+36.5192047;17.101; 0.661
250.3168644;+36.4174889;17.136; 0.766
250.2236289;+36.5285492;17.178; 0.663
250.3510814;+36.4646556;17.188; 0.661
250.2455239;+36.5024497;17.208; 0.757
250.2216483;+36.5339647;17.214; 0.755
250.2817925;+36.4250842;17.228; 0.572
250.3038131;+36.4307806;17.244; 0.627
250.2234189;+36.4223806;17.285; 1.028
250.3677808;+36.5366892;17.416;-0.161
250.2157281;+36.4887700;17.435; 0.637
250.2841456;+36.5165228;17.488; 0.637
250.3088900;+36.5312411;17.534; 0.609
250.3662836;+36.5219756;17.545; 0.625
250.2156872;+36.5337256;17.602; 0.768
250.2986061;+36.5140606;17.610; 1.046
250.2672042;+36.4360117;17.626; 0.566
250.3517069;+36.5177000;17.649; 0.857
250.3680719;+36.5445203;17.722; 0.608
250.2667944;+36.4810406;17.741; 0.617
250.3692728;+36.4966531;17.776; 0.580
250.3008450;+36.4943975;17.782; 0.604
250.3142244;+36.5041308;17.793; 1.641
250.2533303;+36.5402336;17.821; 0.566
250.3676331;+36.4996031;17.826; 0.559
250.2095550;+36.5308414;17.869; 0.579
250.2394842;+36.4520425;17.874; 0.782
250.3276322;+36.5118097;17.891; 0.542
250.2727028;+36.4891794;17.895; 0.552
250.3538578;+36.5324336;17.898; 0.513
250.2794050;+36.5255117;17.908; 0.535
250.3755989;+36.4020514;17.918; 0.504
250.3308581;+36.5121553;17.921; 0.512
250.1944983;+36.4077814;17.927; 0.568
250.2347506;+36.5429725;17.945; 0.525
250.3102575;+36.4689231;17.956; 0.511
250.3739100;+36.4375042;17.969; 0.486
250.3104511;+36.5245942;17.991; 0.499
250.3577503;+36.5149644;17.993; 0.492
250.3330767;+36.4889536;18.002; 0.493
250.3731858;+36.5418903;18.002; 0.485
250.2556342;+36.4904381;18.022; 0.492
250.2683350;+36.4622428;18.025; 0.510
250.3248892;+36.5236506;18.026; 0.470
250.2922642;+36.5454433;18.026; 0.465
250.2813800;+36.4856336;18.039; 1.095
250.3747725;+36.5075753;18.044; 0.472
250.3371003;+36.5203753;18.053; 0.477
250.3537175;+36.5311114;18.054; 0.487
250.3175194;+36.4068394;18.073; 0.464
250.3513953;+36.4748497;18.079; 0.464
250.3110894;+36.4970472;18.098; 0.466
250.2674556;+36.4101458;18.125; 0.457
250.3479564;+36.5005022;18.129; 0.447
250.3759883;+36.5301044;18.129; 0.461
250.3005539;+36.5315956;18.138; 0.460
250.3494047;+36.4673519;18.139; 0.458
250.3788294;+36.5058706;18.157; 0.432
250.2247475;+36.4991133;18.168; 0.718
250.3591489;+36.5330475;18.168; 0.444
250.2205339;+36.3917869;18.170; 0.524
250.3147867;+36.5194661;18.174; 0.447
250.3487200;+36.4729253;18.176; 0.448
250.3157047;+36.4582908;18.181; 0.449
250.3756861;+36.4653822;18.182; 1.369
250.3305228;+36.5434372;18.191; 0.437
250.2754819;+36.5446675;18.198; 0.439
250.2880150;+36.5116400;18.199; 1.155
250.2876433;+36.4461056;18.202; 0.443
250.3159558;+36.4844700;18.204; 0.518
250.2635064;+36.4936067;18.210; 0.453
250.3664772;+36.5159744;18.210; 0.448
250.2600306;+36.5081842;18.227; 0.444
250.3381181;+36.4615728;18.234; 1.203
250.3278056;+36.4757064;18.237; 0.455
250.3371956;+36.5275669;18.242; 0.447
250.2605425;+36.4428178;18.242; 0.444
250.3641794;+36.4709842;18.247; 0.452
250.2561267;+36.5200331;18.254; 0.441
250.2466906;+36.4574069;18.259; 0.427
250.3057192;+36.5354614;18.260; 0.441
250.3793072;+36.5427258;18.271; 0.427
250.2922778;+36.5183300;18.273; 0.439
250.3689036;+36.4647194;18.285; 0.443
250.3481431;+36.4996181;18.294; 0.442
250.3697750;+36.4823439;18.304; 1.516
250.2804825;+36.5330408;18.317; 0.439
250.3624089;+36.4874853;18.318; 0.440
250.1991933;+36.4246783;18.333; 0.444
250.3770358;+36.4490383;18.338; 0.792
250.2200789;+36.5312097;18.340; 0.441
250.2624300;+36.4612139;18.350; 0.431
250.3571750;+36.4835172;18.351; 0.455
250.3433894;+36.5246764;18.398; 0.437
250.3187303;+36.5458356;18.399; 0.417
250.3436831;+36.4830033;18.408; 0.447
250.2688250;+36.5171431;18.408; 0.426
250.2529286;+36.4598392;18.419; 1.563
250.2765500;+36.5457714;18.420; 0.415
250.2990292;+36.3935292;18.421; 0.435
250.3056042;+36.4983833;18.431; 0.441
250.2827681;+36.5165197;18.441; 0.427
250.3431369;+36.4747469;18.448; 0.437
250.3282400;+36.5440639;18.450; 0.427
