_RAJ2000;_DEJ2000;RAJ2000;DEJ2000;Bmag;Vmag;Seq;rad;Pkin;Pph;Psp
 49.7162593116;+25.8336094302;  49.71612294;+025.83356884; 12.625; 13.109;  47; 6.6326; 0.0000; 0.0000;0
 49.7186416766;+18.3763954929;  49.71867825;+018.37646717; 12.195; 11.296;  47; 8.8655; 0.0000; 0.0000;0
 49.7215825207;+23.7922008187;  49.72159296;+023.79221635; 11.546; 10.728;  47; 6.5171; 0.0000; 0.0000;0
 49.7243198225;+30.4888022912;  49.72436859;+030.48882001; 12.137; 11.815;  47; 8.8378; 0.0000; 0.0000;0
 49.7275296349;+23.9658156283;  49.72754785;+023.96588767; 11.201; 10.433;  47; 6.4965; 0.0000; 0.0000;0
 49.7298696671;+26.6465493226;  49.72985098;+026.64656009; 12.208; 10.500;  47; 6.8347; 0.0000; 0.0000;0
 49.7341166435;+23.2567304661;  49.73404995;+023.25672998; 12.258; 11.972;  47; 6.5808; 0.0000; 0.0000;0
 49.7387540075;+25.4837254449;  49.73878656;+025.48374924; 12.634; 11.248;  47; 6.5494; 0.0000; 0.0000;0
 49.7395444724;+24.2837239887;  49.73938395;+024.28404577; 11.219; 10.497;  47; 6.4699; 0.0000; 0.0000;0
 49.7415121952;+22.0556359965;  49.74151626;+022.05567175; 12.519; 10.868;  47; 6.8909; 0.0000; 0.0000;0
 49.7419827051;+19.5376779329;  49.74196721;+019.53769711; 12.106; 10.835;  47; 8.1044; 0.0000; 0.0000;0
 49.7439840557;+21.8605621801;  49.74396939;+021.86059176; 11.190;  9.324;  47; 6.9582; 0.0000; 0.0000;0
 49.7463342972;+25.5135618532;  49.74630631;+025.51358419; 10.063;  9.713;  47; 6.5475; 0.0000; 0.0000;0
 49.7479695864;+20.2193989915;  49.74794728;+020.21941987; 12.548; 11.493;  47; 7.7098; 0.0000; 0.0000;0
 49.7492158104;+26.6943296418;  49.74920316;+026.69435368; 10.346;  8.560;  47; 6.8340; 0.0000; 0.0000;0
 49.7601635037;+26.4695700784;  49.76002517;+026.46952295; 10.563;  9.888;  47; 6.7551; 0.0000; 0.0000;0
 49.7611155336;+22.3351215662;  49.76105352;+022.33514366; 11.531; 10.853;  47; 6.7823; 0.0000; 0.0000;0
 49.7639689043;+19.8642612472;  49.76400984;+019.86428215; 10.039;  9.633;  47; 7.8954; 0.0000; 0.0000;0
 49.7651732969;+25.5307667818;  49.76519212;+025.53078207; 12.566; 12.371;  47; 6.5336; 0.0000; 0.0000;0
 49.7653294004;+19.8112280017;  49.76533728;+019.81122946; 11.131; 10.633;  47; 7.9249; 0.0000; 0.0000;0
 49.7661097150;+23.9484505560;  49.76617166;+023.94851324; 12.225; 12.499;  47; 6.4626; 0.0000; 0.0000;0
 49.7673301558;+19.9906649958;  49.76729211;+019.99068410; 10.257;  9.955;  47; 7.8208; 0.0000; 0.0000;0
 49.7701401752;+26.4610572843;  49.77014232;+026.46108351; 12.767; 11.444;  47; 6.7441; 0.0000; 0.0000;0
 49.7743860392;+18.6116701518;  49.77436267;+018.61167669; 12.436; 11.942;  47; 8.6670; 0.0000; 0.0000;0
 49.7760511765;+30.0686318965;  49.77604078;+030.06863965; 12.294; 11.044;  47; 8.5268; 0.0000; 0.0000;0
 49.7784085880;+28.6751579618;  49.77839113;+028.67517325; 13.815; 11.000;  47; 7.6864; 0.0000; 0.0000;0
 49.7847142443;+27.3048680875;  49.78455094;+027.30495848; 11.810; 10.795;  47; 7.0280; 0.0000; 0.0000;0
 49.7872031079;+19.4699244317;  49.78719888;+019.46993814;  9.794;  9.613;  47; 8.1103; 0.0000; 0.0000;0
 49.7873246450;+18.5374317540;  49.78726899;+018.53746357; 12.832; 12.543;  47; 8.7072; 0.0000; 0.0000;0
 49.7928146765;+20.3637366351;  49.79275191;+020.36375484; 12.189; 11.674;  47; 7.5959; 0.0000; 0.0000;0
 49.7956041495;+18.7903372257;  49.79559750;+018.79036000;       ; 12.749;  47; 8.5333; 0.0000; 0.0000;0
 49.7982337036;+23.0821333465;  49.79814279;+023.08219360; 11.901; 11.239;  47; 6.5562; 0.0000; 0.0000;0
 49.8063626157;+21.3659483653;  49.80638503;+021.36601015; 10.463;  9.937;  47; 7.1013; 0.0000; 0.0000;0
 49.8068857271;+18.1481018679;  49.80686616;+018.14812542; 11.348; 10.663;  47; 8.9591; 0.0000; 0.0000;0
 49.8180018851;+18.5178455112;  49.81797879;+018.51786323; 13.442; 11.801;  47; 8.6980; 0.0000; 0.0000;0
 49.8185446454;+29.4479106532;  49.81849105;+029.44796799; 12.919; 11.717;  47; 8.1067; 0.0000; 0.0000;0
 49.8188036335;+29.3744683076;  49.81881764;+029.37453245; 11.189; 10.575;  47; 8.0618; 0.0000; 0.0000;0
 49.8251142805;+18.8477595976;  49.82510655;+018.84777124; 12.483; 11.435;  47; 8.4739; 0.0000; 0.0000;0
 49.8265942015;+25.5770892207;  49.82660145;+025.57710937; 13.145; 11.583;  47; 6.4874; 0.0000; 0.0000;0
 49.8308339357;+29.6161401433;  49.83082504;+029.61618156; 11.237;  9.436;  47; 8.2028; 0.0000; 0.0000;0
 49.8381943823;+28.7192152285;  49.83816185;+028.71923285; 10.307;  9.830;  47; 7.6684; 0.0000; 0.0000;0
 49.8388264383;+20.3030767931;  49.83882408;+020.30308705; 11.344;  9.916;  47; 7.5909; 0.0000; 0.0000;0
 49.8392732362;+26.1163477726;  49.83919853;+026.11638129; 12.493; 12.764;  47; 6.5912; 0.0000; 0.0000;0
 49.8419796071;+23.6656047183;  49.84198380;+023.66560326; 12.818; 11.269;  47; 6.4210; 0.0000; 0.0000;0
 49.8709843748;+19.7205400619;  49.87074363;+019.72058301;  9.030;  8.507;  47; 7.8952; 0.0000; 0.0000;0
 49.8773845770;+29.9864360060;  49.87739322;+029.98646719; 10.724; 10.128;  47; 8.4102; 0.0000; 0.0000;0
 49.8776000099;+23.3247861611;  49.87756189;+023.32486180; 11.140; 10.574;  47; 6.4381; 0.0000; 0.0000;0
 49.8837021172;+24.3829819687;  49.88367810;+024.38303250; 12.322; 12.508;  47; 6.3368; 0.0000; 0.0119;1
