eta,delta
-4.315,-22.76
-5.89,-22.29
-7.377,-21.71
-8.759,-21.02
-10.02,-20.24
-11.15,-19.38
-12.13,-18.43
-12.95,-17.42
-13.6,-16.35
-14.09,-15.22
-14.4,-14.05
-14.54,-12.84
-14.51,-11.6
-14.32,-10.33
-13.96,-9.041
-13.46,-7.738
-12.82,-6.424
-12.05,-5.102
-11.18,-3.776
-10.21,-2.447
-9.167,-1.119
-8.066,0.206
-6.928,1.527
-5.771,2.842
-4.614,4.149
-3.477,5.446
-2.377,6.731
-1.331,8.002
-0.3555,9.256
0.5349,10.49
1.328,11.7
2.012,12.88
2.579,14.03
3.021,15.15
3.336,16.22
3.52,17.24
3.574,18.21
3.5,19.12
3.304,19.96
2.993,20.72
2.576,21.41
2.065,22.
1.471,22.51
0.8098,22.91
0.0966,23.21
-0.6521,23.41
-1.419,23.5
-2.186,23.47
-2.936,23.34
-3.652,23.11
-4.315,22.76
-4.911,22.32
-5.423,21.78
-5.839,21.16
-6.144,20.44
-6.331,19.66
-6.388,18.8
-6.311,17.87
-6.096,16.89
-5.74,15.86
-5.244,14.78
-4.611,13.67
-3.846,12.52
-2.958,11.35
-1.956,10.14
-0.8525,8.921
0.3392,7.681
1.603,6.426
2.923,5.158
4.28,3.88
5.655,2.593
7.028,1.298
8.38,-0.001955
9.691,-1.306
10.94,-2.613
12.11,-3.92
13.18,-5.227
14.13,-6.529
14.95,-7.824
15.63,-9.109
16.15,-10.38
16.5,-11.63
16.68,-12.86
16.68,-14.06
16.49,-15.22
16.13,-16.34
15.58,-17.41
14.86,-18.41
13.97,-19.35
12.93,-20.22
11.74,-21.
10.42,-21.68
8.979,-22.27
7.445,-22.75
5.834,-23.11
4.164,-23.36
2.457,-23.48
0.7339,-23.49
-0.9832,-23.37
-2.673,-23.12
-4.315,-22.76
