eta	delta
-4.315493462650442	-22.764234545691092
-5.8895955865649405	-22.289847736132895
-7.376600518460268	-21.70692957646406
-8.758819719188196	-21.022167256529478
-10.020171609816504	-20.243048282477073
-11.146412625965773	-19.3776184295304
-12.125339554456735	-18.43424443734887
-12.946960049278418	-17.421392478441117
-13.603628724309818	-16.347430637753778
-14.090146761352509	-15.220460782688784
-14.403823545332738	-14.04818259436071
-14.544499434974021	-12.837790363662249
-14.514529387429608	-11.595901505633865
-14.318727769686502	-10.328514602156819
-13.964275298331149	-9.040994081644778
-13.460589642915533	-7.7380782956166065
-12.819161797332267	-6.423907662143301
-12.053360859337396	-5.102069630303793
-11.178210352219372	-3.7756574079259764
-10.210139666826281	-2.447339633196339
-9.16671458975038	-1.1194384201710754
-8.066351208329289	0.2059865579965882
-6.928017740155172	1.5270500836201797
-5.770929019957071	2.8419514853319368
-4.6142384871316	4.148884676017715
-3.4767325511287455	5.44594995226555
-2.3765321688357828	6.731069363892762
-1.3308063487460398	8.001907503253115
-0.35550210295455864	9.255799645769274
0.5349048970317032	10.489689285545355
1.3276350368481313	11.700077238498205
2.0118013183776955	12.882984609894384
2.5785746812197026	14.03393201599947
3.0213155044544444	15.147937474908908
3.3356692453802976	16.219535294948606
3.5196247427456466	17.242818038007574
3.573534305928559	18.211503163230386
3.500095319132867	19.119025209667733
3.304293701389609	19.958653314257003
2.9933101692855844	20.723632471724116
2.576390840328467	21.4073452590608
2.06468428135998	22.00348886411653
1.4710476394819707	22.506260341361376
0.8098249841607315	22.91054130047179
0.09660143074721651	23.212071990874357
-0.6520629993672985	23.407604252965825
-1.4189155044555373	23.495023279754445
-2.186304081987532	23.473429665270395
-2.9364778472491926	23.343175736434333
-3.651889268269091	23.105853425072887
-4.315493462650406	22.764234545691092
-4.911039747174899	22.32216784170651
-5.423350752518559	21.784440110087157
-5.838584611166067	21.156610782539484
-6.144475993556871	20.444830365674104
-6.330552101429067	19.65565313447311
-6.388320122975951	18.795853592140695
-6.31142310555474	17.872254706832827
-6.095761701171685	16.89157409375992
-5.73957977992202	15.860292388761069
-5.243512478474426	14.784546258601926
-4.610595845520697	13.670046945264033
-3.846237854480056	12.522024010153068
-2.9581511660424202	11.345193039005345
-1.9562486296933443	10.143745461769251
-0.8525031045997894	8.92135828561205
0.339226253181946	7.681221377460285
1.6033985572349645	6.4260799103030655
2.923023440174306	5.1582896562733795
4.279917373851141	3.879882929070298
5.654980063948336	2.5926431170052835
7.028486600980604	1.2981858820188619
8.380390796108157	-0.0019547879465567353
9.690634948513944	-1.3062374080665775
10.939461184280027	-2.6130224069274655
12.107719476429558	-3.9204818303542037
13.177167502575795	-5.226511114425817
14.130757619724925	-6.5286448176313865
14.952906433308874	-7.823978365251832
15.629742706341698	-9.109098065521762
16.1493296905469	-10.380021896822113
16.501858359055067	-11.632153821504042
16.67980847361343	-12.860254629410838
16.678074921026806	-14.058432515462403
16.494057295894358	-15.22015669904976
16.12771128106149	-16.338297330654658
15.581560974566134	-17.405194620090274
14.86067192277695	-18.41275946828015
13.972585234339212	-19.352606799845383
12.927213758738782	-20.21622120833264
11.736701907186855	-20.9951524210524
10.415251262790495	-21.68123553009977
8.978914662620257	-22.26682809596778
7.445361927884486	-22.74505341209535
5.833620862228077	-23.110036835777592
4.163797525169293	-23.357120613170082
2.456780111804222	-23.483042487462598
0.733931026034547	-23.48606486189219
-0.9832280813076802	-23.36604441895253
-2.6733334288792348	-23.12443658901819
-4.315493462650406	-22.7642345456911
