d,x,y
1.e-6,1.934,1.029
0.005001,1.933,1.029
0.01,1.933,1.029
0.015,1.933,1.029
0.02,1.932,1.028
0.025,1.931,1.028
0.03,1.931,1.028
0.035,1.929,1.027
0.04,1.928,1.027
0.045,1.927,1.026
0.05,1.925,1.025
0.055,1.923,1.024
0.06,1.921,1.023
0.065,1.919,1.023
0.07,1.917,1.021
0.075,1.914,1.02
0.08,1.912,1.019
0.085,1.909,1.018
0.09,1.906,1.017
0.095,1.903,1.015
0.1,1.899,1.014
0.105,1.896,1.012
0.11,1.892,1.01
0.115,1.888,1.008
0.12,1.884,1.007
0.125,1.88,1.005
0.13,1.875,1.003
0.135,1.87,1.
0.14,1.865,0.9981
0.145,1.86,0.9958
0.15,1.855,0.9933
0.155,1.849,0.9908
0.16,1.843,0.9881
0.165,1.837,0.9854
0.17,1.831,0.9825
0.175,1.825,0.9795
0.18,1.818,0.9765
0.185,1.811,0.9733
0.19,1.804,0.9699
0.195,1.796,0.9665
0.2,1.788,0.9629
0.205,1.78,0.9592
0.21,1.772,0.9554
0.215,1.763,0.9514
0.22,1.754,0.9473
0.225,1.745,0.943
0.23,1.735,0.9386
0.235,1.725,0.9339
0.24,1.715,0.9292
0.245,1.704,0.9242
0.25,1.693,0.919
0.255,1.682,0.9137
0.26,1.67,0.9081
0.265,1.658,0.9023
0.27,1.645,0.8962
0.275,1.631,0.8899
0.28,1.617,0.8832
0.285,1.603,0.8763
0.29,1.588,0.8691
0.295,1.572,0.8614
0.3,1.555,0.8534
0.305,1.538,0.8448
0.31,1.519,0.8358
0.315,1.499,0.8262
0.32,1.479,0.8158
0.325,1.456,0.8046
0.33,1.432,0.7925
0.335,1.406,0.779
0.34,1.377,0.7639
0.345,1.344,0.7465
0.35,1.305,0.7254
0.355,1.253,0.697
