d	x	y
1.e-6	1.9335	1.029
0.005001	1.9334	1.0289
0.010001	1.9332	1.0288
0.015001	1.9328	1.0286
0.020001	1.9322	1.0283
0.025001	1.9314	1.028
0.030001	1.9305	1.0276
0.035001	1.9294	1.0271
0.040001	1.9281	1.0265
0.045001	1.9267	1.0259
0.050001	1.9251	1.0252
0.055001	1.9233	1.0244
0.060001	1.9214	1.0235
0.065001	1.9193	1.0225
0.070001	1.917	1.0215
0.075001	1.9145	1.0204
0.080001	1.9118	1.0192
0.085001	1.909	1.0179
0.090001	1.906	1.0165
0.095001	1.9028	1.0151
0.1	1.8994	1.0135
0.105	1.8958	1.0119
0.11	1.8921	1.0102
0.115	1.8881	1.0084
0.12	1.884	1.0065
0.125	1.8796	1.0046
0.13	1.8751	1.0025
0.135	1.8703	1.0004
0.14	1.8654	0.99811
0.145	1.8602	0.99576
0.15	1.8548	0.99332
0.155	1.8492	0.99077
0.16	1.8434	0.98813
0.165	1.8374	0.98537
0.17	1.8311	0.98251
0.175	1.8246	0.97954
0.18	1.8178	0.97646
0.185	1.8108	0.97326
0.19	1.8036	0.96994
0.195	1.7961	0.9665
0.2	1.7883	0.96292
0.205	1.7802	0.95922
0.21	1.7718	0.95538
0.215	1.7632	0.9514
0.22	1.7542	0.94727
0.225	1.745	0.94299
0.23	1.7354	0.93855
0.235	1.7254	0.93394
0.24	1.7151	0.92916
0.245	1.7044	0.92419
0.25	1.6934	0.91903
0.255	1.6819	0.91366
0.26	1.67	0.90808
0.265	1.6576	0.90226
0.27	1.6447	0.8962
0.275	1.6313	0.88987
0.28	1.6174	0.88325
0.285	1.6029	0.87632
0.29	1.5877	0.86905
0.295	1.5718	0.86141
0.3	1.5551	0.85335
0.305	1.5376	0.84484
0.31	1.5191	0.83579
0.315	1.4995	0.82615
0.32	1.4786	0.81582
0.325	1.4563	0.80465
0.33	1.4322	0.79248
0.335	1.4059	0.77904
0.34	1.3768	0.76394
0.345	1.3437	0.74649
0.35	1.3045	0.72537
0.355	1.2535	0.69701
