l,n,x
0.3,1.553,1.7865
0.305,1.5512,1.7922
0.31,1.5496,1.7975
0.315,1.5481,1.8026
0.32,1.5466,1.8074
0.325,1.5452,1.812
0.33,1.5439,1.8164
0.335,1.5427,1.8206
0.34,1.5415,1.8245
0.345,1.5404,1.8283
0.35,1.5394,1.832
0.355,1.5384,1.8354
0.36,1.5374,1.8388
0.365,1.5365,1.8419
0.37,1.5356,1.845
0.375,1.5347,1.8479
0.38,1.5339,1.8507
0.385,1.5332,1.8534
0.39,1.5324,1.856
0.395,1.5317,1.8585
0.4,1.531,1.8609
0.405,1.5304,1.8632
0.41,1.5298,1.8654
0.415,1.5292,1.8676
0.42,1.5286,1.8696
0.425,1.528,1.8716
0.43,1.5275,1.8736
0.435,1.527,1.8754
0.44,1.5265,1.8772
0.445,1.526,1.879
0.45,1.5255,1.8806
0.455,1.5251,1.8823
0.46,1.5246,1.8838
0.465,1.5242,1.8854
0.47,1.5238,1.8869
0.475,1.5234,1.8883
0.48,1.523,1.8897
0.485,1.5227,1.891
0.49,1.5223,1.8923
0.495,1.5219,1.8936
0.5,1.5216,1.8948
0.505,1.5213,1.896
0.51,1.521,1.8972
0.515,1.5207,1.8983
0.52,1.5204,1.8994
0.525,1.5201,1.9005
0.53,1.5198,1.9016
0.535,1.5195,1.9026
0.54,1.5192,1.9036
0.545,1.519,1.9045
0.55,1.5187,1.9055
0.555,1.5185,1.9064
0.56,1.5182,1.9073
0.565,1.518,1.9082
0.57,1.5178,1.909
0.575,1.5175,1.9099
0.58,1.5173,1.9107
0.585,1.5171,1.9115
0.59,1.5169,1.9123
0.595,1.5167,1.913
0.6,1.5165,1.9138
0.605,1.5163,1.9145
0.61,1.5161,1.9152
0.615,1.5159,1.9159
0.62,1.5157,1.9166
0.625,1.5156,1.9173
0.63,1.5154,1.9179
0.635,1.5152,1.9186
0.64,1.515,1.9192
0.645,1.5149,1.9198
0.65,1.5147,1.9204
0.655,1.5146,1.921
0.66,1.5144,1.9216
0.665,1.5143,1.9222
0.67,1.5141,1.9227
0.675,1.514,1.9233
0.68,1.5138,1.9238
0.685,1.5137,1.9244
0.69,1.5135,1.9249
0.695,1.5134,1.9254
0.7,1.5133,1.9259
0.705,1.5131,1.9264
0.71,1.513,1.9269
0.715,1.5129,1.9274
0.72,1.5127,1.9279
0.725,1.5126,1.9283
0.73,1.5125,1.9288
0.735,1.5124,1.9292
0.74,1.5123,1.9297
0.745,1.5121,1.9301
0.75,1.512,1.9306
0.755,1.5119,1.931
0.76,1.5118,1.9314
0.765,1.5117,1.9318
0.77,1.5116,1.9322
0.775,1.5115,1.9327
0.78,1.5114,1.9331
0.785,1.5113,1.9334
0.79,1.5112,1.9338
0.795,1.5111,1.9342
0.8,1.511,1.9346
0.805,1.5109,1.935
0.81,1.5108,1.9354
0.815,1.5107,1.9357
0.82,1.5106,1.9361
0.825,1.5105,1.9364
0.83,1.5104,1.9368
0.835,1.5103,1.9371
0.84,1.5102,1.9375
0.845,1.5101,1.9378
0.85,1.51,1.9382
0.855,1.51,1.9385
0.86,1.5099,1.9389
0.865,1.5098,1.9392
0.87,1.5097,1.9395
0.875,1.5096,1.9398
0.88,1.5095,1.9402
0.885,1.5094,1.9405
0.89,1.5094,1.9408
0.895,1.5093,1.9411
0.9,1.5092,1.9414
0.905,1.5091,1.9417
0.91,1.509,1.942
0.915,1.509,1.9423
0.92,1.5089,1.9426
0.925,1.5088,1.9429
0.93,1.5087,1.9432
0.935,1.5086,1.9435
0.94,1.5086,1.9438
0.945,1.5085,1.9441
0.95,1.5084,1.9444
0.955,1.5083,1.9447
0.96,1.5083,1.945
0.965,1.5082,1.9452
0.97,1.5081,1.9455
0.975,1.5081,1.9458
0.98,1.508,1.9461
0.985,1.5079,1.9464
0.99,1.5078,1.9466
0.995,1.5078,1.9469
1.,1.5077,1.9472
1.005,1.5076,1.9474
1.01,1.5076,1.9477
1.015,1.5075,1.948
1.02,1.5074,1.9482
1.025,1.5074,1.9485
1.03,1.5073,1.9488
1.035,1.5072,1.949
1.04,1.5072,1.9493
1.045,1.5071,1.9496
1.05,1.507,1.9498
1.055,1.507,1.9501
1.06,1.5069,1.9503
1.065,1.5068,1.9506
1.07,1.5068,1.9508
1.075,1.5067,1.9511
1.08,1.5066,1.9513
1.085,1.5066,1.9516
1.09,1.5065,1.9518
1.095,1.5064,1.9521
1.1,1.5064,1.9523
1.105,1.5063,1.9526
1.11,1.5062,1.9528
1.115,1.5062,1.9531
1.12,1.5061,1.9533
1.125,1.506,1.9536
1.13,1.506,1.9538
1.135,1.5059,1.9541
1.14,1.5059,1.9543
1.145,1.5058,1.9546
1.15,1.5057,1.9548
1.155,1.5057,1.955
1.16,1.5056,1.9553
1.165,1.5055,1.9555
1.17,1.5055,1.9558
1.175,1.5054,1.956
1.18,1.5054,1.9563
1.185,1.5053,1.9565
1.19,1.5052,1.9567
1.195,1.5052,1.957
1.2,1.5051,1.9572
1.205,1.5051,1.9575
1.21,1.505,1.9577
1.215,1.5049,1.9579
1.22,1.5049,1.9582
1.225,1.5048,1.9584
1.23,1.5048,1.9586
1.235,1.5047,1.9589
1.24,1.5046,1.9591
1.245,1.5046,1.9594
1.25,1.5045,1.9596
1.255,1.5044,1.9598
1.26,1.5044,1.9601
1.265,1.5043,1.9603
1.27,1.5043,1.9605
1.275,1.5042,1.9608
1.28,1.5041,1.961
1.285,1.5041,1.9613
1.29,1.504,1.9615
1.295,1.504,1.9617
1.3,1.5039,1.962
1.305,1.5038,1.9622
1.31,1.5038,1.9624
1.315,1.5037,1.9627
1.32,1.5037,1.9629
1.325,1.5036,1.9631
1.33,1.5035,1.9634
1.335,1.5035,1.9636
1.34,1.5034,1.9639
1.345,1.5034,1.9641
1.35,1.5033,1.9643
1.355,1.5032,1.9646
1.36,1.5032,1.9648
1.365,1.5031,1.965
1.37,1.5031,1.9653
1.375,1.503,1.9655
1.38,1.5029,1.9658
1.385,1.5029,1.966
1.39,1.5028,1.9662
1.395,1.5028,1.9665
1.4,1.5027,1.9667
1.405,1.5026,1.9669
1.41,1.5026,1.9672
1.415,1.5025,1.9674
1.42,1.5025,1.9677
1.425,1.5024,1.9679
1.43,1.5023,1.9681
1.435,1.5023,1.9684
1.44,1.5022,1.9686
1.445,1.5022,1.9689
1.45,1.5021,1.9691
1.455,1.502,1.9693
1.46,1.502,1.9696
1.465,1.5019,1.9698
1.47,1.5018,1.9701
1.475,1.5018,1.9703
1.48,1.5017,1.9706
1.485,1.5017,1.9708
1.49,1.5016,1.971
1.495,1.5015,1.9713
1.5,1.5015,1.9715
1.505,1.5014,1.9718
1.51,1.5014,1.972
1.515,1.5013,1.9723
1.52,1.5012,1.9725
1.525,1.5012,1.9728
1.53,1.5011,1.973
1.535,1.501,1.9733
1.54,1.501,1.9735
1.545,1.5009,1.9738
1.55,1.5009,1.974
1.555,1.5008,1.9743
1.56,1.5007,1.9745
1.565,1.5007,1.9747
1.57,1.5006,1.975
1.575,1.5005,1.9753
1.58,1.5005,1.9755
1.585,1.5004,1.9758
1.59,1.5004,1.976
1.595,1.5003,1.9763
1.6,1.5002,1.9765
1.605,1.5002,1.9768
1.61,1.5001,1.977
1.615,1.5,1.9773
1.62,1.5,1.9775
1.625,1.4999,1.9778
1.63,1.4998,1.978
1.635,1.4998,1.9783
1.64,1.4997,1.9786
1.645,1.4996,1.9788
1.65,1.4996,1.9791
1.655,1.4995,1.9793
1.66,1.4995,1.9796
1.665,1.4994,1.9798
1.67,1.4993,1.9801
1.675,1.4993,1.9804
1.68,1.4992,1.9806
1.685,1.4991,1.9809
1.69,1.4991,1.9812
1.695,1.499,1.9814
1.7,1.4989,1.9817
1.705,1.4989,1.9819
1.71,1.4988,1.9822
1.715,1.4987,1.9825
1.72,1.4987,1.9827
1.725,1.4986,1.983
1.73,1.4985,1.9833
1.735,1.4985,1.9835
1.74,1.4984,1.9838
1.745,1.4983,1.9841
1.75,1.4983,1.9844
1.755,1.4982,1.9846
1.76,1.4981,1.9849
1.765,1.4981,1.9852
1.77,1.498,1.9854
1.775,1.4979,1.9857
1.78,1.4979,1.986
1.785,1.4978,1.9863
1.79,1.4977,1.9865
1.795,1.4977,1.9868
1.8,1.4976,1.9871
1.805,1.4975,1.9874
1.81,1.4974,1.9876
1.815,1.4974,1.9879
1.82,1.4973,1.9882
1.825,1.4972,1.9885
1.83,1.4972,1.9888
1.835,1.4971,1.989
1.84,1.497,1.9893
1.845,1.497,1.9896
1.85,1.4969,1.9899
1.855,1.4968,1.9902
1.86,1.4967,1.9905
1.865,1.4967,1.9907
1.87,1.4966,1.991
1.875,1.4965,1.9913
1.88,1.4965,1.9916
1.885,1.4964,1.9919
