l	n	x
0.3	1.5528	1.8089
0.35	1.5392	1.8545
0.4	1.5308	1.8836
0.45	1.5253	1.9034
0.5	1.5214	1.9176
0.55	1.5185	1.9283
0.6	1.5163	1.9367
0.65	1.5145	1.9433
0.7	1.5131	1.9489
0.75	1.5118	1.9535
0.8	1.5108	1.9576
0.85	1.5098	1.9612
0.9	1.509	1.9644
0.95	1.5082	1.9674
1.	1.5075	1.9702
1.05	1.5068	1.9729
1.1	1.5062	1.9754
1.15	1.5055	1.9779
1.2	1.5049	1.9803
1.25	1.5043	1.9827
1.3	1.5037	1.9851
1.35	1.5031	1.9874
1.4	1.5025	1.9898
1.45	1.5019	1.9923
1.5	1.5013	1.9947
1.55	1.5007	1.9972
1.6	1.5	1.9997
1.65	1.4994	2.0023
1.7	1.4987	2.0049
1.75	1.4981	2.0076
1.8	1.4974	2.0103
1.85	1.4967	2.0131
1.9	1.496	2.016
1.95	1.4952	2.019
2.	1.4945	2.022
2.05	1.4937	2.0251
2.1	1.493	2.0283
2.15	1.4922	2.0316
2.2	1.4913	2.035
2.25	1.4905	2.0385
2.3	1.4897	2.042
2.35	1.4888	2.0457
2.4	1.4879	2.0495
2.45	1.487	2.0533
2.5	1.486	2.0573
