x	y
3.	0
2.9993	0.034898
2.9974	0.069748
2.9941	0.1045
2.9896	0.1391
2.9838	0.17351
2.9767	0.20768
2.9684	0.24155
2.9588	0.2751
2.948	0.30826
2.9361	0.34099
2.9229	0.37326
2.9087	0.40502
2.8933	0.43623
2.8768	0.46685
2.8593	0.49685
2.8408	0.52619
2.8213	0.55485
2.8009	0.58278
2.7796	0.60996
2.7575	0.63636
2.7346	0.66197
2.7109	0.68675
2.6865	0.71069
2.6614	0.73377
2.6358	0.75598
2.6095	0.7773
2.5828	0.79772
2.5555	0.81723
2.5279	0.83583
2.4999	0.85352
2.4715	0.8703
2.4429	0.88616
2.4141	0.9011
2.3851	0.91515
2.356	0.9283
2.3268	0.94056
2.2976	0.95194
2.2683	0.96247
2.2392	0.97215
2.2101	0.981
2.1812	0.98905
2.1525	0.9963
2.124	1.0028
2.0957	1.0085
2.0677	1.0136
2.0401	1.0179
2.0128	1.0216
1.986	1.0247
1.9595	1.0271
1.9335	1.029
1.908	1.0303
1.883	1.0311
1.8585	1.0314
1.8346	1.0312
1.8112	1.0307
1.7884	1.0297
1.7662	1.0284
1.7446	1.0267
1.7237	1.0248
1.7034	1.0226
1.6837	1.0201
1.6647	1.0174
1.6464	1.0146
1.6287	1.0116
1.6117	1.0085
1.5954	1.0052
1.5798	1.0019
1.5648	0.9986
1.5506	0.99524
1.537	0.99187
1.5241	0.98854
1.5119	0.98524
1.5004	0.98201
1.4895	0.97886
1.4794	0.97582
1.4699	0.97289
1.4611	0.97009
1.4529	0.96745
1.4455	0.96496
1.4386	0.96265
1.4325	0.96053
1.427	0.9586
1.4222	0.95688
1.418	0.95537
1.4144	0.95409
1.4115	0.95302
1.4093	0.95219
1.4077	0.9516
1.4067	0.95124
1.4064	0.95112
