alpha	y	tan
0	0	0
1.	0.03491	0.03491
2.	0.069837	0.06984
3.	0.1048	0.10482
4.	0.13982	0.13985
5.	0.1749	0.17498
6.	0.21008	0.21021
7.	0.24536	0.24557
8.	0.28077	0.28108
9.	0.31632	0.31677
10.	0.35204	0.3527
11.	0.38793	0.3888
12.	0.42403	0.4251
13.	0.46035	0.4617
14.	0.49691	0.4987
15.	0.53373	0.5359
16.	0.57084	0.5735
17.	0.60824	0.6115
18.	0.64598	0.6498
19.	0.68406	0.6887
20.	0.72251	0.7279
21.	0.76136	0.7677
22.	0.80062	0.8081
23.	0.84033	0.8489
24.	0.88052	0.8905
25.	0.92119	0.9326
26.	0.9624	0.9755
27.	1.0042	1.0191
28.	1.0465	1.0634
29.	1.0894	1.1086
30.	1.133	1.1547
31.	1.1773	1.2017
32.	1.2223	1.2497
33.	1.268	1.2988
34.	1.3146	1.349
35.	1.3619	1.4004
36.	1.4101	1.453
37.	1.4592	1.5071
38.	1.5092	1.5626
39.	1.5602	1.6196
40.	1.6123	1.6782
41.	1.6654	1.7386
42.	1.7196	1.8008
43.	1.775	1.865
44.	1.8316	1.9314
45.	1.8895	2.
46.	1.9488	2.0711
47.	2.0094	2.1447
48.	2.0714	2.2212
49.	2.1349	2.3007
50.	2.1999	2.3835
51.	2.2666	2.4698
52.	2.3349	2.5599
53.	2.4049	2.6541
54.	2.4766	2.7528
55.	2.5502	2.856
56.	2.6256	2.965
57.	2.7028	3.08
58.	2.7821	3.201
59.	2.8632	3.329
60.	2.9464	3.4641
61.	3.0315	3.608
62.	3.1187	3.761
63.	3.2078	3.925
64.	3.2988	4.101
65.	3.3917	4.289
66.	3.4863	4.492
67.	3.5827	4.712
68.	3.6806	4.95
69.	3.7798	5.21
70.	3.8801	5.495
71.	3.9813	5.808
72.	4.083	6.1554
73.	4.1848	6.542
74.	4.2863	6.975
75.	4.3871	7.464
76.	4.4865	8.022
77.	4.584	8.663
78.	4.6788	9.409
79.	4.7703	10.289
80.	4.8576	11.343
81.	4.94	12.628
82.	5.0166	14.231
83.	5.0866	16.289
84.	5.1493	19.029
85.	5.2037	22.86
86.	5.2494	28.601
87.	5.2855	38.16
88.	5.3117	57.27
89.	5.3276	114.58
