alpha	y	tan
0	0	0
0.017453	0.03491	0.03491
0.034907	0.069837	0.06984
0.05236	0.1048	0.10482
0.06981	0.13982	0.13985
0.08727	0.1749	0.17498
0.10472	0.21008	0.21021
0.12217	0.24536	0.24557
0.13963	0.28077	0.28108
0.15708	0.31632	0.31677
0.17453	0.35204	0.3527
0.19199	0.38793	0.3888
0.20944	0.42403	0.4251
0.22689	0.46035	0.4617
0.24435	0.49691	0.4987
0.2618	0.53373	0.5359
0.27925	0.57084	0.5735
0.29671	0.60824	0.6115
0.31416	0.64598	0.6498
0.33161	0.68406	0.6887
0.34907	0.72251	0.7279
0.36652	0.76136	0.7677
0.38397	0.80062	0.8081
0.40143	0.84033	0.8489
0.41888	0.88052	0.8905
0.43633	0.92119	0.9326
0.45379	0.9624	0.9755
0.47124	1.0042	1.0191
0.48869	1.0465	1.0634
0.5061	1.0894	1.1086
0.5236	1.133	1.1547
0.5411	1.1773	1.2017
0.5585	1.2223	1.2497
0.576	1.268	1.2988
0.5934	1.3146	1.349
0.6109	1.3619	1.4004
0.6283	1.4101	1.453
0.6458	1.4592	1.5071
0.6632	1.5092	1.5626
0.6807	1.5602	1.6196
0.6981	1.6123	1.6782
0.7156	1.6654	1.7386
0.733	1.7196	1.8008
0.7505	1.775	1.865
0.7679	1.8316	1.9314
0.7854	1.8895	2.
0.8029	1.9488	2.0711
0.8203	2.0094	2.1447
0.8378	2.0714	2.2212
0.8552	2.1349	2.3007
0.8727	2.1999	2.3835
0.8901	2.2666	2.4698
0.9076	2.3349	2.5599
0.925	2.4049	2.6541
0.9425	2.4766	2.7528
0.9599	2.5502	2.856
0.9774	2.6256	2.965
0.9948	2.7028	3.08
1.0123	2.7821	3.201
1.0297	2.8632	3.329
1.0472	2.9464	3.4641
1.0647	3.0315	3.608
1.0821	3.1187	3.761
1.0996	3.2078	3.925
1.117	3.2988	4.101
1.1345	3.3917	4.289
1.1519	3.4863	4.492
1.1694	3.5827	4.712
1.1868	3.6806	4.95
1.2043	3.7798	5.21
1.2217	3.8801	5.495
1.2392	3.9813	5.808
1.2566	4.083	6.1554
1.2741	4.1848	6.542
1.2915	4.2863	6.975
1.309	4.3871	7.464
1.3265	4.4865	8.022
1.3439	4.584	8.663
1.3614	4.6788	9.409
1.3788	4.7703	10.289
1.3963	4.8576	11.343
1.4137	4.94	12.628
1.4312	5.0166	14.231
1.4486	5.0866	16.289
1.4661	5.1493	19.029
1.4835	5.2037	22.86
1.501	5.2494	28.601
1.5184	5.2855	38.16
1.5359	5.3117	57.27
1.5533	5.3276	114.58
1.5708	5.3329	ComplexInfinity
