x,y,x_pillow,y_pillow,x_barrel,y_barrel
-1.,-1.,-1.2,-1.2,-0.8,-0.8
-1.,-0.8,-1.164,-0.9312,-0.836,-0.6688
-1.,-0.6,-1.136,-0.6816,-0.864,-0.5184
-1.,-0.4,-1.116,-0.4464,-0.884,-0.3536
-1.,-0.2,-1.104,-0.2208,-0.896,-0.1792
-1.,0,-1.1,0,-0.9,0
-1.,0.2,-1.104,0.2208,-0.896,0.1792
-1.,0.4,-1.116,0.4464,-0.884,0.3536
-1.,0.6,-1.136,0.6816,-0.864,0.5184
-1.,0.8,-1.164,0.9312,-0.836,0.6688
-1.,1.,-1.2,1.2,-0.8,0.8
-0.8,-1.,-0.9312,-1.164,-0.6688,-0.836
-0.8,-0.8,-0.9024,-0.9024,-0.6976,-0.6976
-0.8,-0.6,-0.88,-0.66,-0.72,-0.54
-0.8,-0.4,-0.864,-0.432,-0.736,-0.368
-0.8,-0.2,-0.8544,-0.2136,-0.7456,-0.1864
-0.8,0,-0.8512,0,-0.7488,0
-0.8,0.2,-0.8544,0.2136,-0.7456,0.1864
-0.8,0.4,-0.864,0.432,-0.736,0.368
-0.8,0.6,-0.88,0.66,-0.72,0.54
-0.8,0.8,-0.9024,0.9024,-0.6976,0.6976
-0.8,1.,-0.9312,1.164,-0.6688,0.836
-0.6,-1.,-0.6816,-1.136,-0.5184,-0.864
-0.6,-0.8,-0.66,-0.88,-0.54,-0.72
-0.6,-0.6,-0.6432,-0.6432,-0.5568,-0.5568
-0.6,-0.4,-0.6312,-0.4208,-0.5688,-0.3792
-0.6,-0.2,-0.624,-0.208,-0.576,-0.192
-0.6,0,-0.6216,0,-0.5784,0
-0.6,0.2,-0.624,0.208,-0.576,0.192
-0.6,0.4,-0.6312,0.4208,-0.5688,0.3792
-0.6,0.6,-0.6432,0.6432,-0.5568,0.5568
-0.6,0.8,-0.66,0.88,-0.54,0.72
-0.6,1.,-0.6816,1.136,-0.5184,0.864
-0.4,-1.,-0.4464,-1.116,-0.3536,-0.884
-0.4,-0.8,-0.432,-0.864,-0.368,-0.736
-0.4,-0.6,-0.4208,-0.6312,-0.3792,-0.5688
-0.4,-0.4,-0.4128,-0.4128,-0.3872,-0.3872
-0.4,-0.2,-0.408,-0.204,-0.392,-0.196
-0.4,0,-0.4064,0,-0.3936,0
-0.4,0.2,-0.408,0.204,-0.392,0.196
-0.4,0.4,-0.4128,0.4128,-0.3872,0.3872
-0.4,0.6,-0.4208,0.6312,-0.3792,0.5688
-0.4,0.8,-0.432,0.864,-0.368,0.736
-0.4,1.,-0.4464,1.116,-0.3536,0.884
-0.2,-1.,-0.2208,-1.104,-0.1792,-0.896
-0.2,-0.8,-0.2136,-0.8544,-0.1864,-0.7456
-0.2,-0.6,-0.208,-0.624,-0.192,-0.576
-0.2,-0.4,-0.204,-0.408,-0.196,-0.392
-0.2,-0.2,-0.2016,-0.2016,-0.1984,-0.1984
-0.2,0,-0.2008,0,-0.1992,0
-0.2,0.2,-0.2016,0.2016,-0.1984,0.1984
-0.2,0.4,-0.204,0.408,-0.196,0.392
-0.2,0.6,-0.208,0.624,-0.192,0.576
-0.2,0.8,-0.2136,0.8544,-0.1864,0.7456
-0.2,1.,-0.2208,1.104,-0.1792,0.896
0,-1.,0,-1.1,0,-0.9
0,-0.8,0,-0.8512,0,-0.7488
0,-0.6,0,-0.6216,0,-0.5784
0,-0.4,0,-0.4064,0,-0.3936
0,-0.2,0,-0.2008,0,-0.1992
0,0,0,0,0,0
0,0.2,0,0.2008,0,0.1992
0,0.4,0,0.4064,0,0.3936
0,0.6,0,0.6216,0,0.5784
0,0.8,0,0.8512,0,0.7488
0,1.,0,1.1,0,0.9
0.2,-1.,0.2208,-1.104,0.1792,-0.896
0.2,-0.8,0.2136,-0.8544,0.1864,-0.7456
0.2,-0.6,0.208,-0.624,0.192,-0.576
0.2,-0.4,0.204,-0.408,0.196,-0.392
0.2,-0.2,0.2016,-0.2016,0.1984,-0.1984
0.2,0,0.2008,0,0.1992,0
0.2,0.2,0.2016,0.2016,0.1984,0.1984
0.2,0.4,0.204,0.408,0.196,0.392
0.2,0.6,0.208,0.624,0.192,0.576
0.2,0.8,0.2136,0.8544,0.1864,0.7456
0.2,1.,0.2208,1.104,0.1792,0.896
0.4,-1.,0.4464,-1.116,0.3536,-0.884
0.4,-0.8,0.432,-0.864,0.368,-0.736
0.4,-0.6,0.4208,-0.6312,0.3792,-0.5688
0.4,-0.4,0.4128,-0.4128,0.3872,-0.3872
0.4,-0.2,0.408,-0.204,0.392,-0.196
0.4,0,0.4064,0,0.3936,0
0.4,0.2,0.408,0.204,0.392,0.196
0.4,0.4,0.4128,0.4128,0.3872,0.3872
0.4,0.6,0.4208,0.6312,0.3792,0.5688
0.4,0.8,0.432,0.864,0.368,0.736
0.4,1.,0.4464,1.116,0.3536,0.884
0.6,-1.,0.6816,-1.136,0.5184,-0.864
0.6,-0.8,0.66,-0.88,0.54,-0.72
0.6,-0.6,0.6432,-0.6432,0.5568,-0.5568
0.6,-0.4,0.6312,-0.4208,0.5688,-0.3792
0.6,-0.2,0.624,-0.208,0.576,-0.192
0.6,0,0.6216,0,0.5784,0
0.6,0.2,0.624,0.208,0.576,0.192
0.6,0.4,0.6312,0.4208,0.5688,0.3792
0.6,0.6,0.6432,0.6432,0.5568,0.5568
0.6,0.8,0.66,0.88,0.54,0.72
0.6,1.,0.6816,1.136,0.5184,0.864
0.8,-1.,0.9312,-1.164,0.6688,-0.836
0.8,-0.8,0.9024,-0.9024,0.6976,-0.6976
