x,y
3.,0
2.999,0.0349
2.997,0.06975
2.994,0.1045
2.99,0.1391
2.984,0.1735
2.977,0.2077
2.968,0.2416
2.959,0.2751
2.948,0.3083
2.936,0.341
2.923,0.3733
2.909,0.405
2.893,0.4362
2.877,0.4669
2.859,0.4969
2.841,0.5262
2.821,0.5548
2.801,0.5828
2.78,0.61
2.758,0.6364
2.735,0.662
2.711,0.6868
2.686,0.7107
2.661,0.7338
2.636,0.756
2.61,0.7773
2.583,0.7977
2.556,0.8172
2.528,0.8358
2.5,0.8535
2.472,0.8703
2.443,0.8862
2.414,0.9011
2.385,0.9151
2.356,0.9283
2.327,0.9406
2.298,0.9519
2.268,0.9625
2.239,0.9721
2.21,0.981
2.181,0.989
2.152,0.9963
2.124,1.003
2.096,1.009
2.068,1.014
2.04,1.018
2.013,1.022
1.986,1.025
1.96,1.027
1.934,1.029
1.908,1.03
1.883,1.031
1.859,1.031
1.835,1.031
1.811,1.031
1.788,1.03
1.766,1.028
1.745,1.027
1.724,1.025
1.703,1.023
1.684,1.02
1.665,1.017
1.646,1.015
1.629,1.012
1.612,1.008
1.595,1.005
1.58,1.002
1.565,0.9986
1.551,0.9952
1.537,0.9919
1.524,0.9885
1.512,0.9852
1.5,0.982
1.49,0.9789
1.479,0.9758
1.47,0.9729
1.461,0.9701
1.453,0.9674
1.445,0.965
1.439,0.9627
1.432,0.9605
1.427,0.9586
1.422,0.9569
1.418,0.9554
1.414,0.9541
1.412,0.953
1.409,0.9522
1.408,0.9516
1.407,0.9512
1.406,0.9511
