x	e0	e1	e2	e3
-4.	0.	0.001	0.004	0.
-3.9	0.001	0.	0.004	0.003
-3.8	0.001	0.	0.004	0.006
-3.7	0.002	0.	0.003	0.011
-3.6	0.001	0.002	0.002	0.015
-3.5	0.001	0.003	0.	0.017
-3.4	0.	0.004	0.	0.017
-3.3	0.	0.005	0.002	0.013
-3.2	0.	0.005	0.006	0.007
-3.1	0.	0.004	0.01	0.001
-3.	0.001	0.003	0.014	0.002
-2.9	0.003	0.001	0.017	0.014
-2.8	0.004	0.	0.017	0.045
-2.7	0.004	0.002	0.014	0.1
-2.6	0.004	0.005	0.009	0.182
-2.5	0.003	0.01	0.003	0.291
-2.4	0.001	0.015	0.002	0.422
-2.3	0.	0.019	0.013	0.564
-2.2	0.	0.021	0.041	0.707
-2.1	0.001	0.018	0.093	0.834
-2.	0.005	0.012	0.173	0.932
-1.9	0.009	0.005	0.279	0.99
-1.8	0.014	0.002	0.409	0.999
-1.7	0.017	0.01	0.552	0.96
-1.6	0.017	0.037	0.696	0.877
-1.5	0.014	0.088	0.826	0.76
-1.4	0.008	0.168	0.927	0.622
-1.3	0.002	0.276	0.987	0.478
-1.2	0.	0.407	1.001	0.342
-1.1	0.008	0.552	0.965	0.225
-1.	0.033	0.696	0.886	0.133
-0.9	0.08	0.824	0.773	0.067
-0.8	0.154	0.923	0.64	0.027
-0.7	0.256	0.983	0.5	0.008
-0.6	0.381	1.	0.367	0.002
-0.5	0.521	0.977	0.25	0.005
-0.4	0.665	0.925	0.155	0.01
-0.3	0.797	0.859	0.084	0.016
-0.2	0.905	0.796	0.036	0.021
-0.	0.976	0.751	0.009	0.024
0.	1.	0.735	0.	0.024
0.1	0.976	0.751	0.009	0.024
0.2	0.905	0.796	0.036	0.021
0.3	0.797	0.859	0.084	0.016
0.4	0.665	0.925	0.155	0.01
0.5	0.521	0.977	0.25	0.005
0.6	0.381	1.	0.367	0.002
0.7	0.256	0.983	0.5	0.008
0.8	0.154	0.923	0.64	0.027
0.9	0.08	0.824	0.773	0.067
1.	0.033	0.696	0.886	0.133
1.1	0.008	0.552	0.965	0.225
1.2	0.	0.407	1.001	0.342
1.3	0.002	0.276	0.987	0.478
1.4	0.008	0.168	0.927	0.622
1.5	0.014	0.088	0.826	0.76
1.6	0.017	0.037	0.696	0.877
1.7	0.017	0.01	0.552	0.96
1.8	0.014	0.002	0.409	0.999
1.9	0.009	0.005	0.279	0.99
2.	0.005	0.012	0.173	0.932
2.1	0.001	0.018	0.093	0.834
2.2	0.	0.021	0.041	0.707
2.3	0.	0.019	0.013	0.564
2.4	0.001	0.015	0.002	0.422
2.5	0.003	0.01	0.003	0.291
2.6	0.004	0.005	0.009	0.182
2.7	0.004	0.002	0.014	0.1
2.8	0.004	0.	0.017	0.045
2.9	0.003	0.001	0.017	0.014
3.	0.001	0.003	0.014	0.002
3.1	0.	0.004	0.01	0.001
3.2	0.	0.005	0.006	0.007
3.3	0.	0.005	0.002	0.013
3.4	0.	0.004	0.	0.017
3.5	0.001	0.003	0.	0.017
3.6	0.001	0.002	0.002	0.015
3.7	0.002	0.	0.003	0.011
3.8	0.001	0.	0.004	0.006
3.9	0.001	0.	0.004	0.003
4.	0.	0.001	0.004	0.
