x,y,I
0.61,-3.,0.001
0.61,-2.93,0.002
0.61,-2.85,0.004
0.61,-2.77,0.005
0.61,-2.7,0.006
0.61,-2.62,0.007
0.61,-2.55,0.007
0.61,-2.48,0.006
0.61,-2.4,0.006
0.61,-2.33,0.005
0.61,-2.25,0.004
0.61,-2.17,0.003
0.61,-2.1,0.003
0.61,-2.02,0.005
0.61,-1.95,0.007
0.61,-1.88,0.01
0.61,-1.8,0.014
0.61,-1.73,0.017
0.61,-1.65,0.02
0.61,-1.58,0.022
0.61,-1.5,0.022
0.61,-1.42,0.02
0.61,-1.35,0.018
0.61,-1.27,0.016
0.61,-1.2,0.017
0.61,-1.13,0.022
0.61,-1.05,0.035
0.61,-0.975,0.059
0.61,-0.9,0.095
0.61,-0.825,0.146
0.61,-0.75,0.212
0.61,-0.675,0.293
0.61,-0.6,0.386
0.61,-0.525,0.489
0.61,-0.45,0.595
0.61,-0.375,0.701
0.61,-0.3,0.798
0.61,-0.225,0.882
0.61,-0.15,0.946
0.61,-0.075,0.986
0.61,0,1.
0.61,0.075,0.986
0.61,0.15,0.946
0.61,0.225,0.882
0.61,0.3,0.798
0.61,0.375,0.701
0.61,0.45,0.595
0.61,0.525,0.489
0.61,0.6,0.386
0.61,0.675,0.293
0.61,0.75,0.212
0.61,0.825,0.146
0.61,0.9,0.095
0.61,0.975,0.059
0.61,1.05,0.035
0.61,1.13,0.022
0.61,1.2,0.017
0.61,1.27,0.016
0.61,1.35,0.018
0.61,1.42,0.02
0.61,1.5,0.022
0.61,1.58,0.022
0.61,1.65,0.02
0.61,1.73,0.017
0.61,1.8,0.014
0.61,1.88,0.01
0.61,1.95,0.007
0.61,2.02,0.005
0.61,2.1,0.003
0.61,2.17,0.003
0.61,2.25,0.004
0.61,2.33,0.005
0.61,2.4,0.006
0.61,2.48,0.006
0.61,2.55,0.007
0.61,2.62,0.007
0.61,2.7,0.006
0.61,2.77,0.005
0.61,2.85,0.004
0.61,2.93,0.002
0.61,3.,0.001
