x	y	I
0.61	-3.	0.0014064170915639423
0.61	-2.9	0.002784204551252313
0.61	-2.8	0.0044704109630111875
0.61	-2.7	0.005968317481014071
0.61	-2.6	0.006789187292879067
0.61	-2.5	0.006650492484135368
0.61	-2.4	0.005630524796565054
0.61	-2.3	0.004211652572501136
0.61	-2.2	0.0031736372337949756
0.61	-2.1	0.003347242645203529
0.61	-2.	0.005293065584594598
0.61	-1.9	0.009013023302615386
0.61	-1.8	0.01381537837706784
0.61	-1.7	0.018428656006403536
0.61	-1.6	0.021396641393016426
0.61	-1.5	0.021699573255719376
0.61	-1.4	0.019459187130552186
0.61	-1.3	0.016524653804070224
0.61	-1.2	0.016725753346261123
0.61	-1.1	0.025630125950473485
0.61	-1.	0.04974787706436341
0.61	-0.9	0.09526696971554094
0.61	-0.8	0.16654214502284942
0.61	-0.7	0.26466028951530474
0.61	-0.6	0.3864346805533418
0.61	-0.5	0.5241239993297532
0.61	-0.4	0.6660357107601663
0.61	-0.3	0.7979852511210109
0.61	-0.2	0.9053858044102818
0.61	-0.1	0.9755864858022876
0.61	0	1.000000047584177
0.61	0.1	0.9755864858022876
0.61	0.2	0.9053858044102818
0.61	0.3	0.7979852511210109
0.61	0.4	0.6660357107601663
0.61	0.5	0.5241239993297532
0.61	0.6	0.3864346805533418
0.61	0.7	0.26466028951530474
0.61	0.8	0.16654214502284942
0.61	0.9	0.09526696971554094
0.61	1.	0.04974787706436341
0.61	1.1	0.025630125950473485
0.61	1.2	0.016725753346261123
0.61	1.3	0.016524653804070224
0.61	1.4	0.019459187130552186
0.61	1.5	0.021699573255719376
0.61	1.6	0.021396641393016426
0.61	1.7	0.018428656006403536
0.61	1.8	0.01381537837706784
0.61	1.9	0.009013023302615386
0.61	2.	0.005293065584594598
0.61	2.1	0.003347242645203529
0.61	2.2	0.0031736372337949756
0.61	2.3	0.004211652572501136
0.61	2.4	0.005630524796565054
0.61	2.5	0.006650492484135368
0.61	2.6	0.006789187292879067
0.61	2.7	0.005968317481014071
0.61	2.8	0.0044704109630111875
0.61	2.9	0.002784204551252313
0.61	3.	0.0014064170915639423
