x,y,I
-4.,0,0.001
-3.9,0,0.
-3.8,0,0.
-3.7,0,0.
-3.6,0,0.002
-3.5,0,0.003
-3.4,0,0.004
-3.3,0,0.005
-3.2,0,0.005
-3.1,0,0.004
-3.,0,0.003
-2.9,0,0.001
-2.8,0,0.
-2.7,0,0.002
-2.6,0,0.005
-2.5,0,0.01
-2.4,0,0.015
-2.3,0,0.019
-2.2,0,0.021
-2.1,0,0.018
-2.,0,0.012
-1.9,0,0.005
-1.8,0,0.002
-1.7,0,0.01
-1.6,0,0.037
-1.5,0,0.088
-1.4,0,0.168
-1.3,0,0.276
-1.2,0,0.407
-1.1,0,0.552
-1.,0,0.696
-0.9,0,0.824
-0.8,0,0.923
-0.7,0,0.983
-0.6,0,1.
-0.5,0,0.977
-0.4,0,0.925
-0.3,0,0.859
-0.2,0,0.796
-0.1,0,0.751
0,0,0.735
0.1,0,0.751
0.2,0,0.796
0.3,0,0.859
0.4,0,0.925
0.5,0,0.977
0.6,0,1.
0.7,0,0.983
0.8,0,0.923
0.9,0,0.824
1.,0,0.696
1.1,0,0.552
1.2,0,0.407
1.3,0,0.276
1.4,0,0.168
1.5,0,0.088
1.6,0,0.037
1.7,0,0.01
1.8,0,0.002
1.9,0,0.005
2.,0,0.012
2.1,0,0.018
2.2,0,0.021
2.3,0,0.019
2.4,0,0.015
2.5,0,0.01
2.6,0,0.005
2.7,0,0.002
2.8,0,0.
2.9,0,0.001
3.,0,0.003
3.1,0,0.004
3.2,0,0.005
3.3,0,0.005
3.4,0,0.004
3.5,0,0.003
3.6,0,0.002
3.7,0,0.
3.8,0,0.
3.9,0,0.
4.,0,0.001
