x,y,I
-4.,3.,0.
-3.9,3.,0.
-3.8,3.,0.
-3.7,3.,0.
-3.6,3.,0.
-3.5,3.,0.
-3.4,3.,0.
-3.3,3.,0.
-3.2,3.,0.001
-3.1,3.,0.002
-3.,3.,0.002
-2.9,3.,0.002
-2.8,3.,0.002
-2.7,3.,0.002
-2.6,3.,0.002
-2.5,3.,0.001
-2.4,3.,0.
-2.3,3.,0.
-2.2,3.,0.
-2.1,3.,0.
-2.,3.,0.
-1.9,3.,0.001
-1.8,3.,0.001
-1.7,3.,0.002
-1.6,3.,0.002
-1.5,3.,0.002
-1.4,3.,0.002
-1.3,3.,0.002
-1.2,3.,0.002
-1.1,3.,0.002
-1.,3.,0.002
-0.9,3.,0.002
-0.8,3.,0.001
-0.7,3.,0.001
-0.6,3.,0.001
-0.5,3.,0.001
-0.4,3.,0.001
-0.3,3.,0.002
-0.2,3.,0.002
-0.1,3.,0.002
0,3.,0.002
0.1,3.,0.002
0.2,3.,0.002
0.3,3.,0.002
0.4,3.,0.001
0.5,3.,0.001
0.6,3.,0.001
0.7,3.,0.001
0.8,3.,0.001
0.9,3.,0.002
1.,3.,0.002
1.1,3.,0.002
1.2,3.,0.002
1.3,3.,0.002
1.4,3.,0.002
1.5,3.,0.002
1.6,3.,0.002
1.7,3.,0.002
1.8,3.,0.001
1.9,3.,0.001
2.,3.,0.
2.1,3.,0.
2.2,3.,0.
2.3,3.,0.
2.4,3.,0.
2.5,3.,0.001
2.6,3.,0.002
2.7,3.,0.002
2.8,3.,0.002
2.9,3.,0.002
3.,3.,0.002
3.1,3.,0.002
3.2,3.,0.001
3.3,3.,0.
3.4,3.,0.
3.5,3.,0.
3.6,3.,0.
3.7,3.,0.
3.8,3.,0.
3.9,3.,0.
4.,3.,0.

-4.,2.93,0.
-3.9,2.93,0.
-3.8,2.93,0.
-3.7,2.93,0.
-3.6,2.93,0.
-3.5,2.93,0.
-3.4,2.93,0.
-3.3,2.93,0.001
-3.2,2.93,0.002
-3.1,2.93,0.002
-3.,2.93,0.002
-2.9,2.93,0.002
-2.8,2.93,0.002
-2.7,2.93,0.002
-2.6,2.93,0.001
-2.5,2.93,0.
-2.4,2.93,0.
-2.3,2.93,0.
-2.2,2.93,0.
-2.1,2.93,0.
-2.,2.93,0.
-1.9,2.93,0.001
-1.8,2.93,0.002
-1.7,2.93,0.002
-1.6,2.93,0.002
-1.5,2.93,0.002
