x	y	I
-4.	3.	0.0007988655993656484
-3.87	3.	0.00039255469057828416
-3.73	3.	0.0000850517821254548
-3.6	3.	0.000031190831700373466
-3.47	3.	0.0002908519456692141
-3.33	3.	0.0008042349116390567
-3.2	3.	0.0014158242330724934
-3.07	3.	0.0019352180691842528
-2.93	3.	0.0022085722077980806
-2.8	3.	0.0021720395468250793
-2.67	3.	0.0018681549775000478
-2.53	3.	0.0014224151384260527
-2.4	3.	0.0009928775303755756
-2.27	3.	0.0007142401520684672
-2.13	3.	0.0006570583044307964
-2.	3.	0.0008142218501930697
-1.87	3.	0.0011151020908024597
-1.73	3.	0.0014579163397007492
-1.6	3.	0.0017462363281090913
-1.47	3.	0.001916879667205085
-1.33	3.	0.0019519528338236346
-1.2	3.	0.0018746267775315412
-1.07	3.	0.0017335949022989855
-0.933	3.	0.0015835641601190551
-0.8	3.	0.0014685134475341693
-0.667	3.	0.0014118632032278132
-0.533	3.	0.0014145727831813616
-0.4	3.	0.0014596983760907052
-0.267	3.	0.0015206743890808358
-0.133	3.	0.0015704772849431867
0	3.	0.0015894584119083672
0.133	3.	0.0015704772849431867
0.267	3.	0.0015206743890808358
0.4	3.	0.0014596983760907052
0.533	3.	0.0014145727831813616
0.667	3.	0.0014118632032278132
0.8	3.	0.0014685134475341693
0.933	3.	0.0015835641601190551
1.07	3.	0.0017335949022989855
1.2	3.	0.0018746267775315412
1.33	3.	0.0019519528338236346
1.47	3.	0.001916879667205085
1.6	3.	0.0017462363281090913
1.73	3.	0.0014579163397007492
1.87	3.	0.0011151020908024597
2.	3.	0.0008142218501930697
2.13	3.	0.0006570583044307964
2.27	3.	0.0007142401520684672
2.4	3.	0.0009928775303755756
2.53	3.	0.0014224151384260527
2.67	3.	0.0018681549775000478
2.8	3.	0.0021720395468250793
2.93	3.	0.0022085722077980806
3.07	3.	0.0019352180691842528
3.2	3.	0.0014158242330724934
3.33	3.	0.0008042349116390567
3.47	3.	0.0002908519456692141
3.6	3.	0.000031190831700373466
3.73	3.	0.0000850517821254548
3.87	3.	0.00039255469057828416
4.	3.	0.0007988655993656484

-4.	2.9	0.0005564596716677174
-3.87	2.9	0.0001763472125814746
-3.73	2.9	6.932019570151273e-6
-3.6	2.9	0.00016067380333037202
-3.47	2.9	0.000622980137356224
-3.33	2.9	0.0012559851845019765
-3.2	2.9	0.0018530721571111274
-3.07	2.9	0.002219845608312008
-2.93	2.9	0.002247442006279639
-2.8	2.9	0.0019493873980011283
-2.67	2.9	0.0014501280824709617
-2.53	2.9	0.0009336222193462127
-2.4	2.9	0.0005751721654145858
-2.27	2.9	0.00048353687614657447
-2.13	2.9	0.0006731132953552489
-2.	2.9	0.0010720667286430376
-1.87	2.9	0.0015582301656669043
-1.73	2.9	0.002005893785790159
-1.6	2.9	0.0023256778161765586
-1.47	2.9	0.002485417081416103
-1.33	2.9	0.002508898990761044
-1.2	2.9	0.0024574181693521047
-1.07	2.9	0.0024036659477060652
-0.933	2.9	0.0024076903773066856
-0.8	2.9	0.0025015778102329667
-0.667	2.9	0.0026850928292478345
-0.533	2.9	0.0029306702479166167
-0.4	2.9	0.0031940116257902005
-0.267	2.9	0.003426264030732538
-0.133	2.9	0.0035847847164348304
0	2.9	0.0036409665521329893
0.133	2.9	0.0035847847164348304
0.267	2.9	0.003426264030732538
0.4	2.9	0.0031940116257902005
0.533	2.9	0.0029306702479166167
0.667	2.9	0.0026850928292478345
0.8	2.9	0.0025015778102329667
0.933	2.9	0.0024076903773066856
1.07	2.9	0.0024036659477060652
1.2	2.9	0.0024574181693521047
1.33	2.9	0.002508898990761044
1.47	2.9	0.002485417081416103
1.6	2.9	0.0023256778161765586
1.73	2.9	0.002005893785790159
1.87	2.9	0.0015582301656669043
2.	2.9	0.0010720667286430376
2.13	2.9	0.0006731132953552489
