BV,M
-0.294,-3.662
-0.290,4.491
-0.282,-6.076
-0.278,3.827
-0.250,-2.912
-0.242,-6.096
-0.236,-5.128
-0.231,-4.641
-0.230,4.431
-0.223,-4.277
-0.219,-6.881
-0.217,-3.925
-0.215,-6.272
-0.212,-5.786
-0.209,-3.212
-0.207,-3.002
-0.207,-4.930
-0.206,-4.660
-0.206,-1.426
-0.197,-2.822
-0.196,-1.484
-0.195,-2.464
-0.194,-2.562
-0.192,-4.648
-0.192,-1.920
-0.191,-3.134
-0.191,-2.357
-0.190,-4.133
-0.189,-1.786
-0.186,-2.974
-0.184,-1.302
-0.183,-2.204
-0.183,-2.034
-0.181,-1.626
-0.181,-1.518
-0.180,-2.866
-0.179,-3.211
-0.179,-2.482
-0.178,-0.463
-0.178,-0.781
-0.176,-2.681
-0.175,-2.586
-0.174,-3.709
-0.174,-1.827
-0.172,-1.621
-0.171,-1.034
-0.170,-1.998
-0.169,-0.940
-0.169,-1.219
-0.168,-1.478
-0.166,-1.309
-0.165,-2.653
-0.163,-2.527
-0.163,-4.154
-0.162,-0.728
-0.162,-1.639
-0.160,-2.354
-0.160,-0.961
-0.160,-2.776
-0.159,-2.096
-0.159,-1.180
-0.158,-4.401
-0.158,-2.216
-0.157,-3.701
-0.156,-1.284
-0.154,-1.054
-0.152,-0.529
-0.152,-0.898
-0.152,-1.980
-0.152,-1.431
-0.151,-3.454
-0.150,-2.372
-0.150,0.630
-0.149,-0.816
-0.147,-1.342
-0.146,-1.787
-0.146,-1.589
-0.146,-2.058
-0.146,-0.692
-0.144,-1.926
-0.143,-5.195
-0.141,-2.947
-0.141,-1.024
-0.141,-2.432
-0.140,-2.841
-0.140,-0.613
-0.139,-2.680
-0.139,-1.236
-0.138,-1.491
-0.138,-0.114
-0.137,-0.285
-0.137,-0.917
-0.137,-2.140
-0.137,-0.788
-0.137,-0.411
-0.136,-1.676
-0.136,-6.429
-0.135,-2.227
-0.135,0.257
-0.134,0.418
-0.133,0.107
-0.133,-1.965
-0.132,-1.821
-0.131,-2.788
-0.131,-0.985
-0.129,-0.201
-0.129,-3.666
-0.127,-0.774
-0.127,-1.289
-0.127,-1.537
-0.126,-0.504
-0.126,-0.610
-0.125,-0.021
-0.125,-0.882
-0.124,-1.896
-0.123,-1.156
-0.122,-0.113
-0.122,-0.368
-0.121,-1.728
-0.121,-2.635
-0.119,-1.367
-0.119,-0.964
-0.118,-2.336
-0.117,-1.832
-0.117,0.122
-0.117,-4.786
-0.116,-0.244
-0.115,0.261
-0.115,-2.161
-0.115,-0.634
-0.115,-1.653
-0.114,-1.510
-0.114,-0.739
-0.114,-0.509
-0.114,-2.004
-0.114,-1.187
-0.113,-4.024
-0.113,-1.050
-0.112,-0.092
-0.112,-2.802
-0.112,-3.047
-0.111,-0.828
