BV	M
-0.309	-3.477
-0.304	4.390
-0.282	-6.324
-0.280	3.484
-0.271	-3.339
-0.263	-4.691
-0.251	-5.787
-0.249	-4.734
-0.238	4.202
-0.235	-5.733
-0.215	-4.080
-0.214	-4.416
-0.214	-6.239
-0.210	-6.655
-0.207	-2.932
-0.203	-3.107
-0.202	-2.490
-0.198	-2.704
-0.197	-1.958
-0.195	-1.645
-0.192	-2.156
-0.192	-4.109
-0.191	-3.044
-0.188	-2.057
-0.187	-4.821
-0.185	-1.444
-0.182	-3.465
-0.181	-4.238
-0.181	-2.452
-0.179	-0.983
-0.178	-1.870
-0.178	-2.236
-0.178	-1.365
-0.177	-2.974
-0.177	-0.795
-0.176	-3.694
-0.176	-2.137
-0.176	-2.687
-0.174	-3.408
-0.171	-1.172
-0.171	-1.666
-0.170	-0.853
-0.170	-2.378
-0.168	-1.558
-0.166	-2.677
-0.165	-1.338
-0.165	-4.520
-0.165	-0.779
-0.164	-2.078
-0.163	-3.388
-0.162	-2.321
-0.161	-1.739
-0.161	-0.990
-0.160	-1.472
-0.160	-4.295
-0.159	-1.626
-0.157	-3.325
-0.157	-1.911
-0.157	-0.506
-0.156	-1.313
-0.156	0.392
-0.156	-1.546
-0.154	-2.701
-0.153	-0.842
-0.153	-2.101
-0.152	-2.442
-0.152	-1.708
-0.151	-1.201
-0.151	-2.570
-0.150	-6.398
-0.150	-0.442
-0.147	-1.802
-0.146	-1.111
-0.146	-1.490
-0.145	-1.638
-0.145	-0.913
-0.144	-0.679
-0.144	-1.920
-0.143	-2.759
-0.143	-2.054
-0.142	0.252
-0.142	-1.232
-0.142	-1.394
-0.142	-0.518
-0.141	-2.668
-0.140	-0.309
-0.139	-0.098
-0.138	-0.792
-0.138	-1.041
-0.136	-4.954
-0.135	-0.882
-0.135	-1.798
-0.134	-1.280
-0.134	-2.022
-0.134	-0.424
-0.134	-0.715
-0.133	-1.671
-0.133	-1.483
-0.133	0.094
-0.133	-0.020
-0.133	-2.414
-0.132	-2.172
-0.132	-1.185
-0.131	-0.535
-0.131	-0.958
-0.130	-0.630
-0.130	-0.316
-0.130	-4.485
-0.128	-0.166
-0.126	-1.956
-0.126	-3.726
-0.126	-6.380
-0.126	-0.859
-0.126	-3.507
-0.124	-0.471
-0.123	-1.237
-0.123	-3.832
-0.123	-2.662
-0.123	-1.448
-0.123	-2.062
-0.122	-0.065
-0.121	-1.565
-0.121	-0.712
-0.120	0.224
-0.120	-1.003
-0.119	-4.252
-0.117	0.416
-0.117	-3.254
-0.117	-1.112
-0.116	0.141
-0.116	-0.515
-0.116	-2.307
-0.114	-0.828
-0.114	-2.922
-0.113	-2.701
-0.113	-0.279
-0.113	0.042
-0.112	-1.217
-0.111	-1.398
-0.111	-1.789
-0.110	-0.187
-0.110	-3.764
-0.110	-0.440
-0.108	0.209
-0.108	0.660
-0.108	-0.759
-0.108	-5.279
-0.108	-1.960
-0.107	-0.569
-0.107	-1.546
-0.106	-2.153
-0.105	-0.333
-0.105	-5.372
-0.104	-3.937
-0.104	-0.895
-0.104	0.386
-0.104	-2.679
-0.103	0.067
-0.103	-2.438
-0.103	-1.465
-0.102	-1.008
-0.101	-1.670
-0.101	-2.041
-0.101	-0.244
-0.100	0.900
-0.100	1.053
-0.100	-2.239
-0.099	-1.377
-0.099	-1.756
-0.099	-2.905
-0.099	-0.607
-0.097	0.502
-0.097	0.290
-0.097	-0.424
-0.097	-0.044
-0.096	-1.153
-0.096	0.202
-0.096	-0.815
-0.096	-1.883
-0.096	-3.086
-0.096	-1.257
-0.094	-1.066
-0.094	1.787
-0.094	0.698
-0.093	1.650
-0.093	0.098
-0.092	0.391
-0.092	-0.506
-0.092	-0.166
-0.092	0.836
-0.092	-1.540
-0.089	-1.354
-0.088	2.689
-0.088	-0.270
-0.087	0.550
-0.087	-2.539
-0.086	0.161
-0.086	-1.917
-0.085	0.314
-0.085	-0.977
-0.085	-0.651
-0.084	-0.803
-0.084	-4.410
-0.084	-0.087
-0.084	-2.108
-0.083	-1.654
-0.083	-1.240
-0.083	-1.094
-0.083	0.654
-0.083	-1.466
-0.083	0.440
-0.082	-4.723
-0.082	-5.276
-0.082	-3.857
-0.082	0.057
-0.082	-0.412
-0.081	0.834
-0.081	-1.766
-0.081	-2.612
-0.080	1.008
-0.080	-0.547
-0.079	0.230
-0.079	-0.179
-0.079	-0.303
-0.078	1.298
-0.078	1.507
-0.078	-2.195
-0.078	0.734
-0.077	0.515
-0.076	0.341
-0.076	-0.037
-0.075	-3.593
-0.075	-0.679
-0.075	-0.852
-0.075	-2.533
-0.075	1.994
-0.075	0.123
-0.075	-4.019
-0.074	-1.969
-0.074	-0.998
-0.074	-1.147
-0.074	1.100
-0.074	-6.533
-0.073	1.658
-0.072	-1.553
-0.072	-5.121
-0.072	0.441
-0.071	-0.366
-0.071	-0.523
-0.071	1.208
-0.071	-0.240
-0.070	0.602
-0.070	-4.670
-0.070	0.917
-0.070	-2.422
-0.070	-2.081
-0.069	0.282
-0.068	1.383
-0.068	-0.753
-0.068	-1.214
-0.068	1.539
-0.068	-1.824
-0.068	1.021
-0.067	-4.957
-0.067	0.521
-0.067	0.081
-0.067	1.865
-0.066	0.757
-0.065	-0.871
-0.065	-1.082
-0.064	-1.403
-0.064	-2.332
-0.064	-1.494
-0.064	-0.082
-0.063	0.180
-0.062	-0.402
-0.062	0.336
-0.061	0.646
-0.061	-0.218
-0.061	-0.631
-0.061	1.109
-0.060	-3.467
-0.060	-0.317
-0.060	-0.973
-0.060	2.244
-0.060	-4.517
-0.060	-0.534
-0.060	0.023
-0.059	0.830
-0.059	-2.103
-0.059	-1.584
-0.058	1.213
-0.058	-1.335
-0.058	1.384
-0.058	1.821
-0.058	0.563
-0.056	-0.775
-0.056	0.998
-0.055	0.430
-0.055	-1.204
-0.055	1.542
-0.054	-0.145
-0.054	-1.451
-0.054	-4.592
-0.053	0.259
-0.053	0.758
-0.053	-0.415
-0.053	1.291
-0.052	-0.034
-0.052	0.665
-0.052	0.079
-0.052	-1.105
-0.051	1.140
-0.051	-2.413
-0.051	0.895
-0.050	0.177
-0.050	-0.635
-0.050	-2.234
-0.050	-0.888
-0.049	0.353
-0.049	-0.272
-0.049	0.500
-0.049	-1.300
-0.047	2.118
-0.047	-1.681
-0.047	8.287
-0.047	-1.924
-0.046	0.991
-0.045	2.036
-0.045	-4.797
-0.045	-4.273
-0.045	0.012
-0.044	-0.143
-0.044	0.622
-0.044	1.341
-0.044	1.471
-0.043	0.425
-0.043	-0.794
-0.043	-0.434
-0.043	-1.185
-0.043	-2.800
-0.043	1.178
-0.043	-3.822
-0.042	0.291
-0.042	0.712
-0.042	-0.555
-0.042	-1.389
-0.041	1.621
-0.040	0.107
-0.040	-1.629
-0.039	1.082
-0.039	-0.262
-0.039	1.797
-0.039	0.875
-0.039	-3.909
-0.039	0.522
-0.038	-1.722
-0.038	-0.068
-0.038	-0.938
-0.038	-1.061
-0.038	0.211
-0.036	0.986
-0.036	-2.144
-0.036	1.391
-0.035	-0.181
-0.035	-4.110
-0.035	0.011
-0.035	0.772
-0.034	-4.680
-0.034	-0.617
-0.034	-0.753
-0.033	-0.394
-0.033	-2.061
-0.033	1.480
-0.033	1.148
-0.032	0.296
-0.032	1.902
-0.031	1.302
-0.031	-1.193
-0.031	0.633
-0.031	1.693
-0.031	0.383
-0.030	-0.536
-0.030	-0.891
-0.029	1.049
-0.028	-3.074
-0.028	0.939
-0.028	-0.314
-0.028	-0.119
-0.027	0.137
-0.026	0.487
-0.026	0.828
-0.026	-4.543
-0.026	1.210
-0.025	-1.451
-0.025	0.707
-0.025	1.387
-0.025	-0.792
-0.025	-0.008
-0.024	-3.367
-0.024	0.245
-0.024	-1.819
-0.024	2.003
-0.023	1.624
-0.023	-0.238
-0.023	1.498
-0.022	-0.653
-0.021	-1.117
-0.021	-3.730
-0.021	1.125
-0.020	0.409
-0.020	-0.868
-0.020	-3.630
-0.020	-0.533
-0.020	-1.717
-0.020	1.718
-0.019	1.005
-0.019	0.625
-0.019	0.174
-0.018	1.318
-0.018	1.847
-0.018	-0.161
-0.018	-3.176
-0.018	0.885
-0.018	-0.403
-0.017	2.274
-0.017	-4.352
-0.017	0.789
-0.017	0.080
-0.016	2.407
-0.015	0.509
-0.015	-4.086
-0.015	-1.216
-0.014	-1.407
-0.014	1.182
-0.013	0.307
-0.013	2.152
-0.013	1.470
-0.013	-0.950
-0.013	-0.286
-0.013	-4.611
-0.012	1.594
-0.012	-0.768
-0.012	-0.082
-0.012	-3.590
-0.012	1.933
-0.011	1.776
-0.011	-1.049
-0.011	-4.721
-0.011	-3.117
-0.010	-0.675
-0.010	0.686
-0.010	0.215
-0.010	2.614
-0.010	-0.589
-0.010	0.586
-0.009	1.072
-0.009	-5.397
-0.009	0.941
-0.009	2.026
-0.009	-1.310
-0.009	0.125
-0.009	0.832
-0.009	-0.183
-0.007	-3.782
-0.007	1.255
-0.007	1.400
-0.007	0.370
-0.006	-0.447
-0.005	2.439
-0.005	-6.116
-0.004	1.155
-0.004	0.513
-0.004	-3.337
-0.004	1.650
-0.003	-0.332
-0.003	1.507
-0.003	-3.982
-0.003	-0.838
-0.003	-0.111
-0.002	0.737
-0.002	-3.652
-0.002	-0.005
-0.002	-4.765
-0.002	-3.471
-0.001	-4.582
-0.001	1.773
-0.001	0.291
-0.001	-3.176
-0.001	-1.137
-0.001	1.014
-0.001	0.173
-0.000	0.080
0.000	2.050
0.001	-5.424
0.001	-0.245
0.001	0.854
0.001	-1.629
0.001	-2.919
0.001	-3.836
0.001	1.360
0.001	0.642
0.002	-4.272
0.002	-1.030
0.002	1.892
0.002	0.424
0.003	-0.512
0.003	2.878
0.004	1.590
0.004	-3.919
0.004	0.935
0.004	0.553
0.005	2.206
0.005	1.185
0.005	-4.463
0.006	-3.239
0.006	2.472
0.006	1.451
0.006	-0.061
0.006	-3.027
0.007	1.267
0.007	-0.663
0.008	0.772
0.008	0.254
0.008	0.347
0.008	1.055
0.008	0.025
0.009	-3.617
0.009	-0.957
0.009	-0.404
0.009	0.160
0.009	-0.175
0.010	1.769
0.010	-1.173
0.010	-5.575
0.010	0.687
0.010	1.663
0.010	-4.898
0.011	-2.198
0.011	-4.596
0.011	-3.334
0.012	1.890
0.012	-1.593
0.012	0.426
0.012	1.549
0.013	-1.412
0.013	-2.877
0.013	3.421
0.013	-3.541
0.013	-5.736
0.013	1.340
0.013	0.892
0.013	-0.864
0.013	-4.806
0.014	8.815
0.014	0.525
0.014	2.004
0.015	1.176
0.015	0.611
0.015	2.501
0.015	-3.793
0.015	-0.612
0.015	-4.486
0.016	0.974
0.016	-6.107
0.016	0.304
0.016	-1.757
0.017	-4.269
0.017	-0.344
0.017	0.064
0.017	-0.748
0.017	0.217
0.017	0.790
0.017	1.063
0.018	-2.998
0.019	-0.462
0.019	-0.200
0.019	-5.994
0.019	2.782
0.019	1.718
0.019	2.277
0.019	2.381
0.020	1.813
0.020	1.450
0.020	-4.559
0.021	9.546
0.021	0.389
0.021	-0.934
0.021	-4.941
0.021	0.706
0.021	1.580
0.022	-1.490
0.022	1.366
0.022	-3.190
0.023	0.565
0.023	0.887
0.023	1.241
0.024	-4.758
0.024	1.936
0.024	-0.828
0.025	0.983
0.025	1.147
0.025	-0.639
0.025	-4.060
0.026	-0.096
0.026	0.248
0.026	-5.237
0.026	0.485
0.026	1.658
0.027	-0.258
0.027	0.796
0.027	0.049
0.027	-0.405
0.027	1.513
0.027	2.110
0.028	-3.666
0.028	-2.676
0.028	2.468
0.029	-0.546
0.029	1.833
0.029	0.649
0.029	1.057
0.030	1.737
0.031	-4.684
0.031	2.259
0.031	-4.351
0.032	1.283
0.032	0.125
0.032	-0.333
0.032	1.383
0.033	0.361
0.033	-1.209
0.033	0.902
0.033	-1.083
0.033	-3.409
0.034	1.184
0.034	0.543
0.034	1.581
0.034	1.909
0.034	-0.893
0.035	2.377
0.036	0.449
0.036	-1.332
0.036	2.038
0.036	0.730
0.036	-3.971
0.036	1.464
0.036	0.254
0.036	-5.886
0.036	1.664
0.036	-5.230
0.038	-0.031
0.038	1.787
0.039	1.027
0.039	-0.610
0.039	0.062
0.040	2.884
0.040	-3.709
0.040	0.832
0.041	-2.827
0.041	0.621
0.041	1.270
0.041	-0.284
0.042	2.531
0.043	3.372
0.043	-1.065
0.043	-0.128
0.043	0.345
0.043	1.942
0.043	1.537
0.044	0.186
0.044	-1.886
0.045	1.156
0.045	0.478
0.045	-5.032
0.046	1.631
0.046	3.033
0.046	1.737
0.046	-0.454
0.046	2.060
0.047	-1.663
0.047	-0.005
0.047	2.194
0.047	2.380
0.047	0.722
0.047	0.981
0.048	-5.697
0.048	1.837
0.048	1.458
0.048	-0.578
0.049	1.333
0.049	13.669
0.049	1.066
0.049	-4.604
0.050	0.257
0.050	-5.170
0.050	0.863
0.050	0.080
0.050	12.511
0.050	-0.746
0.050	-4.908
0.050	11.489
0.051	0.581
0.051	6.839
0.051	-2.863
0.051	-0.192
0.051	-1.427
0.052	0.408
0.052	12.207
0.052	-0.302
0.053	1.937
0.053	-3.553
0.053	-5.489
0.053	1.260
0.054	8.957
0.054	-4.157
0.054	1.674
0.054	1.136
0.054	-4.766
0.055	2.637
0.055	0.770
0.055	1.397
0.056	1.575
0.056	1.775
0.056	0.934
0.056	-5.608
