B-V,M_V
0.7400,1.3282
0.8000,0.5282
1.5000,-1.4718
0.7800,1.0082
0.6900,0.6682
0.7500,0.7182
0.7800,1.0882
0.7300,0.5082
0.6700,0.5682
0.6100,0.7582
0.5500,0.7682
1.9100,-1.3418
1.3900,-0.9418
0.7200,0.6382
0.9600,0.4082
0.7400,1.3282
0.8300,0.9982
0.5600,0.8982
0.6500,1.3382
0.8600,0.6982
1.4700,-1.1918
0.7100,1.3282
0.7000,1.4782
0.7500,1.3782
0.6200,1.8982
0.6000,1.7182
0.8600,0.6582
1.1200,0.1082
0.6900,1.5782
0.8100,0.7282
0.9700,0.1582
0.7700,1.2782
0.7400,0.8082
0.9200,0.6482
0.6900,1.6482
0.6400,0.7382
1.1700,-0.4518
1.0000,0.2982
1.1000,-0.1318
0.8000,0.4882
1.0800,-0.1518
0.7800,0.5882
0.8700,0.9682
0.8000,1.1282
1.1300,0.0082
0.8000,1.2482
1.1100,-0.0118
0.6700,0.7682
0.9800,0.6882
0.7800,1.2682
0.5800,1.6982
1.3400,-0.8118
0.7900,0.5982
1.1400,0.3182
1.2900,-0.7418
0.9000,0.2382
0.8100,1.5482
0.9000,1.0782
0.8600,0.6782
0.7400,0.3682
0.8700,0.9782
0.8100,1.1882
1.1500,0.0682
0.7800,1.5182
1.2400,-0.3018
1.3600,-0.8818
0.9500,1.0682
1.4000,-0.9418
0.9300,0.4682
0.8800,0.9982
1.1800,0.0182
1.3900,-0.9618
0.8500,0.5182
0.6600,1.5082
1.1600,0.2782
1.5800,-1.7218
1.5900,-1.4218
1.6100,-1.4218
0.9100,0.6282
0.9300,0.4382
1.6100,-1.5118
0.7600,1.5082
1.0500,0.8682
0.6700,0.7982
0.9300,0.4682
0.9900,1.1482
1.3200,-0.6418
0.8100,1.3482
0.9100,0.9782
1.0900,-0.2918
0.9100,0.4882
1.3500,-0.6918
0.8600,0.5282
0.8600,1.1682
1.2700,-0.5618
0.7700,0.3582
0.8900,0.6582
0.9500,1.2982
0.8000,0.9782
0.8200,0.7382
1.0300,0.3982
1.3500,-0.8318
0.8200,0.5282
0.8200,0.6182
0.9800,0.6482
0.8200,0.5482
1.4800,-1.4318
0.8200,1.0182
0.7300,0.4082
0.7800,1.1582
1.1500,-0.3718
0.7800,1.4882
1.1000,0.1282
1.1400,0.1582
1.5800,-1.5318
0.6500,0.4782
0.8800,0.6482
0.7800,0.6482
0.7400,0.7482
0.9300,0.3782
0.8300,0.5882
0.9000,1.1382
0.7700,1.5582
0.8700,1.1982
1.2600,-0.4118
0.8800,0.5882
0.8400,0.4382
0.7500,0.6682
0.7600,0.4982
0.8400,1.1282
0.9000,0.8782
0.7100,1.3682
0.8400,1.1782
0.8900,0.9082
0.7300,1.5782
0.7600,0.7082
0.8200,1.0982
1.0800,0.2082
1.2900,-0.9118
0.6700,1.5982
0.8800,1.0282
0.7000,0.4682
0.7000,1.4082
0.7700,0.6182
0.8300,0.5182
0.8300,0.3282
0.8500,0.4982
1.2900,-0.7418
1.1300,-0.1718
0.7500,0.4882
0.6500,1.3382
1.0300,-0.3718
0.9500,0.7082
0.6000,1.4582
0.7500,0.4482
0.7700,0.5582
0.9100,0.7682
0.7700,1.3082
0.7600,0.4382
0.7900,0.4782
0.7200,0.6582
1.1500,-0.0518
0.6600,1.3582
1.2500,-0.8918
0.6800,1.5082
0.7300,0.7282
0.9500,0.4482
0.8400,0.6382
0.9300,0.6582
0.7700,1.2782
0.8300,1.0682
1.2100,-0.3118
0.7100,1.6182
0.7400,0.6782
0.7500,0.7082
0.8000,0.6982
1.1800,-0.1918
0.7600,1.2482
0.6300,0.7382
1.1300,-0.5318
1.0800,-0.3418
0.9700,0.7782
0.7700,0.7082
0.6800,0.7582
0.8600,0.3682
1.2800,-0.6318
1.0700,0.0482
0.8400,0.3082
0.7800,0.5282
0.7800,0.5382
1.0100,0.2282
0.7700,0.9982
1.1300,0.0682
0.8200,0.4782
0.6500,0.6182
0.8300,0.5082
0.7800,0.6182
0.8100,0.9782
0.8400,1.1582
1.1000,-0.2218
0.8600,1.0982
0.7800,1.1982
0.6500,1.4882
0.6800,0.8282
1.5400,-1.5018
0.6500,1.4982
0.6900,1.2782
0.7700,0.5282
1.0800,0.8882
0.7300,0.6582
1.4500,-1.4018
1.1800,-0.7018
0.8300,0.9682
0.7700,0.4982
0.7500,0.6182
0.7200,0.7182
0.7500,0.5782
0.7100,1.4482
1.0100,-0.2418
1.2800,-0.8218
0.7300,0.8382
0.6700,1.3182
0.7200,0.7982
0.6800,0.7582
0.9000,1.0282
1.5300,-1.4218
1.3600,-1.0718
0.6700,0.7382
0.7200,0.8282
0.9800,0.2582
0.7300,1.2882
1.0700,-0.4518
0.7400,0.4982
1.1200,-0.3718
0.8800,0.8382
1.3300,-1.0518
0.7400,1.1182
0.8900,0.5982
0.7000,1.4982
0.6600,1.4282
0.6200,0.6982
0.6500,0.6382
0.6800,0.7182
0.6300,0.6282
0.7000,0.8582
0.6700,0.7882
0.7800,0.8182
0.6400,0.8082
0.6500,1.4882
0.9500,-0.0218
0.7500,0.5782
1.0700,-0.1218
1.1300,-1.3718
1.0400,0.0482
0.6100,0.3082
0.9000,0.8282
0.6300,0.7982
0.8000,1.1682
0.7600,0.9782
0.7200,0.6382
0.6900,1.3682
0.7200,0.7982
0.8100,0.8582
0.7500,0.5182
0.7000,0.7082
0.7700,1.1482
0.5800,0.7082
0.7000,1.2682
0.6300,0.7982
1.2100,-0.7918
0.9500,0.3982
0.8100,1.1482
0.6500,1.3182
0.6600,1.5482
0.5600,0.8182
1.3300,-1.0418
0.6900,0.7382
1.0600,-0.2318
1.3500,-1.0918
0.7600,0.6882
0.6200,1.2382
0.7000,0.7182
1.3700,-1.2118
0.6100,0.8682
0.6700,0.8182
1.0200,-0.0118
0.7200,0.4682
0.5700,0.7682
0.7900,1.0882
0.7200,0.5882
0.5800,0.8282
1.0300,0.0382
0.6900,1.3482
0.7100,1.3282
0.5400,0.7782
0.5700,0.8582
0.7400,1.4682
0.6500,0.8982
1.4900,-1.3118
0.5300,4.4482
0.5200,5.1382
0.7800,2.7182
0.8100,2.7482
0.7400,3.7682
0.4600,4.5082
0.5100,4.6382
0.4400,4.2982
0.4000,4.5282
0.4800,4.0482
0.6500,5.1282
0.6800,3.8882
1.0000,3.7282
0.5500,4.7982
0.6000,4.5982
0.5700,4.9782
0.5800,5.0782
0.5100,4.0782
0.5000,4.9582
0.5800,4.9682
0.6400,5.1882
0.6400,4.9782
0.5600,5.1682
0.6600,5.0282
0.5600,4.0082
0.5200,4.8882
0.5500,4.9082
0.4800,4.0882
0.4900,4.4482
0.7900,1.6582
0.4800,4.4782
0.4200,4.2082
0.5300,4.0582
0.4700,4.4682
0.5300,5.0782
0.7800,3.1382
0.5400,4.2682
0.4900,4.7382
0.5900,4.3382
0.6200,4.6982
0.5100,4.8682
0.7400,2.5482
0.5500,4.2882
0.6100,2.5382
0.6200,4.6482
0.4900,4.6082
0.4100,4.6282
0.4700,4.0082
0.7300,3.9582
0.5000,4.2282
0.5900,5.0282
0.6900,4.9282
0.6200,1.4082
0.5500,4.5782
0.4800,5.1082
0.7300,1.7782
0.4900,4.5182
0.5300,4.4382
0.7400,3.6582
0.5600,5.1282
0.7900,3.3382
0.4900,4.1382
0.6600,3.9682
0.5500,4.5282
0.7600,1.8882
0.4800,4.2482
0.4400,4.0382
0.7000,0.8682
0.7000,2.7682
0.7400,3.0582
0.4700,4.3382
0.5500,4.6782
0.5500,4.7882
0.5400,4.1982
0.5900,4.8582
0.5000,4.4582
0.6900,3.7082
0.4500,4.3482
0.4800,4.0382
0.4800,4.4082
0.7200,0.8282
0.6900,5.1182
0.4800,4.2982
0.6900,4.7882
0.7100,3.1882
0.5200,4.3082
0.4800,4.1482
0.8700,1.2082
0.7800,2.8382
0.6200,4.9482
0.4100,4.1582
0.4200,4.6782
0.8900,1.8882
0.4500,4.3782
0.4600,4.9582
0.5800,4.7982
0.6600,5.0682
