B-V,M_V
0.5730,-0.1820
0.8890,-0.1160
0.8440,0.0790
0.5970,0.2970
0.8240,0.3120
0.5810,0.4650
1.3790,0.6060
0.7880,0.6210
0.0730,0.6390
0.0760,0.6520
0.7800,0.7500
0.8210,0.7920
0.0470,0.7970
0.0420,0.8380
0.7790,0.9320
0.6380,1.0030
0.7820,1.0070
-0.0050,1.0220
0.5860,1.0260
0.7740,1.0540
-0.0390,1.0580
0.7480,1.0660
0.7690,1.1000
0.8350,1.1490
0.5640,1.1620
0.7380,1.2240
0.8340,1.2680
0.7400,1.3700
0.7210,1.4420
0.6210,1.4800
0.7280,1.5010
0.7150,1.5390
0.7190,1.5500
-0.0730,1.5740
0.6830,1.6330
0.6990,1.6670
0.7100,1.6860
0.7200,1.7320
0.6560,1.8210
0.7050,1.8820
1.5510,1.9130
0.7020,1.9180
0.6890,1.9700
0.5790,1.9960
-0.0920,2.0090
0.6810,2.0110
0.6650,2.1050
0.6890,2.1810
0.8300,2.2260
0.6400,2.2980
0.6740,2.3220
0.9200,2.4410
0.9220,2.4900
0.6790,2.5170
-0.1440,2.5350
0.8790,2.5860
1.3900,2.6100
0.6500,2.6670
0.6610,2.6770
0.7660,2.7120
0.6630,2.7540
0.6610,2.7640
0.7570,2.7840
0.7550,2.7900
0.5720,2.8040
0.6270,2.8200
1.0280,2.8610
-0.1610,2.9920
0.6370,3.0110
0.6370,3.0640
0.6090,3.1100
0.6250,3.1210
0.7680,3.1780
1.0460,3.1860
0.5660,3.2020
0.8570,3.2250
0.6080,3.2980
0.6170,3.3170
0.5800,3.3520
0.6040,3.3580
1.6410,3.3690
0.5660,3.3970
0.5590,3.4020
0.5790,3.4450
0.7820,3.4500
0.5420,3.4670
0.5520,3.4710
0.5130,3.4740
0.5350,3.4840
0.5040,3.4940
0.5120,3.4970
0.5680,3.5030
0.5250,3.5210
0.5110,3.5320
0.4860,3.5450
0.4990,3.5670
0.4920,3.5690
0.4930,3.5780
0.4850,3.5780
0.4920,3.5980
0.5100,3.6010
0.4700,3.6020
0.4650,3.6020
1.0950,3.6150
0.4720,3.6200
0.4770,3.6290
0.4870,3.6300
0.4640,3.6490
0.4640,3.6550
0.4660,3.6740
0.4570,3.7010
0.4470,3.7050
0.4610,3.7050
0.4600,3.7140
0.4580,3.7150
0.4320,3.7330
0.7180,3.7440
0.4440,3.7440
0.5240,3.7460
0.4470,3.7500
0.4480,3.7520
0.4490,3.7570
1.3690,3.7580
0.4370,3.7670
0.4390,3.7740
1.1550,3.7750
0.4430,3.7780
0.5180,3.7800
0.4530,3.7860
0.4480,3.7860
0.4440,3.8030
1.2030,3.8100
0.4550,3.8130
0.4470,3.8180
0.4440,3.8180
0.4520,3.8230
0.4410,3.8300
0.4270,3.8350
0.4410,3.8360
0.4270,3.8470
0.4390,3.8490
0.4430,3.8610
0.4420,3.8700
1.5160,3.8800
0.4390,3.8930
0.4400,3.8940
0.4440,3.9090
0.7920,3.9140
0.4410,3.9160
0.4310,3.9260
0.4550,3.9270
0.4370,3.9740
0.4170,3.9750
0.4470,3.9840
0.4260,3.9840
1.5630,3.9950
0.4150,3.9960
0.4350,3.9970
0.4410,4.0070
0.4270,4.0170
0.4370,4.0240
0.4270,4.0260
0.4320,4.0270
0.4240,4.0400
0.4340,4.0530
0.4270,4.0610
0.4200,4.0670
0.4330,4.0770
0.4270,4.0780
0.4390,4.0810
0.4640,4.0820
1.0470,4.0850
0.4500,4.0880
0.4380,4.0960
0.4270,4.1050
0.4330,4.1090
0.4080,4.1150
0.4290,4.1180
0.4440,4.1210
0.4370,4.1210
0.4080,4.1290
0.4400,4.1300
0.4390,4.1360
0.4390,4.1370
0.4270,4.1380
0.4230,4.1610
