B-V	M_V
0.7740	5.1151
0.7090	5.1901
0.5150	3.8671
0.3700	3.1911
0.5650	4.1651
0.5510	3.4801
0.6470	4.3731
0.0100	1.0251
0.6500	4.8491
0.6180	4.7201
0.9800	5.8671
1.5740	6.2741
0.7400	5.1101
0.7470	5.3341
0.5710	4.4311
0.4650	3.5141
0.7000	4.7131
0.3520	2.7331
0.4370	3.8021
1.4440	5.5791
0.9510	6.2981
1.2100	5.9461
0.7400	5.5531
0.6110	4.7781
0.6020	5.1871
0.5890	6.1891
0.7410	4.9831
0.3540	2.2601
0.5170	3.8871
0.2890	2.5731
1.0720	5.0501
0.6440	5.2751
0.6160	3.9761
0.2400	2.3891
0.9290	5.3761
0.6850	5.2571
0.6780	5.0641
0.7370	5.1521
0.7550	5.1841
0.6210	4.8021
0.4630	3.4441
0.7950	5.3961
0.4950	4.2041
0.7030	5.8131
0.6420	6.1241
0.3830	3.0351
-0.0380	-0.2239
-0.0920	-1.9649
0.8620	5.1671
0.4130	3.2721
0.3800	2.8751
0.8310	5.8051
-0.0610	-0.0209
-0.0910	-1.3779
0.8750	5.3911
0.5110	3.3271
0.5680	3.9691
0.1740	1.5071
0.8000	4.1881
0.5630	4.4061
1.0930	4.2961
0.0320	1.2221
-0.0550	-1.8009
-0.0270	0.0871
0.2200	2.3651
0.8510	5.8581
0.6390	5.1511
0.1330	1.6691
0.7060	4.9091
0.3550	3.0441
0.7080	4.4161
0.5920	4.6151
0.3520	4.0401
0.5270	3.7111
0.6160	4.9611
0.7600	4.8151
0.0310	1.1531
0.4770	3.7211
0.9820	5.8161
0.5760	4.1211
0.0370	1.3251
0.0410	0.6001
0.2810	2.4991
-0.0620	-2.8009
0.0870	1.1451
1.0880	5.1101
0.7320	6.6171
0.2790	2.6281
0.5530	5.6091
0.3990	2.5961
0.4600	3.5371
0.4830	4.6591
0.5330	4.4741
0.1430	1.2741
0.5690	5.0391
0.3070	2.7021
0.1880	2.0641
0.1170	1.8551
-0.0080	0.9271
0.8180	5.2541
0.1940	2.2881
0.4590	3.4411
0.0450	1.3291
0.7570	5.4541
0.2250	2.4511
0.5080	3.9241
0.0470	1.1111
0.5390	3.9691
0.7120	5.2901
1.0060	5.5631
0.0940	1.2731
0.4890	3.4541
0.4490	3.1571
0.6420	5.2861
0.5290	4.3901
0.1700	1.9901
0.4850	3.7631
1.1150	5.6081
1.1960	5.9961
0.5160	4.0471
0.7320	5.2861
1.0280	5.5791
0.8370	5.5681
1.1330	5.6431
0.6860	5.8521
