t,m
0,0.000459
0.005,0
0.01,0.00101
0.015,0.00112
0.02,0.00221
0.025,0.00336
0.03,0.00543
0.035,0.00766
0.04,0.0102
0.045,0.0129
0.05,0.016
0.055,0.0196
0.06,0.0232
0.065,0.0274
0.07,0.0319
0.075,0.0367
0.08,0.0414
0.085,0.0467
0.09,0.052
0.095,0.0574
0.1,0.063
0.105,0.0682
0.11,0.0744
0.115,0.0811
0.12,0.0884
0.125,0.0972
0.13,0.107
0.135,0.118
0.14,0.13
0.145,0.144
0.15,0.16
0.155,0.177
0.16,0.195
0.165,0.215
0.17,0.237
0.175,0.261
0.18,0.287
0.185,0.314
0.19,0.344
0.195,0.376
0.2,0.409
0.205,0.446
0.21,0.484
0.215,0.525
0.22,0.569
0.225,0.615
0.23,0.663
0.235,0.715
0.24,0.77
0.245,0.827
0.25,0.889
0.255,0.827
0.26,0.77
0.265,0.715
0.27,0.663
0.275,0.615
0.28,0.569
0.285,0.525
0.29,0.484
0.295,0.446
0.3,0.409
0.305,0.376
0.31,0.344
0.315,0.314
0.32,0.287
0.325,0.261
0.33,0.237
0.335,0.215
0.34,0.195
0.345,0.176
0.35,0.159
0.355,0.144
0.36,0.13
0.365,0.118
0.37,0.107
0.375,0.0972
0.38,0.0885
0.385,0.0811
0.39,0.0745
0.395,0.0684
0.4,0.0629
0.405,0.0575
0.41,0.052
0.415,0.0467
0.42,0.0415
0.425,0.0367
0.43,0.0318
0.435,0.0274
0.44,0.0233
0.445,0.0196
0.45,0.016
0.455,0.0129
0.46,0.0102
0.465,0.00767
0.47,0.0056
0.475,0.00336
0.48,0.00236
0.485,0.00115
0.49,0.000892
0.495,0.000051
0.5,0.000497
0.505,0.000892
0.51,0.00187
0.515,0.00302
0.52,0.00449
0.525,0.00665
0.53,0.00888
0.535,0.0115
0.54,0.0142
0.545,0.0174
0.55,0.021
0.555,0.0248
0.56,0.0293
0.565,0.0336
0.57,0.0382
0.575,0.0434
0.58,0.0484
0.585,0.0534
0.59,0.0584
0.595,0.0637
0.6,0.0693
0.605,0.0753
0.61,0.0821
0.615,0.0895
0.62,0.0979
0.625,0.107
0.63,0.118
0.635,0.13
0.64,0.143
0.645,0.158
0.65,0.174
0.655,0.192
0.66,0.211
0.665,0.232
0.67,0.254
0.675,0.278
0.68,0.304
0.685,0.332
0.69,0.361
0.695,0.392
0.7,0.426
0.705,0.461
0.71,0.499
0.715,0.539
0.72,0.581
0.725,0.626
0.73,0.672
0.735,0.722
0.74,0.775
0.745,0.83
0.75,0.887
0.755,0.83
0.76,0.775
0.765,0.722
0.77,0.672
0.775,0.626
0.78,0.581
0.785,0.539
0.79,0.499
0.795,0.461
0.8,0.426
0.805,0.392
0.81,0.361
0.815,0.332
0.82,0.304
0.825,0.278
0.83,0.254
0.835,0.232
0.84,0.211
0.845,0.192
0.85,0.174
0.855,0.158
0.86,0.143
0.865,0.13
0.87,0.118
0.875,0.107
0.88,0.0979
0.885,0.0894
0.89,0.0821
0.895,0.0753
0.9,0.0693
0.905,0.0637
0.91,0.0585
0.915,0.0535
0.92,0.0484
0.925,0.0432
0.93,0.0381
0.935,0.0335
0.94,0.0293
0.945,0.0248
0.95,0.0212
0.955,0.0175
0.96,0.0141
0.965,0.0115
0.97,0.00889
0.975,0.0066
0.98,0.00439
0.985,0.00301
0.99,0.00182
0.995,0.000982
