d,x,simple
0.001,2.,2.
0.0036667,2.,2.
0.0063333,1.9999,1.9999
0.009,1.9998,1.9998
0.011667,1.9996,1.9997
0.014333,1.9995,1.9995
0.017,1.9993,1.9993
0.019667,1.999,1.9991
0.022333,1.9988,1.9989
0.025,1.9985,1.9986
0.027667,1.9982,1.9983
0.030333,1.9978,1.9979
0.033,1.9974,1.9975
0.035667,1.997,1.9971
0.038333,1.9965,1.9967
0.041,1.996,1.9962
0.043667,1.9955,1.9957
0.046333,1.995,1.9952
0.049,1.9944,1.9946
0.051667,1.9938,1.994
0.054333,1.9931,1.9934
0.057,1.9924,1.9927
0.059667,1.9917,1.992
0.062333,1.991,1.9913
0.065,1.9902,1.9905
0.067667,1.9894,1.9897
0.070333,1.9885,1.9889
0.073,1.9876,1.988
0.075667,1.9867,1.9871
0.078333,1.9858,1.9862
0.081,1.9848,1.9852
0.083667,1.9838,1.9842
0.086333,1.9828,1.9832
0.089,1.9817,1.9822
0.091667,1.9806,1.9811
0.094333,1.9795,1.98
0.097,1.9783,1.9788
0.099667,1.9771,1.9776
0.10233,1.9759,1.9764
0.105,1.9746,1.9752
0.10767,1.9733,1.9739
0.11033,1.972,1.9726
0.113,1.9706,1.9713
0.11567,1.9692,1.9699
0.11833,1.9678,1.9685
0.121,1.9663,1.9671
0.12367,1.9648,1.9656
0.12633,1.9633,1.9641
0.129,1.9617,1.9626
0.13167,1.9601,1.961
0.13433,1.9585,1.9594
0.137,1.9568,1.9578
0.13967,1.9551,1.9561
0.14233,1.9534,1.9544
0.145,1.9516,1.9527
0.14767,1.9498,1.9509
0.15033,1.9479,1.9491
0.153,1.9461,1.9473
0.15567,1.9442,1.9455
0.15833,1.9422,1.9436
0.161,1.9403,1.9417
0.16367,1.9382,1.9397
0.16633,1.9362,1.9377
0.169,1.9341,1.9357
0.17167,1.932,1.9337
0.17433,1.9299,1.9316
0.177,1.9277,1.9295
0.17967,1.9255,1.9274
0.18233,1.9232,1.9252
0.185,1.9209,1.923
0.18767,1.9186,1.9208
0.19033,1.9163,1.9185
0.193,1.9139,1.9162
0.19567,1.9114,1.9139
0.19833,1.909,1.9115
0.201,1.9065,1.9091
0.20367,1.9039,1.9067
0.20633,1.9014,1.9042
0.209,1.8988,1.9017
0.21167,1.8961,1.8992
0.21433,1.8935,1.8966
0.217,1.8907,1.894
0.21967,1.888,1.8914
0.22233,1.8852,1.8888
0.225,1.8824,1.8861
0.22767,1.8795,1.8834
0.23033,1.8766,1.8806
0.233,1.8737,1.8778
0.23567,1.8707,1.875
0.23833,1.8677,1.8722
0.241,1.8646,1.8693
0.24367,1.8616,1.8664
0.24633,1.8584,1.8635
0.249,1.8553,1.8605
0.25167,1.8521,1.8575
0.25433,1.8488,1.8545
0.257,1.8456,1.8514
0.25967,1.8422,1.8483
0.26233,1.8389,1.8452
0.265,1.8355,1.842
0.26767,1.8321,1.8388
0.27033,1.8286,1.8356
0.273,1.8251,1.8323
0.27567,1.8215,1.829
0.27833,1.8179,1.8257
0.281,1.8143,1.8223
0.28367,1.8106,1.8189
0.28633,1.8069,1.8155
0.289,1.8032,1.8121
0.29167,1.7994,1.8086
0.29433,1.7955,1.8051
0.297,1.7917,1.8015
0.29967,1.7877,1.7979
0.30233,1.7838,1.7943
0.305,1.7798,1.7907
0.30767,1.7757,1.787
0.31033,1.7717,1.7833
0.313,1.7675,1.7796
0.31567,1.7633,1.7758
0.31833,1.7591,1.772
0.321,1.7549,1.7682
0.32367,1.7506,1.7643
0.32633,1.7462,1.7604
0.329,1.7418,1.7565
0.33167,1.7374,1.7525
0.33433,1.7329,1.7485
0.337,1.7284,1.7445
0.33967,1.7238,1.7404
0.34233,1.7192,1.7363
0.345,1.7146,1.7322
0.34767,1.7098,1.728
0.35033,1.7051,1.7238
0.353,1.7003,1.7196
0.35567,1.6954,1.7154
0.35833,1.6905,1.7111
0.361,1.6856,1.7068
0.36367,1.6806,1.7024
0.36633,1.6756,1.698
0.369,1.6705,1.6936
0.37167,1.6653,1.6892
0.37433,1.6602,1.6847
0.377,1.6549,1.6802
0.37967,1.6496,1.6757
0.38233,1.6443,1.6711
0.385,1.6389,1.6665
0.38767,1.6334,1.6619
0.39033,1.628,1.6572
0.393,1.6224,1.6525
0.39567,1.6168,1.6478
0.39833,1.6111,1.643
