d	x	simple
0	2.	2.
0.0026667	2.	2.
0.0053333	1.9999	1.9999
0.008	1.9999	1.9999
0.010667	1.9997	1.9997
0.013333	1.9996	1.9996
0.016	1.9994	1.9994
0.018667	1.9992	1.9992
0.021333	1.999	1.999
0.024	1.9987	1.9987
0.026667	1.9984	1.9984
0.029333	1.9981	1.9981
0.032	1.9977	1.9977
0.034667	1.9973	1.9973
0.037333	1.9969	1.9969
0.04	1.9964	1.9964
0.042667	1.9959	1.9959
0.045333	1.9954	1.9954
0.048	1.9948	1.9948
0.050667	1.9942	1.9942
0.053333	1.9936	1.9936
0.056	1.9929	1.9929
0.058667	1.9922	1.9923
0.061333	1.9915	1.9915
0.064	1.9908	1.9908
0.066667	1.99	1.99
0.069333	1.9892	1.9892
0.072	1.9883	1.9883
0.074667	1.9874	1.9875
0.077333	1.9865	1.9865
0.08	1.9856	1.9856
0.082667	1.9846	1.9846
0.085333	1.9836	1.9836
0.088	1.9825	1.9826
0.090667	1.9814	1.9815
0.093333	1.9803	1.9804
0.096	1.9792	1.9793
0.098667	1.978	1.9781
0.10133	1.9768	1.9769
0.104	1.9755	1.9757
0.10667	1.9743	1.9744
0.10933	1.973	1.9731
0.112	1.9716	1.9718
0.11467	1.9702	1.9704
0.11733	1.9688	1.969
0.12	1.9674	1.9676
0.12267	1.9659	1.9661
0.12533	1.9644	1.9647
0.128	1.9629	1.9631
0.13067	1.9613	1.9616
0.13333	1.9597	1.96
0.136	1.958	1.9584
0.13867	1.9564	1.9567
0.14133	1.9547	1.9551
0.144	1.9529	1.9533
0.14667	1.9511	1.9516
0.14933	1.9493	1.9498
0.152	1.9475	1.948
0.15467	1.9456	1.9462
0.15733	1.9437	1.9443
0.16	1.9417	1.9424
0.16267	1.9398	1.9405
0.16533	1.9377	1.9385
0.168	1.9357	1.9365
0.17067	1.9336	1.9345
0.17333	1.9315	1.9324
0.176	1.9293	1.9303
0.17867	1.9271	1.9282
0.18133	1.9249	1.926
0.184	1.9227	1.9238
0.18667	1.9204	1.9216
0.18933	1.918	1.9193
0.192	1.9157	1.9171
0.19467	1.9133	1.9147
0.19733	1.9108	1.9124
0.2	1.9084	1.91
0.20267	1.9059	1.9076
0.20533	1.9033	1.9051
0.208	1.9007	1.9027
0.21067	1.8981	1.9001
0.21333	1.8955	1.8976
0.216	1.8928	1.895
0.21867	1.8901	1.8924
0.22133	1.8873	1.8898
0.224	1.8845	1.8871
0.22667	1.8817	1.8844
0.22933	1.8788	1.8817
0.232	1.8759	1.8789
0.23467	1.8729	1.8761
0.23733	1.87	1.8733
0.24	1.8669	1.8704
0.24267	1.8639	1.8675
0.24533	1.8608	1.8646
0.248	1.8576	1.8616
0.25067	1.8545	1.8586
0.25333	1.8513	1.8556
0.256	1.848	1.8525
0.25867	1.8447	1.8495
0.26133	1.8414	1.8463
0.264	1.838	1.8432
0.26667	1.8346	1.84
0.26933	1.8312	1.8368
0.272	1.8277	1.8335
0.27467	1.8242	1.8303
0.27733	1.8206	1.8269
0.28	1.817	1.8236
0.28267	1.8134	1.8202
0.28533	1.8097	1.8168
0.288	1.806	1.8134
0.29067	1.8022	1.8099
0.29333	1.7984	1.8064
0.296	1.7946	1.8029
0.29867	1.7907	1.7993
0.30133	1.7868	1.7957
0.304	1.7828	1.7921
0.30667	1.7788	1.7884
0.30933	1.7747	1.7847
0.312	1.7706	1.781
0.31467	1.7665	1.7772
0.31733	1.7623	1.7734
0.32	1.7581	1.7696
0.32267	1.7538	1.7657
0.32533	1.7495	1.7619
0.328	1.7451	1.7579
0.33067	1.7407	1.754
0.33333	1.7363	1.75
0.336	1.7318	1.746
0.33867	1.7273	1.7419
0.34133	1.7227	1.7379
0.344	1.7181	1.7337
0.34667	1.7134	1.7296
0.34933	1.7087	1.7254
0.352	1.7039	1.7212
0.35467	1.6991	1.717
0.35733	1.6942	1.7127
0.36	1.6893	1.7084
0.36267	1.6844	1.7041
0.36533	1.6794	1.6997
0.368	1.6743	1.6953
0.37067	1.6692	1.6909
0.37333	1.664	1.6864
0.376	1.6588	1.6819
0.37867	1.6536	1.6774
0.38133	1.6483	1.6728
0.384	1.6429	1.6682
0.38667	1.6375	1.6636
0.38933	1.6321	1.6589
0.392	1.6266	1.6543
0.39467	1.621	1.6495
0.39733	1.6154	1.6448
0.4	1.6097	1.64
0.40267	1.604	1.6352
0.40533	1.5982	1.6303
0.408	1.5924	1.6255
0.41067	1.5865	1.6205
0.41333	1.5806	1.6156
0.416	1.5746	1.6106
0.41867	1.5685	1.6056
0.42133	1.5624	1.6006
0.424	1.5562	1.5955
0.42667	1.55	1.5904
0.42933	1.5437	1.5853
0.432	1.5373	1.5801
0.43467	1.5309	1.5749
0.43733	1.5245	1.5697
0.44	1.5179	1.5644
0.44267	1.5113	1.5591
0.44533	1.5047	1.5538
0.448	1.4979	1.5484
0.45067	1.4911	1.543
0.45333	1.4843	1.5376
0.456	1.4773	1.5321
0.45867	1.4703	1.5267
0.46133	1.4633	1.5211
0.464	1.4562	1.5156
0.46667	1.449	1.51
0.46933	1.4417	1.5044
0.472	1.4343	1.4987
0.47467	1.4269	1.4931
0.47733	1.4194	1.4873
0.48	1.4119	1.4816
0.48267	1.4042	1.4758
0.48533	1.3965	1.47
0.488	1.3887	1.4642
0.49067	1.3808	1.4583
0.49333	1.3728	1.4524
0.496	1.3648	1.4465
0.49867	1.3567	1.4405
0.50133	1.3485	1.4345
0.504	1.3402	1.4285
0.50667	1.3318	1.4224
0.50933	1.3233	1.4163
0.512	1.3147	1.4102
0.51467	1.306	1.404
0.51733	1.2973	1.3978
0.52	1.2884	1.3916
0.52267	1.2795	1.3853
0.52533	1.2704	1.3791
0.528	1.2613	1.3727
0.53067	1.252	1.3664
0.53333	1.2426	1.36
0.536	1.2331	1.3536
0.53867	1.2236	1.3471
0.54133	1.2138	1.3407
0.544	1.204	1.3341
0.54667	1.1941	1.3276
0.54933	1.184	1.321
0.552	1.1738	1.3144
0.55467	1.1635	1.3078
0.55733	1.153	1.3011
0.56	1.1424	1.2944
0.56267	1.1316	1.2877
0.56533	1.1207	1.2809
0.568	1.1097	1.2741
0.57067	1.0985	1.2673
0.57333	1.0871	1.2604
0.576	1.0756	1.2535
0.57867	1.0639	1.2466
0.58133	1.052	1.2396
0.584	1.0399	1.2326
0.58667	1.0277	1.2256
0.58933	1.0152	1.2185
0.592	1.0025	1.2115
0.59467	0.98959	1.2043
0.59733	0.97645	1.1972
0.6	0.96307	1.19
0.60267	0.94943	1.1828
0.60533	0.93551	1.1755
0.608	0.92131	1.1683
0.61067	0.90681	1.1609
0.61333	0.89199	1.1536
0.616	0.87681	1.1462
0.61867	0.86127	1.1388
0.62133	0.84533	1.1314
0.624	0.82896	1.1239
0.62667	0.81213	1.1164
0.62933	0.79478	1.1089
0.632	0.77687	1.1013
0.63467	0.75833	1.0937
0.63733	0.7391	1.0861
0.64	0.71907	1.0784
0.64267	0.69815	1.0707
0.64533	0.67616	1.063
0.648	0.65293	1.0552
0.65067	0.62818	1.0474
0.65333	0.60152	1.0396
0.656	0.57237	1.0317
0.65867	0.53973	1.0239
0.66133	0.50165	1.0159
0.664	0.45314	1.008
0.66667	0.34164	1.
