wavelength,flux
3800,0.816
3805,0.765
3810,0.698
3814,0.618
3819,0.56
3824,0.627
3829,0.715
3834,0.766
3838,0.777
3843,0.798
3848,0.813
3853,0.859
3858,0.903
3863,0.916
3867,0.864
3872,0.847
3877,0.866
3882,0.818
3887,0.602
3891,0.495
3896,0.756
3901,0.888
3906,0.902
3911,0.941
3915,0.953
3920,0.952
3925,0.96
3930,0.932
3935,0.941
3939,0.958
3944,0.92
3949,0.888
3954,0.837
3959,0.776
3964,0.618
3968,0.718
3973,0.828
3978,0.83
3983,0.835
3988,0.825
3992,0.803
3997,0.749
4002,0.734
4007,0.683
4012,0.611
4016,0.549
4021,0.462
4026,0.352
4031,0.458
4036,0.557
4040,0.641
4045,0.694
4050,0.697
4055,0.721
4060,0.771
4065,0.796
4069,0.848
4074,0.861
4079,0.874
4084,0.881
4089,0.912
4093,0.928
4098,0.911
4103,0.9
4108,0.895
4113,0.902
4117,0.842
4122,0.655
4127,0.732
4132,0.781
4137,0.796
4141,0.805
4146,0.802
4151,0.811
4156,0.849
4161,0.87
4166,0.888
4170,0.908
4175,0.92
4180,0.943
4185,0.937
4190,0.957
4194,0.958
4199,0.963
4204,0.96
4209,0.955
4214,0.959
4218,0.98
4223,0.98
4228,0.972
4233,0.988
4238,0.971
4242,1.0
4247,0.967
4252,0.978
4257,0.965
4262,0.954
4267,0.947
4271,0.969
4276,0.931
4281,0.962
4286,0.94
4291,0.935
4295,0.918
4300,0.95
4305,0.923
4310,0.892
4315,0.915
4319,0.891
4324,0.886
4329,0.884
4334,0.86
4339,0.864
4343,0.832
4348,0.823
4353,0.795
4358,0.753
4363,0.759
4368,0.721
4372,0.706
4377,0.626
4382,0.6
4387,0.525
4392,0.515
4396,0.577
4401,0.627
4406,0.638
4411,0.651
4416,0.69
4420,0.657
4425,0.663
4430,0.643
4435,0.612
4440,0.587
4444,0.556
4449,0.505
4454,0.491
4459,0.423
4464,0.348
4469,0.255
4473,0.174
4478,0.299
4483,0.384
4488,0.457
4493,0.518
4497,0.574
4502,0.592
4507,0.644
4512,0.63
4517,0.635
4521,0.594
4526,0.613
4531,0.638
4536,0.66
4541,0.669
4545,0.686
4550,0.724
4555,0.7
4560,0.732
4565,0.713
4569,0.733
4574,0.732
4579,0.755
4584,0.772
4589,0.736
4594,0.755
4598,0.75
4603,0.731
4608,0.768
4613,0.746
4618,0.776
4622,0.739
4627,0.747
4632,0.739
4637,0.758
4642,0.753
4646,0.757
4651,0.744
4656,0.76
4661,0.776
4666,0.766
4670,0.749
4675,0.762
4680,0.746
4685,0.746
4690,0.739
4695,0.723
4699,0.716
4704,0.685
4709,0.599
4714,0.31
4719,0.421
4723,0.541
4728,0.6
4733,0.66
4738,0.676
4743,0.686
4747,0.7
4752,0.705
4757,0.712
4762,0.711
4767,0.701
4771,0.702
4776,0.71
4781,0.716
4786,0.708
4791,0.694
4796,0.717
4800,0.693
4805,0.701
4810,0.688
4815,0.69
4820,0.694
4824,0.676
4829,0.691
4834,0.673
4839,0.677
4844,0.665
4848,0.659
4853,0.636
4858,0.631
4863,0.603
4868,0.608
4872,0.592
4877,0.583
4882,0.576
4887,0.534
4892,0.521
4897,0.474
4901,0.441
4906,0.41
4911,0.364
4916,0.323
4921,0.218
4925,0.19
4930,0.277
4935,0.368
4940,0.406
4945,0.456
4949,0.461
4954,0.518
4959,0.518
4964,0.544
4969,0.539
4973,0.562
4978,0.563
4983,0.572
4988,0.566
4993,0.531
4998,0.533
5002,0.5
5007,0.446
5012,0.33
5017,0.196
5022,0.421
5026,0.517
5031,0.555
5036,0.566
5041,0.528
5046,0.476
5050,0.385
5055,0.478
5060,0.519
5065,0.576
5070,0.567
5074,0.602
5079,0.597
5084,0.604
5089,0.608
5094,0.626
5099,0.594
5103,0.613
5108,0.617
5113,0.612
5118,0.61
5123,0.617
5127,0.626
5132,0.613
5137,0.632
5142,0.62
5147,0.619
5151,0.61
5156,0.595
5161,0.609
5166,0.6
5171,0.616
5175,0.602
5180,0.594
5185,0.599
5190,0.605
5195,0.593
5200,0.58
5204,0.601
5209,0.599
5214,0.594
5219,0.581
5224,0.598
5228,0.568
5233,0.578
5238,0.588
5243,0.576
5248,0.577
5252,0.577
5257,0.559
5262,0.57
5267,0.585
5272,0.57
5276,0.57
5281,0.569
5286,0.56
5291,0.563
5296,0.57
5300,0.565
5305,0.558
5310,0.566
5315,0.556
5320,0.566
5325,0.55
5329,0.545
5334,0.542
5339,0.545
5344,0.543
5349,0.538
5353,0.546
5358,0.541
5363,0.564
5368,0.548
5373,0.531
5377,0.53
5382,0.538
5387,0.538
5392,0.545
5397,0.524
5401,0.544
5406,0.54
5411,0.53
5416,0.523
5421,0.518
5426,0.501
5430,0.514
5435,0.513
5440,0.508
5445,0.504
5450,0.513
5454,0.505
5459,0.489
5464,0.489
5469,0.486
5474,0.475
5478,0.467
5483,0.501
5488,0.475
5493,0.49
5498,0.484
5502,0.473
5507,0.473
5512,0.457
5517,0.463
5522,0.466
5527,0.454
5531,0.445
5536,0.459
5541,0.443
5546,0.452
5551,0.445
5555,0.446
5560,0.446
5565,0.44
5570,0.427
5575,0.431
5579,0.424
5584,0.422
5589,0.431
5594,0.438
5599,0.416
5603,0.418
5608,0.426
5613,0.415
5618,0.404
5623,0.398
5628,0.4
5632,0.398
5637,0.413
5642,0.394
5647,0.407
5652,0.41
5656,0.392
5661,0.4
5666,0.403
5671,0.385
5676,0.387
5680,0.39
5685,0.387
5690,0.381
5695,0.384
5700,0.381
5704,0.371
5709,0.39
5714,0.376
5719,0.384
5724,0.383
5729,0.387
5733,0.385
5738,0.367
5743,0.384
5748,0.387
5753,0.387
5757,0.371
5762,0.372
5767,0.366
5772,0.36
5777,0.362
5781,0.35
5786,0.339
5791,0.355
5796,0.343
5801,0.345
5805,0.349
5810,0.329
5815,0.321
5820,0.319
5825,0.31
5830,0.309
5834,0.281
5839,0.267
5844,0.26
5849,0.253
5854,0.206
5858,0.19
5863,0.171
5868,0.131
5873,0.05
5878,0.0
5882,0.102
5887,0.136
5892,0.168
5897,0.216
5902,0.225
5906,0.222
5911,0.239
5916,0.267
5921,0.26
5926,0.272
5931,0.286
5935,0.3
5940,0.288
5945,0.287
5950,0.279
5955,0.294
5959,0.291
5964,0.305
5969,0.293
5974,0.309
5979,0.3
5983,0.303
5988,0.292
5993,0.298
5998,0.285
6003,0.293
6007,0.294
6012,0.278
6017,0.293
6022,0.288
6027,0.311
6031,0.301
6036,0.307
6041,0.293
6046,0.286
6051,0.3
6056,0.291
6060,0.284
6065,0.265
6070,0.231
6075,0.256
6080,0.254
6084,0.272
6089,0.259
6094,0.27
6099,0.277
6104,0.271
6108,0.295
6113,0.28
6118,0.284
6123,0.294
6128,0.283
6132,0.27
6137,0.279
6142,0.29
6147,0.29
6152,0.282
6157,0.288
6161,0.282
6166,0.287
6171,0.296
6176,0.287
6181,0.307
6185,0.297
6190,0.287
6195,0.297
6200,0.298
