wavelength,flux
2960,0.057
3238,0.064
3312,0.071
3351,0.08
3378,0.072
3400,0.067
3419,0.066
3436,0.07
3452,0.069
3467,0.064
3482,0.066
3484,0.094
3484,0.063
3488,0.068
3491,0.076
3495,0.069
3497,0.057
3503,0.07
3511,0.046
3512,0.067
3518,0.071
3521,0.07
3525,0.036
3531,0.063
3538,0.033
3542,0.05
3552,0.043
3553,0.042
3564,0.038
3566,0.051
3576,0.039
3579,0.049
3587,0.044
3593,0.046
3599,0.05
3606,0.046
3611,0.049
3618,0.066
3620,0.046
3623,0.045
3633,0.043
3635,0.045
3647,0.039
3648,0.045
3660,0.041
3660,0.036
3672,0.041
3673,0.037
3685,0.039
3687,0.038
3698,0.038
3700,0.032
3710,0.038
3714,0.066
3723,0.043
3727,0.059
3736,0.133
3741,0.044
3749,0.039
3755,0.052
3762,0.049
3768,0.039
3775,0.04
3782,0.031
3788,0.039
3795,0.018
3801,0.021
3809,0.021
3814,0.016
3823,0.024
3828,0.023
3837,0.026
3841,0.023
3850,0.043
3854,0.035
3864,0.096
3868,0.065
3878,0.037
3881,0.044
3892,0.029
3895,0.04
3906,0.024
3909,0.021
3920,0.014
3922,0.02
3934,0.012
3936,0.007
3948,0.025
3950,0.021
3963,0.039
3964,0.029
3977,0.02
3978,0.026
3991,0.009
3992,0.017
4005,0.004
4006,0.006
4020,0.012
4020,0.007
4034,0.008
4034,0.006
4048,0.006
4048,0.004
4062,0.009
4063,0.017
4077,0.026
4077,0.025
4091,0.036
4092,0.046
4105,0.058
4107,0.046
4120,0.042
4121,0.032
4134,0.025
4136,0.02
4149,0.012
4151,0.007
4163,0.009
4166,0.012
4178,0.015
4180,0.019
4193,0.011
4195,0.002
4208,0.0
4210,0.001
4223,0.006
4225,0.007
4237,0.021
4240,0.025
4252,0.023
4255,0.019
4267,0.022
4271,0.019
4282,0.029
4286,0.036
4298,0.04
4301,0.044
4313,0.052
4316,0.075
4328,0.086
4332,0.118
4343,0.152
4347,0.129
4359,0.122
4363,0.117
4374,0.08
4378,0.059
4389,0.047
4394,0.05
4405,0.04
4410,0.038
4420,0.041
4425,0.035
4436,0.028
4441,0.027
4452,0.034
4457,0.032
4467,0.032
4473,0.045
4483,0.042
4489,0.046
4499,0.053
4505,0.063
4515,0.067
4521,0.068
4531,0.06
4537,0.062
4547,0.066
4553,0.064
4563,0.071
4569,0.066
4579,0.068
4585,0.062
4595,0.063
4602,0.053
4612,0.053
4618,0.057
4628,0.066
4634,0.065
4644,0.059
4651,0.053
4661,0.054
4668,0.049
4677,0.055
4684,0.061
4694,0.044
4701,0.034
4710,0.035
4718,0.037
4727,0.039
4734,0.034
4744,0.039
4751,0.033
4761,0.032
4768,0.031
4777,0.04
4785,0.04
4794,0.054
4802,0.058
4811,0.076
4819,0.092
4828,0.118
4836,0.149
4845,0.201
4853,0.274
4862,0.379
4871,0.292
4880,0.23
4888,0.175
4897,0.147
4905,0.12
4914,0.112
4923,0.098
4932,0.103
4940,0.089
4949,0.116
4958,0.228
4967,0.142
4975,0.041
4984,0.103
4993,0.079
5002,0.385
5011,0.439
5020,0.068
5029,0.1
5037,0.045
5047,0.065
5055,0.041
5065,0.054
5073,0.03
5083,0.041
5091,0.03
5101,0.038
5109,0.028
5119,0.041
5127,0.03
5137,0.047
5145,0.042
5155,0.063
5163,0.06
5174,0.063
5182,0.062
5192,0.065
5200,0.071
5210,0.06
5219,0.057
5229,0.058
5237,0.064
5247,0.065
5256,0.06
5266,0.063
5274,0.062
5285,0.076
5293,0.068
5304,0.07
5312,0.074
5322,0.072
5330,0.063
5341,0.061
5349,0.053
5360,0.06
5368,0.052
5379,0.055
5387,0.048
5399,0.046
5406,0.043
5418,0.053
5425,0.05
5437,0.052
5445,0.047
5456,0.044
5464,0.042
5465,0.079
5476,0.046
5483,0.043
5495,0.049
5503,0.045
5515,0.05
5522,0.053
5534,0.057
5542,0.052
5554,0.055
5561,0.047
5574,0.05
5581,0.047
5593,0.046
5601,0.046
5613,0.051
5621,0.043
5633,0.05
5640,0.044
5653,0.05
5660,0.044
5673,0.054
5680,0.051
5694,0.053
