wavelength,intensity
4000,0.0000
4001,0.0000
4001,0.0000
4002,0.0000
4003,0.0000
4004,0.0000
4005,0.0000
4006,0.0000
4007,0.0000
4008,0.0037
4009,0.0047
4009,0.0002
4010,0.0000
4011,0.0000
4012,0.0030
4013,0.0121
4014,0.0139
4015,0.0048
4016,0.0000
4017,0.0000
4018,0.0000
4018,0.0042
4019,0.0060
4020,0.0000
4021,0.0000
4022,0.0056
4023,0.0087
4024,0.0038
4025,0.0005
4026,0.0003
4026,0.0000
4027,0.0000
4028,0.0000
4029,0.0000
4030,0.0030
4031,0.0056
4032,0.0054
4033,0.0000
4034,0.0000
4035,0.0000
4035,0.0000
4036,0.0000
4037,0.0000
4038,0.0000
4039,0.0000
4040,0.0000
4041,0.0000
4042,0.0000
4043,0.0000
4043,0.0000
4044,0.0007
4045,0.0037
4046,0.0055
4047,0.0036
4048,0.0022
4049,0.0024
4050,0.0016
4051,0.0000
4052,0.0000
4052,0.0000
4053,0.0002
4054,0.0000
4055,0.0000
4056,0.0000
4057,0.0000
4058,0.0000
4059,0.0000
4060,0.0000
4060,0.0000
4061,0.0151
4062,0.0274
4063,0.0084
4064,0.0000
4065,0.0000
4066,0.0011
4067,0.0042
4068,0.0064
4069,0.0032
4069,0.0003
4070,0.0005
4071,0.0014
4072,0.0078
4073,0.0128
4074,0.0067
4075,0.0013
4076,0.0018
4077,0.0019
4078,0.0000
4078,0.0000
4079,0.0000
4080,0.0000
4081,0.0039
4082,0.0081
4083,0.0031
4084,0.0000
4085,0.0000
4086,0.0000
4086,0.0000
4087,0.0000
4088,0.0000
4089,0.0010
4090,0.0000
4091,0.0000
4092,0.0000
4093,0.0012
4094,0.0045
4095,0.0078
4095,0.0054
4096,0.0029
4097,0.0000
4098,0.0000
4099,0.0000
4100,0.0000
4101,0.0046
4102,0.0162
4103,0.0062
4103,0.0000
4104,0.0000
4105,0.0000
4106,0.0000
4107,0.0000
4108,0.0000
4109,0.0000
4110,0.0020
4111,0.0041
4112,0.0011
4112,0.0000
4113,0.0000
4114,0.0000
4115,0.0000
4116,0.0000
4117,0.0002
4118,0.0005
4119,0.0015
4120,0.0027
4120,0.0025
4121,0.0021
4122,0.0005
4123,0.0000
4124,0.0000
4125,0.0000
4126,0.0000
4127,0.0045
4128,0.0073
4129,0.0096
4129,0.0046
4130,0.0000
4131,0.0000
4132,0.0000
4133,0.0000
4134,0.0000
4135,0.0000
4136,0.0020
4137,0.0000
4137,0.0000
4138,0.0000
4139,0.0130
4140,0.0059
4141,0.0000
4142,0.0000
4143,0.0072
4144,0.0050
4145,0.0000
4146,0.0000
4146,0.0000
4147,0.0000
4148,0.0000
4149,0.0019
4150,0.0044
4151,0.0021
4152,0.0000
4153,0.0005
4154,0.0064
4154,0.0077
4155,0.0070
4156,0.0054
4157,0.0036
4158,0.0010
4159,0.0000
4160,0.0000
4161,0.0030
4162,0.0033
4163,0.0017
4163,0.0000
4164,0.0000
4165,0.0000
4166,0.0000
4167,0.0000
4168,0.0000
4169,0.0000
4170,0.0012
4171,0.0018
4171,0.0009
4172,0.0000
4173,0.0000
4174,0.0000
4175,0.0002
4176,0.0009
4177,0.0015
4178,0.0020
4179,0.0023
4180,0.0021
4180,0.0014
4181,0.0014
4182,0.0021
4183,0.0005
4184,0.0000
4185,0.0000
4186,0.0031
4187,0.0036
4188,0.0000
4188,0.0000
4189,0.0000
4190,0.0000
4191,0.0000
4192,0.0000
4193,0.0021
4194,0.0021
4195,0.0000
4196,0.0000
4197,0.0000
4197,0.0018
4198,0.0025
4199,0.0039
4200,0.0061
4201,0.0055
4202,0.0013
4203,0.0000
4204,0.0000
4205,0.0000
4205,0.0004
4206,0.0019
4207,0.0010
4208,0.0005
4209,0.0008
4210,0.0003
4211,0.0000
4212,0.0000
4213,0.0000
4214,0.0000
4214,0.0005
4215,0.0023
4216,0.0015
4217,0.0008
4218,0.0003
4219,0.0002
4220,0.0008
4221,0.0011
4222,0.0004
4222,0.0000
4223,0.0000
4224,0.0000
4225,0.0000
4226,0.0000
4227,0.0000
4228,0.0000
4229,0.0002
4230,0.0011
4231,0.0019
4231,0.0019
4232,0.0000
4233,0.0000
4234,0.0000
4235,0.0007
4236,0.0006
4237,0.0007
4238,0.0013
4239,0.0013
4239,0.0000
4240,0.0000
4241,0.0000
4242,0.0000
4243,0.0000
4244,0.0001
4245,0.0036
4246,0.0063
4247,0.0043
4248,0.0020
4248,0.0000
4249,0.0000
4250,0.0000
4251,0.0000
4252,0.0000
4253,0.0018
4254,0.0011
4255,0.0005
4256,0.0000
4257,0.0000
4257,0.0000
4258,0.0005
4259,0.0008
4260,0.0010
4261,0.0000
4262,0.0000
4263,0.0001
4264,0.0020
4265,0.0021
4265,0.0021
4266,0.0007
4267,0.0000
4268,0.0000
4269,0.0000
4270,0.0001
4271,0.0017
4272,0.0025
4273,0.0031
4274,0.0000
4274,0.0000
4275,0.0000
4276,0.0000
4277,0.0000
4278,0.0000
4279,0.0002
4280,0.0005
4281,0.0003
4282,0.0001
4282,0.0010
4283,0.0020
4284,0.0000
4285,0.0000
4286,0.0000
4287,0.0020
4288,0.0000
4289,0.0000
4290,0.0000
4291,0.0000
4291,0.0000
4292,0.0000
4293,0.0000
4294,0.0007
4295,0.0000
4296,0.0000
4297,0.0000
4298,0.0000
4299,0.0000
4299,0.0038
4300,0.0024
4301,0.0000
4302,0.0000
4303,0.0000
4304,0.0000
4305,0.0000
4306,0.0030
4307,0.0091
4308,0.0056
4308,0.0000
4309,0.0001
4310,0.0025
4311,0.0031
4312,0.0032
4313,0.0016
4314,0.0000
4315,0.0000
4316,0.0000
4316,0.0000
4317,0.0000
4318,0.0000
4319,0.0000
4320,0.0000
4321,0.0000
4322,0.0000
4323,0.0000
4324,0.0000
4325,0.0000
4325,0.0000
4326,0.0000
4327,0.0000
4328,0.0000
4329,0.0004
4330,0.0036
4331,0.0015
4332,0.0000
4333,0.0000
4333,0.0000
4334,0.0011
4335,0.0061
4336,0.0105
4337,0.0147
4338,0.0218
4339,0.0309
4340,0.0357
4341,0.0377
4342,0.0299
4342,0.0152
4343,0.0055
4344,0.0000
4345,0.0000
4346,0.0000
4347,0.0000
4348,0.0000
4349,0.0000
4350,0.0004
4350,0.0000
4351,0.0000
4352,0.0000
4353,0.0000
4354,0.0000
4355,0.0000
4356,0.0000
4357,0.0000
4358,0.0006
4359,0.0044
4359,0.0034
4360,0.0000
4361,0.0000
4362,0.0011
4363,0.0037
4364,0.0031
4365,0.0025
4366,0.0021
4367,0.0015
4367,0.0007
4368,0.0002
4369,0.0002
4370,0.0005
4371,0.0013
4372,0.0013
4373,0.0001
4374,0.0000
4375,0.0005
4376,0.0004
4376,0.0000
4377,0.0000
4378,0.0000
4379,0.0000
4380,0.0000
4381,0.0010
4382,0.0010
4383,0.0010
4384,0.0007
4384,0.0003
4385,0.0000
4386,0.0000
4387,0.0000
4388,0.0000
4389,0.0010
4390,0.0019
4391,0.0012
4392,0.0008
4393,0.0015
4393,0.0014
4394,0.0000
4395,0.0000
4396,0.0000
4397,0.0006
4398,0.0011
4399,0.0021
4400,0.0049
4401,0.0066
4401,0.0041
4402,0.0016
4403,0.0000
4404,0.0000
4405,0.0000
4406,0.0008
4407,0.0001
4408,0.0000
4409,0.0000
4410,0.0002
4410,0.0005
4411,0.0007
4412,0.0003
4413,0.0000
4414,0.0005
4415,0.0009
4416,0.0003
4417,0.0000
4418,0.0000
4418,0.0000
4419,0.0000
4420,0.0014
4421,0.0026
4422,0.0036
4423,0.0013
4424,0.0000
4425,0.0009
4426,0.0024
4427,0.0001
4427,0.0000
4428,0.0011
4429,0.0042
4430,0.0020
4431,0.0000
4432,0.0004
4433,0.0011
4434,0.0007
4435,0.0003
4436,0.0016
4436,0.0030
4437,0.0001
4438,0.0000
4439,0.0000
4440,0.0000
4441,0.0000
4442,0.0000
4443,0.0000
4444,0.0000
4444,0.0000
4445,0.0023
4446,0.0000
4447,0.0000
4448,0.0000
4449,0.0000
4450,0.0000
4451,0.0000
4452,0.0009
4453,0.0014
4453,0.0000
4454,0.0000
4455,0.0000
4456,0.0017
4457,0.0003
4458,0.0000
4459,0.0000
4460,0.0000
4461,0.0003
4461,0.0013
4462,0.0000
4463,0.0000
4464,0.0000
4465,0.0022
4466,0.0022
4467,0.0016
4468,0.0000
4469,0.0000
4470,0.0000
4470,0.0000
4471,0.0000
4472,0.0000
4473,0.0000
4474,0.0014
4475,0.0023
4476,0.0015
4477,0.0000
4478,0.0000
4478,0.0000
4479,0.0000
4480,0.0000
4481,0.0000
4482,0.0000
4483,0.0000
4484,0.0000
4485,0.0000
4486,0.0000
4487,0.0000
4487,0.0000
4488,0.0000
4489,0.0000
4490,0.0000
4491,0.0000
4492,0.0000
4493,0.0000
4494,0.0000
4495,0.0005
4495,0.0008
4496,0.0000
4497,0.0000
4498,0.0000
4499,0.0014
4500,0.0010
4501,0.0000
4502,0.0000
4503,0.0031
4504,0.0034
4504,0.0000
4505,0.0000
4506,0.0001
4507,0.0001
4508,0.0000
4509,0.0000
4510,0.0000
4511,0.0000
4512,0.0000
4512,0.0000
4513,0.0000
4514,0.0000
4515,0.0000
4516,0.0000
4517,0.0000
4518,0.0005
4519,0.0006
4520,0.0007
4521,0.0007
4521,0.0008
4522,0.0009
4523,0.0008
4524,0.0004
4525,0.0000
4526,0.0000
4527,0.0000
4528,0.0013
4529,0.0017
4529,0.0000
4530,0.0000
4531,0.0008
4532,0.0014
4533,0.0003
4534,0.0000
4535,0.0001
4536,0.0008
4537,0.0022
4538,0.0022
4538,0.0000
4539,0.0000
4540,0.0000
4541,0.0000
4542,0.0000
4543,0.0016
4544,0.0031
4545,0.0034
4546,0.0000
4546,0.0000
4547,0.0000
4548,0.0000
4549,0.0000
4550,0.0000
4551,0.0000
4552,0.0000
4553,0.0000
4554,0.0000
4555,0.0000
4555,0.0024
4556,0.0028
4557,0.0030
4558,0.0014
4559,0.0004
4560,0.0035
4561,0.0059
4562,0.0019
4563,0.0000
4563,0.0005
4564,0.0021
4565,0.0002
4566,0.0000
4567,0.0000
4568,0.0000
4569,0.0000
4570,0.0005
4571,0.0012
4572,0.0018
4572,0.0000
4573,0.0000
4574,0.0000
4575,0.0015
4576,0.0001
4577,0.0000
4578,0.0011
4579,0.0036
4580,0.0017
4580,0.0000
4581,0.0000
4582,0.0000
4583,0.0000
4584,0.0012
4585,0.0008
4586,0.0003
4587,0.0002
4588,0.0000
4589,0.0000
4589,0.0000
4590,0.0000
4591,0.0000
4592,0.0000
4593,0.0000
4594,0.0000
4595,0.0000
4596,0.0004
4597,0.0013
4597,0.0008
4598,0.0001
4599,0.0009
4600,0.0020
4601,0.0018
4602,0.0014
4603,0.0012
4604,0.0010
4605,0.0000
4606,0.0000
4606,0.0000
4607,0.0000
4608,0.0000
4609,0.0000
4610,0.0000
4611,0.0000
4612,0.0000
4613,0.0000
4614,0.0000
4615,0.0012
4615,0.0017
4616,0.0017
4617,0.0026
4618,0.0039
4619,0.0033
4620,0.0017
4621,0.0014
4622,0.0017
4623,0.0011
4623,0.0001
4624,0.0000
4625,0.0000
4626,0.0000
4627,0.0000
4628,0.0006
4629,0.0026
4630,0.0022
4631,0.0001
4632,0.0001
4632,0.0016
4633,0.0014
4634,0.0000
4635,0.0000
4636,0.0000
4637,0.0000
4638,0.0000
4639,0.0009
4640,0.0005
4640,0.0000
4641,0.0000
4642,0.0000
4643,0.0008
4644,0.0009
4645,0.0002
4646,0.0000
4647,0.0000
4648,0.0000
4649,0.0000
4649,0.0009
4650,0.0007
4651,0.0005
4652,0.0001
4653,0.0000
4654,0.0000
4655,0.0002
4656,0.0011
4657,0.0016
4657,0.0015
4658,0.0008
4659,0.0000
4660,0.0000
4661,0.0000
4662,0.0000
4663,0.0000
4664,0.0000
4665,0.0000
4666,0.0002
4666,0.0000
4667,0.0000
4668,0.0000
4669,0.0000
4670,0.0000
4671,0.0000
4672,0.0000
4673,0.0000
4674,0.0000
4674,0.0000
