wavelength,spectrum
1150,0.077
1155,0.086
1160,0.06
1165,0.0
1170,0.002
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.004
1210,0.009
1215,0.013
1220,0.016
1225,0.014
1230,0.015
1235,0.015
1240,0.014
1245,0.019
1250,0.038
1255,0.045
1260,0.044
1265,0.069
1270,0.121
1275,0.144
1280,0.197
1285,0.23
1290,0.247
1295,0.276
1300,0.24
1305,0.197
1310,0.236
1315,0.345
1320,0.388
1325,0.388
1330,0.367
1335,0.39
1340,0.478
1345,0.486
1350,0.44
1355,0.409
1360,0.422
1365,0.425
1370,0.429
1375,0.455
1380,0.452
1385,0.467
1390,0.476
1395,0.456
1400,0.465
1405,0.488
1410,0.481
1415,0.501
1420,0.537
1425,0.552
1430,0.516
1435,0.502
1440,0.554
1445,0.595
1450,0.629
1455,0.628
1460,0.614
1465,0.578
1470,0.556
1475,0.564
1480,0.587
1485,0.643
1490,0.688
1495,0.697
1500,0.712
1505,0.655
1510,0.581
1515,0.604
1520,0.661
1525,0.616
1530,0.596
1535,0.616
1540,0.668
1545,0.678
1550,0.66
1555,0.636
1560,0.622
1565,0.651
1570,0.64
1575,0.648
1580,0.698
1585,0.691
1590,0.679
1595,0.67
1600,0.685
1605,0.666
1610,0.662
1615,0.664
1620,0.653
1625,0.655
1630,0.662
1635,0.649
1640,0.633
1645,0.646
1650,0.616
1655,0.553
1660,0.582
1665,0.622
1670,0.564
1675,0.597
1680,0.647
1685,0.649
1690,0.643
1695,0.635
1700,0.632
1705,0.625
1710,0.634
1715,0.63
1720,0.609
1725,0.611
1730,0.637
1735,0.634
1740,0.643
1745,0.659
1750,0.676
1755,0.698
1760,0.657
1765,0.627
1770,0.655
1775,0.685
1780,0.682
1785,0.604
1790,0.525
1795,0.662
1800,0.716
1805,0.686
1810,0.681
1815,0.687
1820,0.692
1825,0.683
1830,0.664
1835,0.654
1840,0.624
1845,0.613
1850,0.631
1855,0.632
1860,0.635
1865,0.644
1870,0.662
1875,0.66
1880,0.659
1885,0.656
1890,0.641
1895,0.62
1900,0.606
1905,0.614
1910,0.615
1915,0.613
1920,0.614
1925,0.614
1930,0.624
1935,0.632
1940,0.639
1945,0.64
1950,0.642
1955,0.642
1960,0.64
1965,0.632
1970,0.659
1975,0.682
1980,0.667
1985,0.666
1990,0.619
1995,0.569
2000,0.599
2005,0.612
2010,0.596
2015,0.597
2020,0.595
2025,0.586
2030,0.602
2035,0.59
2040,0.572
2045,0.586
2050,0.596
2055,0.599
2060,0.593
2065,0.575
2070,0.583
2075,0.619
2080,0.646
2085,0.652
2090,0.641
2095,0.611
2100,0.582
2105,0.58
2110,0.597
2115,0.589
2120,0.574
2125,0.61
2130,0.6
2135,0.555
2140,0.52
2145,0.537
2150,0.575
2155,0.589
2160,0.604
2165,0.552
2170,0.525
2175,0.499
2180,0.5
2185,0.545
2190,0.572
2195,0.583
2200,0.591
2205,0.556
2210,0.516
2215,0.489
2220,0.483
2225,0.484
2230,0.494
2235,0.484
2240,0.498
2245,0.473
2250,0.491
2255,0.493
2260,0.486
2265,0.483
2270,0.49
2275,0.489
2280,0.494
2285,0.498
2290,0.521
2295,0.532
2300,0.519
2305,0.513
2310,0.522
2315,0.517
2320,0.473
2325,0.472
2330,0.492
2335,0.484
2340,0.467
2345,0.458
2350,0.45
2355,0.435
2360,0.44
2365,0.432
2370,0.437
2375,0.43
2380,0.457
2385,0.428
2390,0.38
2395,0.375
2400,0.406
2405,0.4
2410,0.371
2415,0.391
2420,0.411
2425,0.427
2430,0.45
2435,0.43
2440,0.416
2445,0.44
2450,0.46
2455,0.464
2460,0.466
2465,0.456
2470,0.429
2475,0.419
2480,0.425
2485,0.406
2490,0.387
2495,0.377
2500,0.443
2505,0.437
2510,0.419
2515,0.436
2520,0.416
2525,0.392
2530,0.388
2535,0.417
2540,0.419
2545,0.398
2550,0.405
2555,0.417
2560,0.421
2565,0.43
2570,0.454
2575,0.44
2580,0.336
2585,0.324
2590,0.402
2595,0.44
2600,0.44
2605,0.431
2610,0.434
2615,0.429
2620,0.444
2625,0.44
2630,0.43
2635,0.448
2640,0.45
2645,0.465
2650,0.484
2655,0.487
2660,0.469
2665,0.451
2670,0.428
2675,0.426
2680,0.451
2685,0.461
2690,0.447
2695,0.422
2700,0.429
2705,0.446
2710,0.422
2715,0.42
2720,0.42
2725,0.414
2730,0.422
2735,0.438
2740,0.436
2745,0.415
2750,0.406
2755,0.39
2760,0.397
2765,0.415
2770,0.419
2775,0.434
2780,0.46
2785,0.44
2790,0.429
2795,0.406
2800,0.361
2805,0.358
2810,0.389
2815,0.435
2820,0.452
2825,0.438
2830,0.424
2835,0.433
2840,0.444
2845,0.438
2850,0.422
2855,0.406
2860,0.406
2865,0.42
2870,0.424
2875,0.419
2880,0.415
2885,0.424
2890,0.434
2895,0.426
2900,0.421
2905,0.43
2910,0.455
2915,0.458
2920,0.459
2925,0.44
2930,0.434
2935,0.442
2940,0.441
2945,0.452
2950,0.432
2955,0.451
2960,0.463
2965,0.453
2970,0.449
2975,0.457
2980,0.454
2985,0.446
2990,0.457
2995,0.453
3000,0.455
3005,0.441
3010,0.451
3015,0.441
3020,0.424
3025,0.429
3030,0.431
3035,0.433
