wavelength,spectrum
1160,0.878
1165,0.849
1170,0.75
1175,0.691
1180,0.684
1185,0.517
1190,0.29
1195,0.198
1200,0.161
1205,0.083
1210,0.043
1215,0.04
1220,0.047
1225,0.09
1230,0.222
1235,0.39
1240,0.554
1245,0.659
1250,0.704
1255,0.692
1260,0.592
1265,0.638
1270,0.804
1275,0.851
1280,0.904
1285,0.937
1290,0.896
1295,0.824
1300,0.703
1305,0.614
1310,0.73
1315,0.959
1325,0.98
1330,0.897
1335,0.85
1340,0.975
1350,0.989
1355,0.981
1360,0.949
1365,0.899
1370,0.895
1375,0.918
1380,0.929
1385,0.925
1390,0.929
1395,0.904
1400,0.917
1405,0.894
1410,0.869
1415,0.884
1420,0.894
1425,0.917
1430,0.903
1435,0.886
1440,0.922
1445,0.957
1450,0.992
1460,0.993
1465,0.96
1470,0.941
1475,0.933
1480,0.921
1485,0.917
1490,0.948
1495,0.985
1500,1.0
1505,0.939
1510,0.898
1515,0.91
1520,0.92
1525,0.88
1530,0.837
1535,0.846
1540,0.913
1545,0.921
1550,0.886
1555,0.863
1560,0.827
1565,0.82
1570,0.827
1575,0.826
1580,0.835
1585,0.836
1590,0.833
1595,0.828
1600,0.801
1605,0.769
1610,0.772
1615,0.777
1620,0.77
1625,0.763
1630,0.763
1635,0.756
1640,0.737
1645,0.734
1650,0.726
1655,0.695
1660,0.699
1665,0.718
1670,0.698
1675,0.697
1680,0.717
1685,0.721
1690,0.724
1695,0.733
1700,0.729
1705,0.706
1710,0.696
1715,0.675
1720,0.659
1725,0.651
1730,0.659
1735,0.675
1740,0.69
1745,0.695
1750,0.699
1755,0.706
1760,0.678
1765,0.662
1770,0.669
1775,0.673
1780,0.666
1785,0.608
1790,0.585
1795,0.666
1800,0.694
1805,0.692
1810,0.691
1815,0.691
1820,0.685
1825,0.671
1830,0.658
1835,0.652
1840,0.643
1845,0.632
1850,0.617
1855,0.6
1860,0.599
1865,0.614
1870,0.632
1875,0.638
1880,0.628
1885,0.612
