wavelength,spectrum
1150,0.017
1155,0.015
1160,0.012
1165,0.001
1170,0.0
1175,0.001
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.002
1205,0.005
1210,0.017
1215,0.028
1220,0.016
1225,0.003
1230,0.001
1235,0.001
1240,0.001
1245,0.001
1250,0.001
1255,0.001
1260,0.001
1265,0.0
1270,0.0
1275,0.0
1280,0.001
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.001
1340,0.001
1345,0.001
1350,0.001
1355,0.001
1360,0.001
1365,0.0
1370,0.0
1375,0.0
1380,0.001
1385,0.0
1390,0.0
1395,0.001
1400,0.0
1405,0.0
1410,0.001
1415,0.0
1420,0.001
1425,0.001
1430,0.001
1435,0.001
1440,0.001
1445,0.001
1450,0.001
1455,0.001
1460,0.001
1465,0.001
1470,0.001
1475,0.002
1480,0.002
1485,0.002
1490,0.002
1495,0.002
1500,0.002
1505,0.002
1510,0.002
1515,0.002
1520,0.002
1525,0.002
1530,0.002
1535,0.003
1540,0.003
1545,0.003
1550,0.004
1555,0.004
1560,0.003
1565,0.004
1570,0.003
1575,0.003
1580,0.004
1585,0.004
1590,0.004
1595,0.004
1600,0.005
1605,0.006
1610,0.008
1615,0.005
1620,0.005
1625,0.005
1630,0.006
1635,0.006
1640,0.007
1645,0.007
1650,0.007
1655,0.006
1660,0.006
1665,0.009
1670,0.008
1675,0.01
1680,0.012
1685,0.013
1690,0.016
1695,0.019
1700,0.026
1705,0.035
1710,0.05
1715,0.062
1720,0.064
1725,0.062
1730,0.074
1735,0.075
1740,0.074
1745,0.08
1750,0.094
1755,0.105
1760,0.1
1765,0.092
1770,0.106
1775,0.129
1780,0.139
1785,0.13
1790,0.13
1795,0.152
1800,0.156
1805,0.136
1810,0.127
1815,0.14
1820,0.145
1825,0.15
1830,0.142
1835,0.135
1840,0.12
1845,0.106
1850,0.103
1855,0.11
1860,0.119
1865,0.129
1870,0.141
1875,0.143
