wavelength,spectrum
1150,0.005
1155,0.005
1160,0.004
1165,0.0
1170,0.0
1175,0.0
1180,0.001
1185,0.001
1190,0.0
1195,0.0
1200,0.001
1205,0.003
1210,0.013
1215,0.023
1220,0.014
1225,0.002
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.001
1450,0.001
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
1505,0.0
1510,0.0
1515,0.0
1520,0.0
1525,0.0
1530,0.0
1535,0.0
1540,0.0
1545,0.001
1550,0.001
1555,0.0
1560,0.0
1565,0.0
1570,0.0
1575,0.001
1580,0.0
1585,0.0
1590,0.0
1595,0.0
1600,0.0
1605,0.0
1610,0.0
1615,0.0
1620,0.0
1625,0.0
1630,0.0
1635,0.0
1640,0.0
1645,0.0
1650,0.0
1655,0.0
1660,0.001
1665,0.001
1670,0.001
1675,0.0
1680,0.001
1685,0.001
1690,0.001
1695,0.001
1700,0.001
1705,0.001
1710,0.001
1715,0.001
1720,0.001
1725,0.001
1730,0.001
1735,0.001
1740,0.001
1745,0.001
1750,0.001
1755,0.001
1760,0.001
1765,0.001
1770,0.001
1775,0.002
1780,0.001
1785,0.001
1790,0.001
1795,0.001
1800,0.001
1805,0.001
1810,0.002
1815,0.002
1820,0.002
1825,0.002
1830,0.002
1835,0.002
1840,0.002
1845,0.002
1850,0.002
1855,0.002
1860,0.002
1865,0.002
1870,0.003
1875,0.003
1880,0.003
1885,0.003
1890,0.003
1895,0.003
1900,0.003
1905,0.003
1910,0.003
1915,0.003
1920,0.003
1925,0.003
1930,0.003
1935,0.003
1940,0.003
1945,0.004
1950,0.005
1955,0.008
1960,0.009
1965,0.004
1970,0.0
1975,0.0
1980,0.003
1985,0.014
1990,0.014
1995,0.008
2000,0.007
2005,0.0
2010,0.0
2015,0.001
2020,0.0
2025,0.0
2030,0.0
2035,0.0
2040,0.0
2045,0.0
2050,0.005
2055,0.006
2060,0.009
2065,0.004
2070,0.004
2075,0.011
2080,0.018
2085,0.014
2090,0.011
2095,0.008
2100,0.02
2105,0.029
2110,0.029
2115,0.024
2120,0.027
2125,0.026
2130,0.009
2135,0.023
2140,0.026
2145,0.028
2150,0.03
2155,0.026
2160,0.024
2165,0.009
2170,0.0
2175,0.011
2180,0.029
2185,0.031
2190,0.022
2195,0.018
2200,0.027
2205,0.025
2210,0.032
2215,0.016
2220,0.022
2225,0.025
2230,0.017
2235,0.024
2240,0.031
2245,0.031
2250,0.017
2255,0.032
2260,0.032
2265,0.019
2270,0.014
2275,0.015
2280,0.016
2285,0.012
2290,0.021
2295,0.023
2300,0.024
2305,0.022
2310,0.026
2315,0.02
2320,0.028
2325,0.04
2330,0.031
2335,0.024
2340,0.027
2345,0.023
2350,0.023
2355,0.025
2360,0.029
2365,0.027
2370,0.03
2375,0.027
2380,0.026
2385,0.023
2390,0.026
2395,0.025
2400,0.022
2405,0.021
2410,0.023
2415,0.026
2420,0.037
2425,0.045
2430,0.049
2435,0.049
2440,0.049
2445,0.041
2450,0.024
2455,0.017
2460,0.025
2465,0.03
2470,0.028
2475,0.029
2480,0.03
2485,0.025
2490,0.019
2495,0.03
2500,0.043
2505,0.043
2510,0.038
2515,0.029
2520,0.024
2525,0.023
2530,0.029
2535,0.032
2540,0.032
2545,0.034
2550,0.039
2555,0.046
2560,0.048
2565,0.056
2570,0.068
2575,0.071
2580,0.078
2585,0.073
2590,0.069
2595,0.057
2600,0.052
2605,0.05
2610,0.048
2615,0.053
2620,0.063
2625,0.058
2630,0.062
2635,0.105
2640,0.143
2645,0.141
2650,0.133
2655,0.151
2660,0.148
2665,0.137
2670,0.144
2675,0.139
2680,0.139
2685,0.139
2690,0.129
2695,0.124
2700,0.138
2705,0.146
2710,0.138
2715,0.129
2720,0.101
2725,0.111
2730,0.119
2735,0.102
2740,0.077
2745,0.069
2750,0.079
2755,0.088
2760,0.107
2765,0.127
2770,0.138
2775,0.12
2780,0.099
