wavelength,spectrum
1150,0.0
1155,0.0
1160,0.0
1165,0.0
1170,0.0
1175,0.0
1180,0.0
1185,0.0
1190,0.0
1195,0.0
1200,0.0
1205,0.0
1210,0.0
1215,0.0
1220,0.0
1225,0.0
1230,0.0
1235,0.0
1240,0.0
1245,0.0
1250,0.0
1255,0.0
1260,0.0
1265,0.0
1270,0.0
1275,0.0
1280,0.0
1285,0.0
1290,0.0
1295,0.0
1300,0.0
1305,0.0
1310,0.0
1315,0.0
1320,0.0
1325,0.0
1330,0.0
1335,0.0
1340,0.0
1345,0.0
1350,0.0
1355,0.0
1360,0.0
1365,0.0
1370,0.0
1375,0.0
1380,0.0
1385,0.0
1390,0.0
1395,0.0
1400,0.0
1405,0.0
1410,0.0
1415,0.0
1420,0.0
1425,0.0
1430,0.0
1435,0.0
1440,0.0
1445,0.0
1450,0.0
1455,0.0
1460,0.0
1465,0.0
1470,0.0
1475,0.0
1480,0.0
1485,0.0
1490,0.0
1495,0.0
1500,0.0
1505,0.0
1510,0.0
1515,0.0
1520,0.0
1525,0.0
1530,0.0
1535,0.0
1540,0.0
1545,0.0
1550,0.0
1555,0.0
1560,0.0
1565,0.0
1570,0.0
1575,0.0
1580,0.0
1585,0.0
1590,0.0
1595,0.0
1600,0.0
1605,0.0
1610,0.0
1615,0.0
1620,0.0
1625,0.0
1630,0.0
1635,0.0
1640,0.0
1645,0.0
1650,0.0
1655,0.0
1660,0.0
1665,0.0
1670,0.0
1675,0.0
1680,0.0
1685,0.0
1690,0.0
1695,0.0
1700,0.0
1705,0.0
1710,0.0
1715,0.0
1720,0.0
1725,0.0
1730,0.0
1735,0.0
1740,0.0
1745,0.0
1750,0.0
1755,0.0
1760,0.0
1765,0.0
1770,0.0
1775,0.0
1780,0.0
1785,0.0
1790,0.0
1795,0.0
1800,0.0
1805,0.0
1810,0.0
1815,0.0
1820,0.0
1825,0.0
1830,0.0
1835,0.0
1840,0.0
1845,0.0
1850,0.0
1855,0.0
1860,0.0
1865,0.0
1870,0.0
1875,0.0
1880,0.0
1885,0.0
1890,0.0
1895,0.0
1900,0.0
1905,0.0
1910,0.0
1915,0.0
1920,0.0
1925,0.0
1930,0.0
1935,0.0
1940,0.0
1945,0.0
1950,0.0
1955,0.0
1960,0.0
1965,0.0
1970,0.0
1975,0.0
1980,0.0
1985,0.0
1990,0.0
1995,0.0
2000,0.0
2005,0.0
2010,0.0
2015,0.0
2020,0.0
2025,0.0
2030,0.0
2035,0.0
2040,0.0
2045,0.0
2050,0.0
2055,0.0
2060,0.0
2065,0.0
2070,0.0
2075,0.0
2080,0.0
2085,0.0
2090,0.0
2095,0.0
2100,0.0
2105,0.0
2110,0.0
2115,0.0
2120,0.0
2125,0.0
2130,0.0
2135,0.0
2140,0.0
2145,0.0
2150,0.0
2155,0.0
2160,0.001
2165,0.001
2170,0.001
2175,0.002
2180,0.002
2185,0.003
2190,0.003
2195,0.003
2200,0.004
2205,0.004
2210,0.004
2215,0.004
2220,0.005
2225,0.005
2230,0.005
2235,0.005
2240,0.005
2245,0.005
2250,0.005
2255,0.005
2260,0.005
2265,0.005
2270,0.005
2275,0.005
2280,0.005
2285,0.005
2290,0.005
2295,0.005
2300,0.006
2305,0.006
2310,0.006
2315,0.006
2320,0.007
2325,0.007
2330,0.007
2335,0.007
2340,0.007
2345,0.008
2350,0.008
2355,0.008
2360,0.008
2365,0.008
2370,0.007
2375,0.007
2380,0.007
2385,0.007
2390,0.007
2395,0.007
2400,0.008
2405,0.008
2410,0.008
2415,0.009
2420,0.009
2425,0.009
2430,0.01
2435,0.01
2440,0.01
2445,0.01
2450,0.01
2455,0.01
2460,0.01
2465,0.01
2470,0.01
2475,0.009
2480,0.009
2485,0.009
2490,0.009
2495,0.008
2500,0.009
2505,0.009
2510,0.009
2515,0.01
2520,0.01
2525,0.011
2530,0.012
2535,0.012
2540,0.013
2545,0.014
2550,0.014
2555,0.015
2560,0.015
2565,0.016
2570,0.016
2575,0.017
2580,0.018
2585,0.019
2590,0.02
2595,0.022
2600,0.024
2605,0.026
2610,0.029
2615,0.032
2620,0.035
2625,0.038
2630,0.041
2635,0.044
2640,0.047
2645,0.05
2650,0.052
2655,0.054
2660,0.055
2665,0.056
2670,0.057
2675,0.057
2680,0.057
2685,0.057
2690,0.056
2695,0.055
2700,0.054
2705,0.052
2710,0.051
2715,0.049
2720,0.047
2725,0.045
2730,0.043
2735,0.042
2740,0.04
2745,0.039
2750,0.038
2755,0.037
2760,0.037
2765,0.037
2770,0.038
2775,0.038
2780,0.038
2785,0.039
2790,0.039
2795,0.039
2800,0.039
2805,0.038
2810,0.038
2815,0.037
2820,0.037
2825,0.037
2830,0.037
2835,0.038
2840,0.04
2845,0.043
2850,0.047
2855,0.053
2860,0.059
2865,0.067
2870,0.074
2875,0.083
2880,0.091
2885,0.099
2890,0.106
2895,0.113
2900,0.118
2905,0.123
2910,0.126
2915,0.128
2920,0.129
2925,0.129
2930,0.128
2935,0.127
2940,0.125
2945,0.122
2950,0.119
2955,0.116
2960,0.113
2965,0.109
2970,0.106
2975,0.102
2980,0.099
2985,0.097
2990,0.096
2995,0.095
3000,0.095
3005,0.096
3010,0.098
3015,0.101
3020,0.104
3025,0.108
3030,0.113
3035,0.117
3040,0.122
3045,0.126
3050,0.131
3055,0.135
3060,0.138
3065,0.142
3070,0.145
3075,0.148
3080,0.151
3085,0.153
3090,0.156
3095,0.159
3100,0.161
3105,0.164
3110,0.166
3115,0.168
3120,0.171
3125,0.173
3130,0.176
3135,0.178
3140,0.18
3145,0.183
3150,0.185
3155,0.187
3160,0.201
3165,0.205
3170,0.209
3175,0.213
3180,0.215
3185,0.215
3190,0.215
3195,0.215
3200,0.234
3205,0.241
3210,0.241
3215,0.225
3220,0.21
3225,0.212
3230,0.218
3235,0.217
3240,0.216
3245,0.225
3250,0.242
3255,0.262
3260,0.28
3265,0.294
3270,0.3
3275,0.295
3280,0.29
3285,0.296
3290,0.31
3295,0.325
3300,0.332
3305,0.32
3310,0.305
3315,0.3
3320,0.301
3325,0.301
3330,0.3
3335,0.302
3340,0.307
3345,0.313
3350,0.317
3355,0.314
3360,0.3
3365,0.278
3370,0.263
3375,0.267
3380,0.281
3385,0.293
3390,0.304
3395,0.315
3400,0.324
3405,0.324
3410,0.321
3415,0.318
3420,0.32
3425,0.328
3430,0.329
3435,0.313
3440,0.293
3445,0.285
3450,0.289
3455,0.303
3460,0.315
3465,0.315
3470,0.31
3475,0.31
3480,0.311
3485,0.309
3490,0.311
3495,0.322
3500,0.341
3505,0.357
3510,0.362
3515,0.349
3520,0.334
3525,0.331
3530,0.342
3535,0.361
3540,0.378
3545,0.386
3550,0.381
3555,0.364
3560,0.343
3565,0.324
3570,0.304
3575,0.281
3580,0.265
3585,0.267
3590,0.289
3595,0.324
3600,0.351
3605,0.32
3610,0.308
3615,0.304
3620,0.311
3625,0.326
3630,0.344
3635,0.357
3640,0.367
3645,0.377
3650,0.393
3655,0.417
3660,0.444
3665,0.465
3670,0.47
3675,0.458
3680,0.441
3685,0.431
3690,0.433
3695,0.443
3700,0.456
3705,0.464
3710,0.459
3715,0.437
3720,0.402
3725,0.363
3730,0.332
3735,0.316
3740,0.315
3745,0.327
3750,0.341
3755,0.354
3760,0.372
3765,0.401
3770,0.439
3775,0.473
3780,0.487
3785,0.474
3790,0.449
3795,0.429
3800,0.421
3805,0.418
3810,0.405
3815,0.37
3820,0.319
3825,0.271
3830,0.242
3835,0.242
3840,0.264
3845,0.289
3850,0.309
3855,0.317
3860,0.318
3865,0.32
3870,0.326
3875,0.336
3880,0.35
3885,0.366
3890,0.381
3895,0.394
3900,0.41
3905,0.43
3910,0.451
3915,0.459
3920,0.437
3925,0.381
3930,0.318
3935,0.284
3940,0.297
3945,0.352
3950,0.413
3955,0.439
3960,0.422
3965,0.382
3970,0.362
3975,0.396
3980,0.473
3985,0.559
3990,0.627
3995,0.665
4000,0.683
4005,0.698
4010,0.714
4015,0.727
4020,0.734
4025,0.732
4030,0.718
4035,0.696
4040,0.682
4045,0.685
4050,0.695
4055,0.697
4060,0.686
4065,0.668
4070,0.659
4075,0.671
4080,0.703
4085,0.74
4090,0.762
4095,0.756
4100,0.734
4105,0.718
4110,0.719
4115,0.738
4120,0.758
4125,0.763
4130,0.75
4135,0.731
4140,0.712
4145,0.701
4150,0.703
4155,0.715
4160,0.727
4165,0.73
4170,0.727
4175,0.722
4180,0.718
4185,0.714
4190,0.709
4195,0.704
4200,0.706
4205,0.719
4210,0.737
4215,0.747
4220,0.74
4225,0.72
4230,0.699
4235,0.692
4240,0.701
4245,0.716
4250,0.73
4255,0.737
4260,0.731
4265,0.716
4270,0.701
4275,0.692
4280,0.692
4285,0.695
4290,0.682
4295,0.644
4300,0.602
4305,0.585
4310,0.603
4315,0.652
4320,0.71
4325,0.751
4330,0.773
4335,0.785
4340,0.787
4345,0.781
4350,0.782
4355,0.796
4360,0.812
4365,0.813
4370,0.796
4375,0.768
4380,0.743
4385,0.733
4390,0.736
4395,0.743
4400,0.752
4405,0.766
4410,0.785
4415,0.812
4420,0.84
4425,0.858
4430,0.87
4435,0.877
4440,0.879
4445,0.875
4450,0.867
4455,0.857
4460,0.854
4465,0.866
4470,0.889
4475,0.914
4480,0.933
4485,0.943
4490,0.946
4495,0.953
4500,0.966
4505,0.98
4510,0.989
4515,0.985
4520,0.967
4525,0.941
4530,0.919
4535,0.91
4540,0.915
4545,0.927
4550,0.942
4555,0.956
4560,0.966
4565,0.969
4570,0.967
4575,0.959
4580,0.95
4585,0.942
4590,0.937
4595,0.935
4600,0.939
4605,0.949
4610,0.964
4615,0.978
4620,0.988
4625,0.991
4630,0.982
4635,0.964
4640,0.947
4645,0.939
4650,0.94
4655,0.941
4660,0.94
4665,0.936
4670,0.932
4675,0.931
4680,0.936
4685,0.944
4690,0.946
4695,0.937
4700,0.923
4705,0.916
4710,0.921
4715,0.936
4720,0.952
4725,0.962
4730,0.965
4735,0.964
4740,0.968
4745,0.978
4750,0.984
4755,0.98
4760,0.97
4765,0.965
4770,0.969
4775,0.979
4780,0.99
4785,0.996
4790,0.999
4820,1.0
4825,0.993
4830,0.987
4835,0.985
4840,0.985
4845,0.982
4850,0.968
4855,0.944
4860,0.919
4865,0.903
4870,0.9
4875,0.909
4880,0.921
4885,0.931
4890,0.941
4895,0.956
4900,0.969
4905,0.971
