wavelength,spectrum
1175,0.823
1180,0.92
1185,1.0
1190,0.912
1195,0.808
1200,0.789
1205,0.717
1210,0.532
1215,0.339
1220,0.552
1225,0.816
1230,0.894
1235,0.869
1240,0.864
1245,0.914
1250,0.891
1255,0.896
1260,0.936
1265,0.984
1270,0.997
1275,0.997
1280,0.985
1285,0.965
1290,0.987
1295,0.942
1300,0.871
1305,0.89
1310,0.941
1315,0.938
1320,0.916
1325,0.896
1330,0.883
1335,0.823
1340,0.811
1345,0.808
1350,0.828
1355,0.832
1360,0.801
1365,0.791
1370,0.802
1375,0.785
1380,0.77
1385,0.74
1390,0.674
1395,0.607
1400,0.606
1405,0.622
1410,0.66
1415,0.678
1420,0.653
1425,0.612
1430,0.611
1435,0.658
1440,0.648
1445,0.637
1450,0.626
1455,0.6
1460,0.6
1465,0.626
1470,0.64
1475,0.643
1480,0.639
1485,0.643
1490,0.65
1495,0.626
1500,0.576
1505,0.582
1510,0.61
1515,0.601
1520,0.606
1525,0.552
1530,0.492
1535,0.48
1540,0.454
1545,0.321
1550,0.299
1555,0.431
1560,0.459
1565,0.446
1570,0.463
1575,0.477
1580,0.468
1585,0.475
1590,0.474
1595,0.45
1600,0.443
1605,0.419
1610,0.389
1615,0.385
1620,0.378
1625,0.385
1630,0.385
1635,0.388
1640,0.388
1645,0.41
1650,0.431
1655,0.41
1660,0.392
1665,0.404
1670,0.391
1675,0.397
1680,0.435
1685,0.431
1690,0.41
1695,0.402
1700,0.394
1705,0.399
1710,0.402
1715,0.391
1720,0.358
1725,0.357
1730,0.38
1735,0.398
1740,0.397
1745,0.397
1750,0.389
1755,0.393
1760,0.397
1765,0.385
1770,0.384
1775,0.389
1780,0.386
1785,0.37
1790,0.336
1795,0.346
1800,0.36
1805,0.354
1810,0.353
1815,0.359
1820,0.369
1825,0.368
1830,0.365
1835,0.367
1840,0.353
1845,0.348
1850,0.343
1855,0.337
1860,0.337
1865,0.344
1870,0.335
1875,0.32
1880,0.321
1885,0.315
1890,0.312
1895,0.315
1900,0.317
1905,0.313
1910,0.304
1915,0.293
1920,0.283
1925,0.28
1930,0.294
1935,0.3
1940,0.299
1945,0.299
1950,0.297
1955,0.293
1960,0.284
1965,0.277
1970,0.271
1975,0.281
1980,0.285
1985,0.276
1990,0.266
1995,0.265
2000,0.267
2005,0.269
2010,0.263
2015,0.269
2020,0.265
2025,0.266
2030,0.265
2035,0.266
2040,0.266
2045,0.263
2050,0.263
2055,0.247
2060,0.231
2065,0.237
2070,0.249
2075,0.245
2080,0.241
2085,0.244
2090,0.244
2095,0.235
2100,0.232
2105,0.226
2110,0.227
2115,0.237
2120,0.233
2125,0.228
2130,0.227
2135,0.225
2140,0.229
2145,0.226
2150,0.22
2155,0.216
2160,0.215
2165,0.215
2170,0.208
2175,0.21
2180,0.21
2185,0.212
2190,0.21
2195,0.212
2200,0.207
2205,0.202
2210,0.197
2215,0.196
2220,0.192
2225,0.192
2230,0.193
2235,0.19
2240,0.187
2245,0.187
2250,0.187
2255,0.186
2260,0.185
2265,0.185
2270,0.182
2275,0.182
2280,0.181
2285,0.183
2290,0.186
2295,0.182
2300,0.173
2305,0.167
2310,0.173
2315,0.176
2320,0.176
2325,0.175
2330,0.176
2335,0.182
2340,0.178
2345,0.174
2350,0.172
2355,0.172
2360,0.176
2365,0.179
2370,0.178
2375,0.174
2380,0.171
2385,0.167
2390,0.159
2395,0.157
2400,0.159
2405,0.167
2410,0.166
2415,0.166
2420,0.168
2425,0.164
2430,0.166
2435,0.168
2440,0.166
2445,0.161
2450,0.163
2455,0.165
2460,0.163
2465,0.168
2470,0.165
2475,0.158
2480,0.158
2485,0.158
2490,0.156
2495,0.157
2500,0.158
2505,0.156
2510,0.155
2515,0.147
2520,0.147
2525,0.147
2530,0.153
2535,0.158
2540,0.152
2545,0.148
2550,0.152
2555,0.151
2560,0.149
2565,0.148
2570,0.148
2575,0.148
2580,0.129
2585,0.127
2590,0.138
2595,0.143
2600,0.144
2605,0.14
2610,0.143
2615,0.147
2620,0.144
2625,0.148
2630,0.144
2635,0.145
2640,0.144
2645,0.14
2650,0.14
2655,0.141
2660,0.143
2665,0.136
2670,0.134
2675,0.136
2680,0.134
2685,0.132
2690,0.135
2695,0.129
2700,0.126
2705,0.13
2710,0.134
2715,0.128
2720,0.128
2725,0.125
2730,0.125
2735,0.123
2740,0.121
2745,0.122
2750,0.124
2755,0.124
2760,0.124
2765,0.127
2770,0.123
2775,0.12
2780,0.118
2785,0.113
2790,0.114
2795,0.117
2800,0.111
2805,0.108
2810,0.112
2815,0.116
2820,0.118
2825,0.115
2830,0.11
2835,0.109
2840,0.113
2845,0.111
2850,0.111
2855,0.109
