d,x,simple
0,0.5,0.5
0.007071,0.5,0.5
0.01414,0.4999,0.5
0.02121,0.4999,0.4999
0.02828,0.4998,0.4998
0.03536,0.4997,0.4997
0.04243,0.4995,0.4995
0.0495,0.4994,0.4994
0.05657,0.4992,0.4992
0.06364,0.499,0.499
0.07071,0.4987,0.4988
0.07778,0.4985,0.4985
0.08485,0.4982,0.4982
0.09192,0.4979,0.4979
0.09899,0.4975,0.4975
0.1061,0.4972,0.4972
0.1131,0.4968,0.4968
0.1202,0.4963,0.4964
0.1273,0.4959,0.496
0.1344,0.4954,0.4955
0.1414,0.4949,0.495
0.1485,0.4944,0.4945
0.1556,0.4938,0.494
0.1626,0.4933,0.4934
0.1697,0.4926,0.4928
0.1768,0.492,0.4922
0.1838,0.4913,0.4915
0.1909,0.4906,0.4909
0.198,0.4899,0.4902
0.2051,0.4891,0.4895
0.2121,0.4884,0.4888
0.2192,0.4875,0.488
0.2263,0.4867,0.4872
0.2333,0.4858,0.4864
0.2404,0.4849,0.4855
0.2475,0.4839,0.4847
0.2546,0.483,0.4838
0.2616,0.482,0.4829
0.2687,0.4809,0.4819
0.2758,0.4798,0.481
0.2828,0.4787,0.48
0.2899,0.4776,0.479
0.297,0.4764,0.4779
0.3041,0.4752,0.4769
0.3111,0.4739,0.4758
0.3182,0.4726,0.4747
0.3253,0.4712,0.4735
0.3323,0.4699,0.4724
0.3394,0.4684,0.4712
0.3465,0.467,0.47
0.3536,0.4655,0.4688
0.3606,0.4639,0.4675
0.3677,0.4623,0.4662
0.3748,0.4607,0.4649
0.3818,0.459,0.4636
0.3889,0.4573,0.4622
0.396,0.4555,0.4608
0.4031,0.4537,0.4594
0.4101,0.4518,0.4579
0.4172,0.4498,0.4565
0.4243,0.4478,0.455
0.4313,0.4458,0.4535
0.4384,0.4437,0.4519
0.4455,0.4415,0.4504
0.4525,0.4393,0.4488
0.4596,0.437,0.4472
0.4667,0.4347,0.4456
0.4738,0.4322,0.4439
0.4808,0.4298,0.4422
0.4879,0.4272,0.4405
0.495,0.4246,0.4387
0.502,0.4219,0.437
0.5091,0.4191,0.4352
0.5162,0.4162,0.4334
0.5233,0.4133,0.4315
0.5303,0.4102,0.4297
0.5374,0.4071,0.4278
0.5445,0.4039,0.4259
0.5515,0.4006,0.424
0.5586,0.3972,0.422
0.5657,0.3937,0.42
0.5728,0.39,0.418
0.5798,0.3863,0.4159
0.5869,0.3825,0.4139
0.594,0.3785,0.4118
0.601,0.3744,0.4097
0.6081,0.3702,0.4075
0.6152,0.3658,0.4054
0.6223,0.3613,0.4032
0.6293,0.3566,0.401
0.6364,0.3518,0.3987
0.6435,0.3468,0.3965
0.6505,0.3416,0.3942
0.6576,0.3363,0.3919
0.6647,0.3308,0.3896
0.6718,0.325,0.3872
0.6788,0.3191,0.3848
0.6859,0.3129,0.3824
0.693,0.3065,0.38
0.7,0.2998,0.3775
0.7071,0.2929,0.375
