x,y
-2.000,-0.000
-1.938,-0.000
-1.877,-0.000
-1.818,-0.000
-1.761,-0.000
-1.705,-0.000
-1.651,-0.000
-1.599,-0.000
-1.547,-0.000
-1.497,-0.000
-1.448,-0.000
-1.400,-0.000
-1.354,-0.000
-1.308,-0.000
-1.263,-0.000
-1.219,-0.000
-1.176,-0.000
-1.134,-0.000
-1.092,-0.000
-1.051,-0.000
-1.011,-0.000
-0.972,-0.000
-0.933,-0.000
-0.894,-0.000
-0.856,-0.000
-0.819,-0.000
-0.782,-0.000
-0.746,-0.000
-0.710,-0.000
-0.674,-0.000
-0.639,-0.000
-0.605,-0.000
-0.570,-0.000
-0.536,-0.000
-0.502,-0.000
-0.468,-0.000
-0.435,-0.000
-0.402,-0.000
-0.369,-0.000
-0.336,-0.000
-0.304,-0.000
-0.271,-0.000
-0.239,-0.000
-0.207,-0.000
-0.175,-0.000
-0.143,-0.000
-0.111,-0.000
-0.079,-0.000
-0.048,-0.000
-0.016,-0.000
0.016,-0.000
0.048,-0.000
0.079,-0.000
0.111,-0.000
0.143,-0.000
0.175,-0.000
0.207,-0.000
0.239,-0.000
0.271,-0.000
0.304,-0.000
0.336,-0.000
0.369,-0.000
0.402,-0.000
0.435,-0.000
0.468,-0.000
0.502,-0.000
0.536,-0.000
0.570,-0.000
0.605,-0.000
0.639,-0.000
0.674,-0.000
0.710,-0.000
0.746,-0.000
0.782,-0.000
0.819,-0.000
0.856,-0.000
0.894,-0.000
0.933,-0.000
0.972,-0.000
1.011,-0.000
1.051,-0.000
1.092,-0.000
1.134,-0.000
1.176,-0.000
1.219,-0.000
1.263,-0.000
1.308,-0.000
1.354,-0.000
1.400,-0.000
1.448,-0.000
1.497,-0.000
1.547,-0.000
1.599,-0.000
1.651,-0.000
1.705,-0.000
1.761,-0.000
1.818,-0.000
1.877,-0.000
1.938,-0.000
2.000,-0.000
