x,y
-2.000,-0.000
-2.000,-0.035
-1.999,-0.070
-1.997,-0.105
-1.995,-0.140
-1.992,-0.174
-1.989,-0.209
-1.985,-0.244
-1.981,-0.278
-1.975,-0.313
-1.970,-0.347
-1.963,-0.382
-1.956,-0.416
-1.949,-0.450
-1.941,-0.484
-1.932,-0.518
-1.923,-0.551
-1.913,-0.585
-1.902,-0.618
-1.891,-0.651
-1.879,-0.684
-1.867,-0.717
-1.854,-0.749
-1.841,-0.781
-1.827,-0.813
-1.813,-0.845
-1.798,-0.877
-1.782,-0.908
-1.766,-0.939
-1.749,-0.970
-1.732,-1.000
-1.714,-1.030
-1.696,-1.060
-1.677,-1.089
-1.658,-1.118
-1.638,-1.147
-1.618,-1.176
-1.597,-1.204
-1.576,-1.231
-1.554,-1.259
-1.532,-1.286
-1.509,-1.312
-1.486,-1.338
-1.463,-1.364
-1.439,-1.389
-1.414,-1.414
-1.389,-1.439
-1.364,-1.463
-1.338,-1.486
-1.312,-1.509
-1.286,-1.532
-1.259,-1.554
-1.231,-1.576
-1.204,-1.597
-1.176,-1.618
-1.147,-1.638
-1.118,-1.658
-1.089,-1.677
-1.060,-1.696
-1.030,-1.714
-1.000,-1.732
-0.970,-1.749
-0.939,-1.766
-0.908,-1.782
-0.877,-1.798
-0.845,-1.813
-0.813,-1.827
-0.781,-1.841
-0.749,-1.854
-0.717,-1.867
-0.684,-1.879
-0.651,-1.891
-0.618,-1.902
-0.585,-1.913
-0.551,-1.923
-0.518,-1.932
-0.484,-1.941
-0.450,-1.949
-0.416,-1.956
-0.382,-1.963
-0.347,-1.970
-0.313,-1.975
-0.278,-1.981
-0.244,-1.985
-0.209,-1.989
-0.174,-1.992
-0.140,-1.995
-0.105,-1.997
-0.070,-1.999
-0.035,-2.000
-0.000,-2.000
0.035,-2.000
0.070,-1.999
0.105,-1.997
0.140,-1.995
0.174,-1.992
0.209,-1.989
0.244,-1.985
0.278,-1.981
0.313,-1.975
0.347,-1.970
0.382,-1.963
0.416,-1.956
0.450,-1.949
0.484,-1.941
0.518,-1.932
0.551,-1.923
0.585,-1.913
0.618,-1.902
0.651,-1.891
0.684,-1.879
0.717,-1.867
0.749,-1.854
0.781,-1.841
0.813,-1.827
0.845,-1.813
0.877,-1.798
0.908,-1.782
0.939,-1.766
