x,y
0.009,-0.195
0.041,-0.364
-0.008,-0.141
0.289,1.028
-0.010,-0.207
0.005,-0.296
-0.043,-0.357
-0.002,-0.252
0.003,-0.306
0.011,-0.191
0.046,-0.364
0.002,-0.180
0.007,-0.133
0.533,0.841
-0.008,-0.143
0.008,-0.160
0.019,-0.320
0.147,-0.457
-0.012,-0.176
0.420,0.922
0.000,-0.253
0.012,-0.301
0.057,-0.422
0.003,-0.197
-0.005,-0.241
0.012,-0.185
0.003,-0.248
-0.008,-0.308
-0.005,-0.135
0.015,-0.304
0.004,-0.124
0.002,-0.179
-0.605,0.793
-0.006,-0.149
-0.079,-0.402
-0.011,-0.192
-0.002,-0.256
-0.041,-0.426
-0.005,-0.146
-0.003,-0.246
0.003,-0.130
-0.011,-0.194
0.019,-0.342
-0.007,-0.227
0.006,-0.166
0.009,-0.174
-0.100,-0.430
-0.040,-0.359
0.583,0.665
-0.006,-0.133
0.013,-0.302
-0.004,-0.193
0.010,-0.148
-0.321,0.823
-0.004,-0.124
-0.002,-0.285
0.009,-0.322
0.007,-0.159
-0.047,-0.380
-0.028,-0.359
-0.002,-0.291
0.005,-0.209
-0.002,-0.167
0.020,-0.319
0.002,-0.253
0.000,-0.266
0.009,-0.222
-0.006,-0.221
-0.000,-0.273
-0.074,-0.393
0.007,-0.136
-0.000,-0.160
0.183,-0.477
0.000,-0.262
-0.047,-0.362
-0.001,-0.247
-0.003,-0.250
0.008,-0.134
-0.005,-0.218
0.052,-0.420
0.071,-0.397
0.001,-0.268
0.001,-0.272
0.009,-0.210
0.003,-0.248
-0.111,-0.435
-0.039,-0.404
0.008,-0.154
0.011,-0.174
-0.011,-0.371
0.053,-0.380
-0.009,-0.214
-0.017,-0.321
-0.001,-0.259
-0.006,-0.195
0.004,-0.125
0.004,-0.159
0.021,-0.400
0.005,-0.224
-0.006,-0.214
-0.000,-0.264
0.007,-0.223
0.005,-0.126
0.004,-0.232
-0.000,-0.269
-0.003,-0.243
0.002,-0.122
-0.006,-0.168
0.027,-0.330
-0.011,-0.206
0.004,-0.224
0.007,-0.157
-0.004,-0.240
-0.086,-0.488
-0.019,-0.320
-0.009,-0.216
-0.021,-0.346
-0.037,-0.399
0.016,-0.406
-0.007,-0.217
0.005,-0.136
-0.002,-0.388
0.009,-0.198
-0.003,-0.297
0.016,-0.311
0.009,-0.196
0.004,-0.227
0.003,-0.353
0.035,-0.346
0.011,-0.200
-0.004,-0.249
0.009,-0.220
-0.155,-0.461
-0.000,-0.184
-0.005,-0.161
0.012,-0.298
0.004,-0.344
0.009,-0.146
-0.008,-0.188
0.012,-0.177
0.002,-0.319
0.002,-0.150
-0.010,-0.149
-0.009,-0.179
-0.008,-0.151
0.006,-0.211
0.010,-0.193
-0.007,-0.135
-0.115,-0.462
0.008,-0.163
0.007,-0.320
-0.009,-0.198
0.009,-0.318
0.007,-0.133
-0.035,-0.462
0.011,-0.188
0.004,-0.167
-0.569,0.861
0.007,-0.296
-0.005,-0.126
0.037,-0.346
-0.010,-0.298
-0.005,-0.171
0.012,-0.186
0.003,-0.300
-0.005,-0.278
-0.002,-0.156
0.005,-0.126
-0.458,0.801
0.005,-0.242
0.111,-0.462
-0.110,-0.437
0.012,-0.177
0.008,-0.337
0.003,-0.122
-0.068,-0.396
0.042,-0.358
-0.011,-0.191
0.005,-0.146
0.745,0.549
0.805,0.524
-0.004,-0.164
-0.001,-0.134
0.002,-0.247
-0.001,-0.270
0.005,-0.202
0.047,-0.402
-0.073,-0.405
0.000,-0.262
-0.159,1.065
0.005,-0.154
0.026,-0.326
-0.029,-0.401
-0.002,-0.129
0.625,0.694
0.011,-0.169
-0.011,-0.195
-0.005,-0.126
0.072,0.886
0.009,-0.188
-0.007,-0.197
-0.004,-0.192
-0.001,-0.135
0.028,-0.389
0.011,-0.179
-0.069,-0.403
0.057,-0.373
-0.338,1.016
-0.021,-0.321
0.006,-0.383
-0.000,-0.231
0.045,-0.369
0.004,-0.247
-0.025,-0.326
-0.008,-0.144
0.027,-0.331
-0.009,-0.167
0.005,-0.130
-0.001,-0.224
-0.012,-0.184
-0.283,0.896
-0.016,-0.313
-0.637,0.745
-0.184,-0.489
-0.008,-0.293
0.007,-0.203
0.004,-0.195
-0.015,-0.352
-0.004,-0.179
0.012,-0.174
0.004,-0.354
0.007,-0.133
-0.006,-0.148
0.003,-0.274
-0.004,-0.235
-0.004,-0.206
-0.016,-0.308
-0.002,-0.238
-0.000,-0.266
-0.008,-0.423
-0.007,-0.209
0.004,-0.239
0.008,-0.137
0.005,-0.157
0.009,-0.179
0.008,-0.287
-0.009,-0.312
0.001,-0.129
0.002,-0.274
-0.484,0.947
-0.085,-0.431
-0.007,-0.222
-0.020,-0.316
0.004,-0.180
0.019,-0.316
0.034,-0.403
-0.002,-0.304
-0.007,-0.211
0.006,-0.283
0.088,-0.422
0.004,-0.163
0.081,-0.400
-0.267,0.836
0.015,-0.362
-0.020,-0.367
0.008,-0.168
-0.049,-0.474
0.006,-0.131
-0.016,-0.381
