x	y
0.033	-0.409
0.096	-0.419
0.000	-0.262
-0.001	-0.260
0.093	-0.453
-0.005	-0.126
-0.055	-0.372
0.010	-0.297
0.095	-0.477
-0.008	-0.147
-0.000	-0.261
-0.001	-0.311
-0.002	-0.223
-0.656	0.646
0.003	-0.220
-0.112	-0.443
-0.000	-0.263
-0.010	-0.152
-0.002	-0.285
-0.023	-0.376
-0.001	-0.125
0.003	-0.476
-0.002	-0.143
-0.003	-0.122
0.029	-0.339
-0.077	-0.405
-0.000	-0.265
-0.007	-0.228
0.000	-0.204
0.007	-0.132
0.074	-0.393
0.486	0.755
0.103	-0.425
0.010	-0.201
0.011	-0.298
-0.010	-0.206
0.043	-0.357
-0.003	-0.122
0.000	-0.231
-0.011	-0.160
0.001	-0.272
0.006	-0.131
-0.001	-0.189
0.006	-0.211
-0.003	-0.141
-0.012	-0.190
0.035	-0.463
0.010	-0.146
0.006	-0.154
0.005	-0.126
0.008	-0.186
0.022	-0.319
-0.003	-0.137
-0.002	-0.122
0.010	-0.333
0.003	-0.331
0.011	-0.167
0.001	-0.268
0.009	-0.167
0.004	-0.126
-0.039	-0.415
0.032	-0.372
-0.000	-0.120
0.024	-0.442
0.010	-0.192
0.001	-0.197
0.000	-0.261
-0.029	-0.450
0.010	-0.190
-0.005	-0.219
-0.017	-0.424
-0.001	-0.283
0.001	-0.214
-0.004	-0.444
0.019	-0.315
-0.011	-0.168
0.018	-0.317
0.006	-0.214
0.003	-0.274
-0.001	-0.157
0.001	-0.147
0.002	-0.397
0.004	-0.298
0.020	-0.332
0.007	-0.142
-0.008	-0.146
0.009	-0.223
0.001	-0.233
-0.024	-0.355
0.006	-0.433
0.001	-0.189
-0.004	-0.243
0.019	-0.352
-0.001	-0.267
-0.021	-0.360
0.066	-0.435
0.006	-0.135
0.091	-0.435
0.000	-0.210
-0.011	-0.205
-0.000	-0.266
0.006	-0.156
0.010	-0.186
0.002	-0.142
0.008	-0.144
0.000	-0.254
0.350	0.932
0.180	1.005
-0.116	-0.440
0.009	-0.172
0.005	-0.128
0.003	-0.240
0.031	-0.414
0.004	-0.234
-0.021	-0.346
0.002	-0.278
-0.002	-0.233
-0.001	-0.267
0.011	-0.160
-0.017	-0.308
-0.006	-0.297
-0.009	-0.150
0.009	-0.222
-0.080	-0.435
-0.001	-0.184
0.011	-0.196
0.011	-0.154
-0.000	-0.262
0.011	-0.197
0.023	-0.382
0.000	-0.190
-0.012	-0.180
-0.018	-0.357
-0.000	-0.136
0.011	-0.178
0.085	-0.411
0.126	1.020
0.001	-0.169
0.004	-0.141
0.023	-0.446
-0.004	-0.129
0.004	-0.241
-0.008	-0.139
-0.008	-0.210
-0.002	-0.369
0.005	-0.241
0.002	-0.223
0.010	-0.175
-0.606	0.787
-0.012	-0.170
0.005	-0.143
0.005	-0.327
0.005	-0.203
0.002	-0.133
-0.083	-0.412
-0.313	1.026
0.008	-0.182
-0.001	-0.121
-0.000	-0.120
-0.007	-0.349
0.026	-0.493
0.005	-0.241
-0.009	-0.206
0.001	-0.168
-0.011	-0.161
-0.007	-0.180
-0.011	-0.326
0.003	-0.201
-0.010	-0.409
0.005	-0.413
0.009	-0.186
-0.003	-0.204
-0.011	-0.168
-0.404	0.780
0.022	-0.325
-0.000	-0.193
0.066	-0.481
0.188	0.916
0.023	-0.335
-0.004	-0.146
-0.001	-0.177
-0.044	-0.356
0.021	-0.353
-0.004	-0.127
-0.002	-0.240
-0.028	-0.333
0.006	-0.137
0.005	-0.165
-0.000	-0.143
0.012	-0.177
0.010	-0.167
-0.000	-0.212
-0.004	-0.399
-0.012	-0.185
-0.122	0.964
0.000	-0.264
0.066	-0.393
-0.009	-0.334
0.007	-0.200
0.001	-0.268
-0.005	-0.190
-0.003	-0.251
-0.014	-0.312
0.007	-0.175
-0.010	-0.162
0.005	-0.237
0.001	-0.243
0.127	-0.443
-0.009	-0.190
0.005	-0.130
0.001	-0.268
-0.004	-0.244
-0.007	-0.133
0.001	-0.126
-0.007	-0.144
0.006	-0.223
0.008	-0.202
-0.016	-0.332
0.045	-0.358
-0.002	-0.285
0.005	-0.304
0.016	-0.311
0.005	-0.215
-0.011	-0.156
0.011	-0.179
-0.011	-0.159
0.007	-0.213
0.005	-0.127
0.003	-0.273
0.033	-0.377
-0.003	-0.236
-0.011	-0.325
0.018	-0.310
-0.006	-0.208
0.067	-0.393
-0.015	-0.333
0.007	-0.176
-0.002	-0.169
-0.002	-0.245
0.005	-0.136
